# Athena++ data at time=3.100000e+11  cycle=20668576  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0054  1.25034e+18  1.16616e-19  2.41726e-06 -4.38097e+06  7.18435e-02  0.00000e+00
0055  1.25265e+18  1.16394e-19  2.41092e-06 -4.36454e+06  7.16641e-02  0.00000e+00
0056  1.25495e+18  1.16173e-19  2.40462e-06 -4.34814e+06  7.14853e-02  0.00000e+00
0057  1.25725e+18  1.15953e-19  2.39835e-06 -4.33177e+06  7.13072e-02  0.00000e+00
0058  1.25955e+18  1.15734e-19  2.39211e-06 -4.31542e+06  7.11297e-02  0.00000e+00
0059  1.26185e+18  1.15516e-19  2.38590e-06 -4.29910e+06  7.09528e-02  0.00000e+00
0060  1.26415e+18  1.15299e-19  2.37973e-06 -4.28281e+06  7.07766e-02  0.00000e+00
0061  1.26646e+18  1.15083e-19  2.37359e-06 -4.26654e+06  7.06011e-02  0.00000e+00
0062  1.26876e+18  1.14868e-19  2.36748e-06 -4.25030e+06  7.04261e-02  0.00000e+00
0063  1.27106e+18  1.14654e-19  2.36141e-06 -4.23409e+06  7.02518e-02  0.00000e+00
0064  1.27336e+18  1.14441e-19  2.35536e-06 -4.21790e+06  7.00781e-02  0.00000e+00
0065  1.27566e+18  1.14229e-19  2.34935e-06 -4.20174e+06  6.99050e-02  0.00000e+00
0066  1.27797e+18  1.14018e-19  2.34337e-06 -4.18560e+06  6.97326e-02  0.00000e+00
0067  1.28027e+18  1.13808e-19  2.33742e-06 -4.16949e+06  6.95607e-02  0.00000e+00
0068  1.28257e+18  1.13599e-19  2.33150e-06 -4.15341e+06  6.93895e-02  0.00000e+00
0069  1.28487e+18  1.13391e-19  2.32561e-06 -4.13735e+06  6.92189e-02  0.00000e+00
0070  1.28717e+18  1.13183e-19  2.31975e-06 -4.12131e+06  6.90488e-02  0.00000e+00
0071  1.28948e+18  1.12977e-19  2.31392e-06 -4.10530e+06  6.88794e-02  0.00000e+00
