# Athena++ data at time=1.050000e+12  cycle=70006479  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13064e+18  2.14917e-18  9.01893e-06 -7.37111e+04  1.64427e-09  0.00000e+00
0003  1.13294e+18  1.97115e-18  8.50598e-06 -5.11869e+03  3.66635e-03  0.00000e+00
0004  1.13525e+18  1.87268e-18  8.18929e-06 -1.01391e+04  6.34249e-03  0.00000e+00
0005  1.13755e+18  1.77846e-18  7.88515e-06 -8.14755e+03  8.94664e-03  0.00000e+00
0006  1.13985e+18  1.68929e-18  7.60018e-06 -5.49697e+03  1.17783e-02  0.00000e+00
0007  1.14215e+18  1.60504e-18  7.33041e-06 -2.23397e+03  1.58385e-02  0.00000e+00
0008  1.14445e+18  1.52508e-18  7.07571e-06  1.26388e+03  2.34619e-02  0.00000e+00
0009  1.14676e+18  1.44803e-18  6.83508e-06  4.81202e+03  3.83364e-02  0.00000e+00
0010  1.14906e+18  1.37342e-18  6.60795e-06  8.21422e+03  6.37806e-02  0.00000e+00
0011  1.15136e+18  1.30369e-18  6.39283e-06  1.11955e+04  9.92821e-02  0.00000e+00
0012  1.15366e+18  1.23746e-18  6.18909e-06  1.38053e+04  1.37962e-01  0.00000e+00
0013  1.15596e+18  1.17469e-18  5.99555e-06  1.62530e+04  1.69299e-01  0.00000e+00
0014  1.15827e+18  1.11619e-18  5.81209e-06  1.86772e+04  1.87319e-01  0.00000e+00
0015  1.16057e+18  1.06053e-18  5.63834e-06  2.11705e+04  1.94846e-01  0.00000e+00
0016  1.16287e+18  1.00667e-18  5.47449e-06  2.36580e+04  1.97768e-01  0.00000e+00
0017  1.16517e+18  9.54032e-19  5.32057e-06  2.63027e+04  1.99355e-01  0.00000e+00
0018  1.16747e+18  9.03023e-19  5.17569e-06  2.91287e+04  2.00700e-01  0.00000e+00
0019  1.16977e+18  8.58763e-19  5.03946e-06  3.21544e+04  2.02144e-01  0.00000e+00
0020  1.17208e+18  8.24648e-19  4.90970e-06  3.51240e+04  2.03794e-01  0.00000e+00
0021  1.17438e+18  7.87716e-19  4.78704e-06  3.86144e+04  2.05632e-01  0.00000e+00
0022  1.17668e+18  7.52061e-19  4.67036e-06  4.29234e+04  2.07585e-01  0.00000e+00
0023  1.17898e+18  7.19458e-19  4.55924e-06  4.76619e+04  2.09586e-01  0.00000e+00
0024  1.18128e+18  6.88657e-19  4.45355e-06  5.29439e+04  2.11578e-01  0.00000e+00
0025  1.18359e+18  6.58340e-19  4.35293e-06  5.90233e+04  2.13527e-01  0.00000e+00
0026  1.18589e+18  6.28360e-19  4.25759e-06  6.62814e+04  2.15427e-01  0.00000e+00
0027  1.18819e+18  5.99870e-19  4.16611e-06  7.43984e+04  2.17289e-01  0.00000e+00
0028  1.19049e+18  5.75655e-19  4.07839e-06  8.27380e+04  2.19115e-01  0.00000e+00
0029  1.19279e+18  5.51917e-19  3.99400e-06  9.20682e+04  2.20908e-01  0.00000e+00
0030  1.19510e+18  5.28171e-19  3.91258e-06  1.03157e+05  2.22667e-01  0.00000e+00
0031  1.19740e+18  5.04610e-19  3.83394e-06  1.15979e+05  2.24396e-01  0.00000e+00
0032  1.19970e+18  4.82739e-19  3.75797e-06  1.29977e+05  2.26100e-01  0.00000e+00
0033  1.20200e+18  4.61212e-19  3.68475e-06  1.45683e+05  2.27778e-01  0.00000e+00
0034  1.20430e+18  4.38713e-19  3.61342e-06  1.64227e+05  2.29424e-01  0.00000e+00
0035  1.20661e+18  4.14665e-19  3.54477e-06  1.86921e+05  2.31030e-01  0.00000e+00
0036  1.20891e+18  3.92428e-19  3.47684e-06  2.11716e+05  2.32599e-01  0.00000e+00
0037  1.21121e+18  3.74279e-19  3.41080e-06  2.33832e+05  2.34138e-01  0.00000e+00
0038  1.21351e+18  3.57531e-19  3.34903e-06  2.54831e+05  2.35642e-01  0.00000e+00
0039  1.21581e+18  3.39771e-19  3.28920e-06  2.78956e+05  2.37094e-01  0.00000e+00
0040  1.21812e+18  3.20727e-19  3.23152e-06  3.07060e+05  2.38483e-01  0.00000e+00
0041  1.22042e+18  3.00599e-19  3.17633e-06  3.39095e+05  2.39808e-01  0.00000e+00
0042  1.22272e+18  2.78538e-19  3.12558e-06  3.79936e+05  2.41070e-01  0.00000e+00
0043  1.22502e+18  2.53100e-19  3.07784e-06  4.40186e+05  2.42266e-01  0.00000e+00
0044  1.22732e+18  2.31331e-19  3.02239e-06  5.09752e+05  2.43401e-01  0.00000e+00
0045  1.22963e+18  2.10448e-19  2.97781e-06  5.83258e+05  2.44482e-01  0.00000e+00
0046  1.23193e+18  1.90689e-19  2.93446e-06  6.65345e+05  2.45508e-01  0.00000e+00
0047  1.23423e+18  1.75681e-19  2.89710e-06  7.24443e+05  2.46491e-01  0.00000e+00
0048  1.23653e+18  1.69879e-19  2.87147e-06  7.41857e+05  2.47462e-01  0.00000e+00
0049  1.23883e+18  1.68205e-19  2.85449e-06  7.29220e+05  2.48444e-01  0.00000e+00
0050  1.24114e+18  1.67720e-19  2.84484e-06  7.03273e+05  2.49453e-01  0.00000e+00
0051  1.24344e+18  1.67268e-19  2.83535e-06  6.75443e+05  2.50491e-01  0.00000e+00
0052  1.24574e+18  1.66521e-19  2.82398e-06  6.53498e+05  2.51554e-01  0.00000e+00
0053  1.24804e+18  1.65237e-19  2.80927e-06  6.41784e+05  2.52631e-01  0.00000e+00
0054  1.25034e+18  1.63473e-19  2.79163e-06  6.38854e+05  2.53711e-01  0.00000e+00
0055  1.25265e+18  1.61444e-19  2.77234e-06  6.40478e+05  2.54786e-01  0.00000e+00
0056  1.25495e+18  1.59147e-19  2.75138e-06  6.43943e+05  2.55857e-01  0.00000e+00
0057  1.25725e+18  1.56731e-19  2.72967e-06  6.47641e+05  2.56923e-01  0.00000e+00
0058  1.25955e+18  1.54292e-19  2.70780e-06  6.50265e+05  2.57988e-01  0.00000e+00
0059  1.26185e+18  1.51918e-19  2.68634e-06  6.51130e+05  2.59051e-01  0.00000e+00
0060  1.26415e+18  1.49673e-19  2.66570e-06  6.49928e+05  2.60113e-01  0.00000e+00
0061  1.26646e+18  1.47702e-19  2.64683e-06  6.45599e+05  2.61172e-01  0.00000e+00
0062  1.26876e+18  1.46026e-19  2.62988e-06  6.37354e+05  2.62228e-01  0.00000e+00
0063  1.27106e+18  1.44585e-19  2.61444e-06  6.26927e+05  2.63279e-01  0.00000e+00
0064  1.27336e+18  1.43258e-19  2.59926e-06  6.16709e+05  2.64321e-01  0.00000e+00
