# Athena++ data at time=1.750000e+12  cycle=117267786  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.23350e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.99264e-19  5.48059e-06  2.15686e+05  9.48033e-03  0.00000e+00
0004  1.17558e+18  6.45991e-19  4.35093e-06  2.66047e+05  2.07895e-02  0.00000e+00
0005  1.19399e+18  4.34393e-19  3.64584e-06  3.66895e+05  3.09786e-02  0.00000e+00
0006  1.21241e+18  2.88770e-19  3.18747e-06  5.29272e+05  3.98208e-02  0.00000e+00
0007  1.23082e+18  1.73690e-19  2.90598e-06  8.07207e+05  4.77310e-02  0.00000e+00
0008  1.24924e+18  1.43569e-19  2.66185e-06  9.96651e+05  5.48569e-02  0.00000e+00
0009  1.26765e+18  1.29152e-19  2.50823e-06  1.05116e+06  6.14777e-02  0.00000e+00
0010  1.28607e+18  1.17029e-19  2.36903e-06  1.12289e+06  6.76769e-02  0.00000e+00
0011  1.30448e+18  1.08684e-19  2.23983e-06  1.18419e+06  7.34978e-02  0.00000e+00
0012  1.32290e+18  1.01702e-19  2.12898e-06  1.22723e+06  7.90073e-02  0.00000e+00
0013  1.34131e+18  9.52463e-20  2.02602e-06  1.27331e+06  8.42313e-02  0.00000e+00
0014  1.35973e+18  8.93880e-20  1.93174e-06  1.32031e+06  8.91913e-02  0.00000e+00
0015  1.37814e+18  8.41536e-20  1.84543e-06  1.36608e+06  9.39111e-02  0.00000e+00
0016  1.39656e+18  7.95650e-20  1.76604e-06  1.40838e+06  9.84116e-02  0.00000e+00
0017  1.41497e+18  7.53905e-20  1.69321e-06  1.44846e+06  1.02712e-01  0.00000e+00
0018  1.43339e+18  7.15302e-20  1.62556e-06  1.48847e+06  1.06829e-01  0.00000e+00
0019  1.45180e+18  6.79897e-20  1.56306e-06  1.52724e+06  1.10777e-01  0.00000e+00
0020  1.47022e+18  6.51023e-20  1.50409e-06  1.55841e+06  1.14566e-01  0.00000e+00
0021  1.48863e+18  6.22120e-20  1.45133e-06  1.58892e+06  1.18218e-01  0.00000e+00
0022  1.50705e+18  5.92720e-20  1.40007e-06  1.62845e+06  1.21738e-01  0.00000e+00
0023  1.52546e+18  5.68348e-20  1.35155e-06  1.66168e+06  1.25133e-01  0.00000e+00
0024  1.54388e+18  5.45646e-20  1.30798e-06  1.68963e+06  1.28420e-01  0.00000e+00
0027  1.56229e+18  5.23521e-20  1.26602e-06  1.72164e+06  1.31610e-01  0.00000e+00
0028  1.58071e+18  5.02680e-20  1.22650e-06  1.75366e+06  1.34710e-01  0.00000e+00
0029  1.59912e+18  4.83076e-20  1.18931e-06  1.78542e+06  1.37731e-01  0.00000e+00
0030  1.61754e+18  4.64528e-20  1.15418e-06  1.81744e+06  1.40683e-01  0.00000e+00
0031  1.63595e+18  4.46902e-20  1.12091e-06  1.85009e+06  1.43575e-01  0.00000e+00
0032  1.65437e+18  4.30074e-20  1.08934e-06  1.88375e+06  1.46416e-01  0.00000e+00
0033  1.67278e+18  4.13911e-20  1.05931e-06  1.91893e+06  1.49214e-01  0.00000e+00
0034  1.69120e+18  3.98274e-20  1.03070e-06  1.95618e+06  1.51977e-01  0.00000e+00
0035  1.70961e+18  3.83096e-20  1.00348e-06  1.99573e+06  1.54709e-01  0.00000e+00
0036  1.72803e+18  3.68925e-20  9.77559e-07  2.03470e+06  1.57419e-01  0.00000e+00
0037  1.74644e+18  3.56317e-20  9.53393e-07  2.06818e+06  1.60117e-01  0.00000e+00
0038  1.76486e+18  3.45171e-20  9.30979e-07  2.09520e+06  1.62815e-01  0.00000e+00
0039  1.78328e+18  3.35098e-20  9.09991e-07  2.11796e+06  1.65525e-01  0.00000e+00
0040  1.80169e+18  3.25490e-20  8.90116e-07  2.14000e+06  1.68256e-01  0.00000e+00
0041  1.82011e+18  3.16106e-20  8.70938e-07  2.16373e+06  1.71016e-01  0.00000e+00
0042  1.83852e+18  3.07001e-20  8.52476e-07  2.18879e+06  1.73813e-01  0.00000e+00
0043  1.85694e+18  2.98232e-20  8.34733e-07  2.21477e+06  1.76653e-01  0.00000e+00
0044  1.87535e+18  2.89833e-20  8.17691e-07  2.24130e+06  1.79544e-01  0.00000e+00
0045  1.89377e+18  2.81818e-20  8.01321e-07  2.26815e+06  1.82494e-01  0.00000e+00
0046  1.91218e+18  2.74198e-20  7.85584e-07  2.29514e+06  1.85509e-01  0.00000e+00
0047  1.93060e+18  2.66980e-20  7.70438e-07  2.32221e+06  1.88598e-01  0.00000e+00
0048  1.94901e+18  2.60172e-20  7.55838e-07  2.34939e+06  1.91767e-01  0.00000e+00
0049  1.96743e+18  2.53787e-20  7.41735e-07  2.37678e+06  1.95022e-01  0.00000e+00
0050  1.98584e+18  2.47916e-20  7.28092e-07  2.40420e+06  1.98372e-01  0.00000e+00
0051  2.00426e+18  2.42801e-20  7.14957e-07  2.43093e+06  2.01822e-01  0.00000e+00
0052  2.02267e+18  2.39294e-20  7.01874e-07  2.45241e+06  2.05389e-01  0.00000e+00
0053  2.04109e+18  2.37539e-20  6.89358e-07  2.46184e+06  2.09106e-01  0.00000e+00
0054  2.05951e+18  2.36157e-20  6.77352e-07  2.46101e+06  2.13003e-01  0.00000e+00
0055  2.07792e+18  2.35011e-20  6.65962e-07  2.45603e+06  2.17111e-01  0.00000e+00
0056  2.09634e+18  2.33897e-20  6.55115e-07  2.44692e+06  2.21451e-01  0.00000e+00
0057  2.11475e+18  2.32579e-20  6.44679e-07  2.43623e+06  2.26036e-01  0.00000e+00
0058  2.13317e+18  2.30905e-20  6.34518e-07  2.42677e+06  2.30866e-01  0.00000e+00
0059  2.15158e+18  2.28926e-20  6.24589e-07  2.41897e+06  2.35936e-01  0.00000e+00
0060  2.17000e+18  2.26684e-20  6.14814e-07  2.41157e+06  2.41230e-01  0.00000e+00
0061  2.18841e+18  2.24146e-20  6.05276e-07  2.41097e+06  2.46677e-01  0.00000e+00
0062  2.20683e+18  2.20915e-20  5.95543e-07  2.42833e+06  2.52359e-01  0.00000e+00
0063  2.22524e+18  2.11603e-20  5.83413e-07  2.35953e+06  2.58438e-01  0.00000e+00
0064  2.24366e+18  1.27979e-20  6.18222e-07  2.83439e+06  2.63915e-01  0.00000e+00
0065  2.26207e+18  6.30098e-21  5.23914e-07  5.14223e+06  2.67960e-01  0.00000e+00
0066  2.28049e+18  4.25864e-21  4.77350e-07  6.70678e+06  2.71248e-01  0.00000e+00
0067  2.29891e+18  3.43955e-21  4.54458e-07  7.70586e+06  2.74158e-01  0.00000e+00
0068  2.31732e+18  2.97540e-21  4.36428e-07  8.51674e+06  2.76818e-01  0.00000e+00
0069  2.33574e+18  2.65632e-21  4.20752e-07  9.23156e+06  2.79286e-01  0.00000e+00
0070  2.35415e+18  2.41121e-21  4.06559e-07  9.88917e+06  2.81605e-01  0.00000e+00
0071  2.37257e+18  2.21121e-21  3.93431e-07  1.05079e+07  2.83806e-01  0.00000e+00
0072  2.39098e+18  2.04293e-21  3.81121e-07  1.10974e+07  2.85904e-01  0.00000e+00
0073  2.40940e+18  1.89908e-21  3.69560e-07  1.16617e+07  2.87904e-01  0.00000e+00
0074  2.42781e+18  1.77386e-21  3.58625e-07  1.22077e+07  2.89803e-01  0.00000e+00
0075  2.44623e+18  1.66343e-21  3.48026e-07  1.27427e+07  2.91598e-01  0.00000e+00
0076  2.46464e+18  1.56573e-21  3.37823e-07  1.32626e+07  2.93291e-01  0.00000e+00
0077  2.48306e+18  1.47863e-21  3.28015e-07  1.37669e+07  2.94889e-01  0.00000e+00
0078  2.50147e+18  1.40022e-21  3.18577e-07  1.42575e+07  2.96405e-01  0.00000e+00
0079  2.51989e+18  1.32914e-21  3.09501e-07  1.47358e+07  2.97848e-01  0.00000e+00
0080  2.53831e+18  1.26443e-21  3.00816e-07  1.52016e+07  2.99229e-01  0.00000e+00
0081  2.55672e+18  1.20532e-21  2.92535e-07  1.56549e+07  3.00556e-01  0.00000e+00
0082  2.57514e+18  1.15124e-21  2.84660e-07  1.60953e+07  3.01831e-01  0.00000e+00
0083  2.59355e+18  1.10162e-21  2.77171e-07  1.65235e+07  3.03053e-01  0.00000e+00
0084  2.61197e+18  1.05562e-21  2.69957e-07  1.69450e+07  3.04219e-01  0.00000e+00
0085  2.63038e+18  1.01286e-21  2.62959e-07  1.73611e+07  3.05325e-01  0.00000e+00
0086  2.64880e+18  9.73184e-22  2.56213e-07  1.77695e+07  3.06367e-01  0.00000e+00
0087  2.66721e+18  9.36338e-22  2.49707e-07  1.81698e+07  3.07346e-01  0.00000e+00
0088  2.68563e+18  9.02063e-22  2.43435e-07  1.85619e+07  3.08264e-01  0.00000e+00
0089  2.70404e+18  8.70108e-22  2.37391e-07  1.89459e+07  3.09125e-01  0.00000e+00
0090  2.72246e+18  8.40219e-22  2.31573e-07  1.93217e+07  3.09934e-01  0.00000e+00
0091  2.74088e+18  8.12106e-22  2.25948e-07  1.96912e+07  3.10701e-01  0.00000e+00
0092  2.75929e+18  7.85584e-22  2.20512e-07  2.00543e+07  3.11430e-01  0.00000e+00
0093  2.77771e+18  7.60498e-22  2.15261e-07  2.04109e+07  3.12127e-01  0.00000e+00
0094  2.79612e+18  7.36722e-22  2.10187e-07  2.07610e+07  3.12798e-01  0.00000e+00
0095  2.81454e+18  7.14154e-22  2.05286e-07  2.11042e+07  3.13443e-01  0.00000e+00
0096  2.83295e+18  6.92721e-22  2.00553e-07  2.14404e+07  3.14065e-01  0.00000e+00
0097  2.85137e+18  6.72375e-22  1.95990e-07  2.17691e+07  3.14660e-01  0.00000e+00
0098  2.86978e+18  6.53076e-22  1.91597e-07  2.20899e+07  3.15228e-01  0.00000e+00
0099  2.88820e+18  6.34795e-22  1.87377e-07  2.24022e+07  3.15765e-01  0.00000e+00
0100  2.90661e+18  6.17569e-22  1.83359e-07  2.27034e+07  3.16269e-01  0.00000e+00
0101  2.92503e+18  6.01243e-22  1.79503e-07  2.29965e+07  3.16738e-01  0.00000e+00
0102  2.94345e+18  5.85657e-22  1.75750e-07  2.32856e+07  3.17170e-01  0.00000e+00
0103  2.96186e+18  5.70760e-22  1.72092e-07  2.35709e+07  3.17565e-01  0.00000e+00
0104  2.98028e+18  5.56510e-22  1.68527e-07  2.38522e+07  3.17924e-01  0.00000e+00
0105  2.99869e+18  5.42860e-22  1.65051e-07  2.41294e+07  3.18249e-01  0.00000e+00
0106  3.01711e+18  5.29762e-22  1.61661e-07  2.44024e+07  3.18544e-01  0.00000e+00
0107  3.03552e+18  5.17171e-22  1.58353e-07  2.46712e+07  3.18813e-01  0.00000e+00
0108  3.05394e+18  5.05049e-22  1.55125e-07  2.49359e+07  3.19059e-01  0.00000e+00
0109  3.07235e+18  4.93360e-22  1.51976e-07  2.51965e+07  3.19287e-01  0.00000e+00
0110  3.09077e+18  4.82079e-22  1.48905e-07  2.54532e+07  3.19500e-01  0.00000e+00
0111  3.10918e+18  4.71183e-22  1.45912e-07  2.57063e+07  3.19702e-01  0.00000e+00
0112  3.12760e+18  4.60655e-22  1.42997e-07  2.59558e+07  3.19894e-01  0.00000e+00
0113  3.14602e+18  4.50480e-22  1.40160e-07  2.62022e+07  3.20078e-01  0.00000e+00
0114  3.16443e+18  4.40643e-22  1.37399e-07  2.64456e+07  3.20253e-01  0.00000e+00
0115  3.18285e+18  4.31139e-22  1.34714e-07  2.66861e+07  3.20420e-01  0.00000e+00
0116  3.20126e+18  4.21970e-22  1.32112e-07  2.69231e+07  3.20578e-01  0.00000e+00
0117  3.21968e+18  4.13124e-22  1.29590e-07  2.71565e+07  3.20723e-01  0.00000e+00
0118  3.23809e+18  4.04589e-22  1.27143e-07  2.73865e+07  3.20854e-01  0.00000e+00
0119  3.25651e+18  3.96349e-22  1.24764e-07  2.76133e+07  3.20970e-01  0.00000e+00
0120  3.27492e+18  3.88393e-22  1.22449e-07  2.78371e+07  3.21067e-01  0.00000e+00
0121  3.29334e+18  3.80709e-22  1.20195e-07  2.80578e+07  3.21140e-01  0.00000e+00
0122  3.31176e+18  3.73284e-22  1.17997e-07  2.82756e+07  3.21202e-01  0.00000e+00
0123  3.33017e+18  3.66109e-22  1.15855e-07  2.84906e+07  3.21236e-01  0.00000e+00
0124  3.34859e+18  3.59171e-22  1.13764e-07  2.87028e+07  3.21233e-01  0.00000e+00
0125  3.36700e+18  3.52460e-22  1.11725e-07  2.89124e+07  3.21217e-01  0.00000e+00
0126  3.38542e+18  3.45963e-22  1.09734e-07  2.91195e+07  3.21183e-01  0.00000e+00
0127  3.40383e+18  3.39669e-22  1.07791e-07  2.93241e+07  3.21131e-01  0.00000e+00
0128  3.42225e+18  3.33566e-22  1.05894e-07  2.95264e+07  3.21063e-01  0.00000e+00
0129  3.44066e+18  3.27642e-22  1.04043e-07  2.97263e+07  3.20981e-01  0.00000e+00
0130  3.45908e+18  3.21887e-22  1.02235e-07  2.99241e+07  3.20889e-01  0.00000e+00
0131  3.47749e+18  3.16290e-22  1.00470e-07  3.01197e+07  3.20787e-01  0.00000e+00
0132  3.49591e+18  3.10842e-22  9.87459e-08  3.03131e+07  3.20680e-01  0.00000e+00
0133  3.51433e+18  3.05534e-22  9.70617e-08  3.05043e+07  3.20568e-01  0.00000e+00
0134  3.53274e+18  3.00359e-22  9.54161e-08  3.06935e+07  3.20454e-01  0.00000e+00
0135  3.55116e+18  2.95311e-22  9.38080e-08  3.08805e+07  3.20340e-01  0.00000e+00
0136  3.56957e+18  2.90384e-22  9.22360e-08  3.10653e+07  3.20226e-01  0.00000e+00
0137  3.58799e+18  2.85574e-22  9.06990e-08  3.12480e+07  3.20112e-01  0.00000e+00
0138  3.60640e+18  2.80879e-22  8.91966e-08  3.14286e+07  3.19997e-01  0.00000e+00
0139  3.62482e+18  2.76294e-22  8.77262e-08  3.16071e+07  3.19882e-01  0.00000e+00
0140  3.64323e+18  2.71816e-22  8.62865e-08  3.17838e+07  3.19764e-01  0.00000e+00
0141  3.66165e+18  2.67452e-22  8.48814e-08  3.19579e+07  3.19643e-01  0.00000e+00
0142  3.68007e+18  2.63199e-22  8.35105e-08  3.21294e+07  3.19517e-01  0.00000e+00
0143  3.69848e+18  2.59055e-22  8.21718e-08  3.22983e+07  3.19383e-01  0.00000e+00
0144  3.71690e+18  2.55015e-22  8.08635e-08  3.24649e+07  3.19240e-01  0.00000e+00
0145  3.73531e+18  2.51076e-22  7.95841e-08  3.26292e+07  3.19087e-01  0.00000e+00
0146  3.75373e+18  2.47237e-22  7.83324e-08  3.27912e+07  3.18922e-01  0.00000e+00
0147  3.77214e+18  2.43495e-22  7.71075e-08  3.29508e+07  3.18744e-01  0.00000e+00
0148  3.79056e+18  2.39846e-22  7.59083e-08  3.31081e+07  3.18553e-01  0.00000e+00
0149  3.80897e+18  2.36289e-22  7.47338e-08  3.32633e+07  3.18348e-01  0.00000e+00
0150  3.82739e+18  2.32819e-22  7.35832e-08  3.34164e+07  3.18130e-01  0.00000e+00
0151  3.84581e+18  2.29433e-22  7.24557e-08  3.35675e+07  3.17900e-01  0.00000e+00
0152  3.86422e+18  2.26129e-22  7.13512e-08  3.37168e+07  3.17657e-01  0.00000e+00
0153  3.88264e+18  2.22903e-22  7.02694e-08  3.38643e+07  3.17404e-01  0.00000e+00
0154  3.90105e+18  2.19753e-22  6.92101e-08  3.40103e+07  3.17141e-01  0.00000e+00
0155  3.91947e+18  2.16676e-22  6.81732e-08  3.41549e+07  3.16870e-01  0.00000e+00
0156  3.93788e+18  2.13669e-22  6.71585e-08  3.42981e+07  3.16593e-01  0.00000e+00
0157  3.95630e+18  2.10729e-22  6.61654e-08  3.44401e+07  3.16312e-01  0.00000e+00
0158  3.97471e+18  2.07854e-22  6.51934e-08  3.45809e+07  3.16027e-01  0.00000e+00
0159  3.99313e+18  2.05039e-22  6.42421e-08  3.47206e+07  3.15742e-01  0.00000e+00
0160  4.01155e+18  2.02283e-22  6.33107e-08  3.48592e+07  3.15456e-01  0.00000e+00
0161  4.02996e+18  1.99582e-22  6.23986e-08  3.49967e+07  3.15172e-01  0.00000e+00
0162  4.04838e+18  1.96933e-22  6.15050e-08  3.51331e+07  3.14890e-01  0.00000e+00
0163  4.06679e+18  1.94335e-22  6.06294e-08  3.52682e+07  3.14612e-01  0.00000e+00
0164  4.08521e+18  1.91784e-22  5.97710e-08  3.54022e+07  3.14337e-01  0.00000e+00
0165  4.10362e+18  1.89281e-22  5.89292e-08  3.55349e+07  3.14066e-01  0.00000e+00
0166  4.12204e+18  1.86823e-22  5.81034e-08  3.56663e+07  3.13799e-01  0.00000e+00
0167  4.14045e+18  1.84409e-22  5.72931e-08  3.57964e+07  3.13535e-01  0.00000e+00
0168  4.15887e+18  1.82038e-22  5.64980e-08  3.59253e+07  3.13274e-01  0.00000e+00
0169  4.17728e+18  1.79710e-22  5.57178e-08  3.60530e+07  3.13015e-01  0.00000e+00
0170  4.19570e+18  1.77426e-22  5.49521e-08  3.61795e+07  3.12757e-01  0.00000e+00
0171  4.21412e+18  1.75184e-22  5.42007e-08  3.63048e+07  3.12499e-01  0.00000e+00
0172  4.23253e+18  1.72986e-22  5.34635e-08  3.64290e+07  3.12238e-01  0.00000e+00
0173  4.25095e+18  1.70830e-22  5.27401e-08  3.65522e+07  3.11974e-01  0.00000e+00
0174  4.26936e+18  1.68718e-22  5.20304e-08  3.66744e+07  3.11705e-01  0.00000e+00
0175  4.28778e+18  1.66648e-22  5.13340e-08  3.67955e+07  3.11431e-01  0.00000e+00
0176  4.30619e+18  1.64621e-22  5.06507e-08  3.69157e+07  3.11149e-01  0.00000e+00
0177  4.32461e+18  1.62636e-22  4.99800e-08  3.70349e+07  3.10860e-01  0.00000e+00
0178  4.34302e+18  1.60691e-22  4.93216e-08  3.71532e+07  3.10562e-01  0.00000e+00
0179  4.36144e+18  1.58787e-22  4.86751e-08  3.72705e+07  3.10255e-01  0.00000e+00
0180  4.37986e+18  1.56921e-22  4.80400e-08  3.73869e+07  3.09939e-01  0.00000e+00
0181  4.39827e+18  1.55092e-22  4.74162e-08  3.75023e+07  3.09614e-01  0.00000e+00
0182  4.41669e+18  1.53300e-22  4.68034e-08  3.76166e+07  3.09281e-01  0.00000e+00
0183  4.43510e+18  1.51542e-22  4.62011e-08  3.77300e+07  3.08941e-01  0.00000e+00
0184  4.45352e+18  1.49817e-22  4.56092e-08  3.78423e+07  3.08593e-01  0.00000e+00
0185  4.47193e+18  1.48125e-22  4.50273e-08  3.79536e+07  3.08240e-01  0.00000e+00
0186  4.49035e+18  1.46462e-22  4.44552e-08  3.80639e+07  3.07882e-01  0.00000e+00
0187  4.50876e+18  1.44829e-22  4.38927e-08  3.81732e+07  3.07521e-01  0.00000e+00
0188  4.52718e+18  1.43223e-22  4.33394e-08  3.82816e+07  3.07157e-01  0.00000e+00
0189  4.54560e+18  1.41643e-22  4.27953e-08  3.83889e+07  3.06793e-01  0.00000e+00
0190  4.56401e+18  1.40088e-22  4.22601e-08  3.84952e+07  3.06430e-01  0.00000e+00
0191  4.58243e+18  1.38557e-22  4.17334e-08  3.86006e+07  3.06068e-01  0.00000e+00
0192  4.60084e+18  1.37048e-22  4.12151e-08  3.87050e+07  3.05709e-01  0.00000e+00
0193  4.61926e+18  1.35560e-22  4.07049e-08  3.88083e+07  3.05353e-01  0.00000e+00
0194  4.63767e+18  1.34094e-22  4.02026e-08  3.89107e+07  3.05001e-01  0.00000e+00
0195  4.65609e+18  1.32647e-22  3.97080e-08  3.90120e+07  3.04654e-01  0.00000e+00
0196  4.67450e+18  1.31220e-22  3.92208e-08  3.91123e+07  3.04313e-01  0.00000e+00
0197  4.69292e+18  1.29812e-22  3.87410e-08  3.92115e+07  3.03976e-01  0.00000e+00
0198  4.71134e+18  1.28423e-22  3.82684e-08  3.93098e+07  3.03644e-01  0.00000e+00
0199  4.72975e+18  1.27053e-22  3.78031e-08  3.94070e+07  3.03317e-01  0.00000e+00
0200  4.74817e+18  1.25703e-22  3.73450e-08  3.95034e+07  3.02995e-01  0.00000e+00
0201  4.76658e+18  1.24371e-22  3.68942e-08  3.95989e+07  3.02676e-01  0.00000e+00
0202  4.78500e+18  1.23060e-22  3.64506e-08  3.96937e+07  3.02360e-01  0.00000e+00
0203  4.80341e+18  1.21768e-22  3.60144e-08  3.97877e+07  3.02046e-01  0.00000e+00
0204  4.82183e+18  1.20497e-22  3.55855e-08  3.98812e+07  3.01733e-01  0.00000e+00
0205  4.84024e+18  1.19247e-22  3.51639e-08  3.99741e+07  3.01421e-01  0.00000e+00
0206  4.85866e+18  1.18017e-22  3.47495e-08  4.00664e+07  3.01107e-01  0.00000e+00
0207  4.87708e+18  1.16808e-22  3.43423e-08  4.01583e+07  3.00791e-01  0.00000e+00
0208  4.89549e+18  1.15620e-22  3.39421e-08  4.02497e+07  3.00473e-01  0.00000e+00
0209  4.91391e+18  1.14452e-22  3.35487e-08  4.03406e+07  3.00151e-01  0.00000e+00
0210  4.93232e+18  1.13305e-22  3.31618e-08  4.04311e+07  2.99824e-01  0.00000e+00
0211  4.95074e+18  1.12177e-22  3.27813e-08  4.05210e+07  2.99492e-01  0.00000e+00
0212  4.96915e+18  1.11068e-22  3.24068e-08  4.06103e+07  2.99155e-01  0.00000e+00
0213  4.98757e+18  1.09978e-22  3.20382e-08  4.06990e+07  2.98812e-01  0.00000e+00
0214  5.00598e+18  1.08906e-22  3.16752e-08  4.07870e+07  2.98463e-01  0.00000e+00
0215  5.02440e+18  1.07852e-22  3.13177e-08  4.08744e+07  2.98109e-01  0.00000e+00
0216  5.04282e+18  1.06815e-22  3.09654e-08  4.09611e+07  2.97748e-01  0.00000e+00
0217  5.06123e+18  1.05794e-22  3.06183e-08  4.10471e+07  2.97383e-01  0.00000e+00
0218  5.07965e+18  1.04789e-22  3.02762e-08  4.11325e+07  2.97012e-01  0.00000e+00
0219  5.09806e+18  1.03800e-22  2.99391e-08  4.12172e+07  2.96637e-01  0.00000e+00
0220  5.11648e+18  1.02826e-22  2.96070e-08  4.13013e+07  2.96259e-01  0.00000e+00
0221  5.13489e+18  1.01866e-22  2.92799e-08  4.13849e+07  2.95878e-01  0.00000e+00
0222  5.15331e+18  1.00921e-22  2.89576e-08  4.14679e+07  2.95495e-01  0.00000e+00
0223  5.17172e+18  9.99891e-23  2.86402e-08  4.15505e+07  2.95110e-01  0.00000e+00
0224  5.19014e+18  9.90710e-23  2.83276e-08  4.16325e+07  2.94725e-01  0.00000e+00
0225  5.20856e+18  9.81657e-23  2.80197e-08  4.17142e+07  2.94341e-01  0.00000e+00
0226  5.22697e+18  9.72730e-23  2.77166e-08  4.17954e+07  2.93958e-01  0.00000e+00
0227  5.24539e+18  9.63922e-23  2.74180e-08  4.18762e+07  2.93578e-01  0.00000e+00
0228  5.26380e+18  9.55230e-23  2.71239e-08  4.19565e+07  2.93200e-01  0.00000e+00
0229  5.28222e+18  9.46648e-23  2.68342e-08  4.20364e+07  2.92826e-01  0.00000e+00
0230  5.30063e+18  9.38172e-23  2.65487e-08  4.21158e+07  2.92455e-01  0.00000e+00
0231  5.31905e+18  9.29798e-23  2.62674e-08  4.21947e+07  2.92090e-01  0.00000e+00
0232  5.33746e+18  9.21522e-23  2.59900e-08  4.22731e+07  2.91729e-01  0.00000e+00
0233  5.35588e+18  9.13341e-23  2.57165e-08  4.23510e+07  2.91373e-01  0.00000e+00
0234  5.37430e+18  9.05253e-23  2.54468e-08  4.24283e+07  2.91022e-01  0.00000e+00
0235  5.39271e+18  8.97256e-23  2.51808e-08  4.25050e+07  2.90677e-01  0.00000e+00
0236  5.41113e+18  8.89350e-23  2.49184e-08  4.25812e+07  2.90336e-01  0.00000e+00
0237  5.42954e+18  8.81532e-23  2.46595e-08  4.26568e+07  2.90000e-01  0.00000e+00
0238  5.44796e+18  8.73805e-23  2.44042e-08  4.27318e+07  2.89667e-01  0.00000e+00
0239  5.46637e+18  8.66167e-23  2.41523e-08  4.28063e+07  2.89339e-01  0.00000e+00
0240  5.48479e+18  8.58619e-23  2.39038e-08  4.28802e+07  2.89013e-01  0.00000e+00
0241  5.50320e+18  8.51162e-23  2.36586e-08  4.29536e+07  2.88689e-01  0.00000e+00
0242  5.52162e+18  8.43797e-23  2.34167e-08  4.30265e+07  2.88366e-01  0.00000e+00
0243  5.54004e+18  8.36523e-23  2.31780e-08  4.30988e+07  2.88045e-01  0.00000e+00
0244  5.55845e+18  8.29340e-23  2.29423e-08  4.31705e+07  2.87722e-01  0.00000e+00
0245  5.57687e+18  8.22249e-23  2.27097e-08  4.32417e+07  2.87399e-01  0.00000e+00
0246  5.59528e+18  8.15248e-23  2.24800e-08  4.33123e+07  2.87074e-01  0.00000e+00
0247  5.61370e+18  8.08338e-23  2.22531e-08  4.33822e+07  2.86747e-01  0.00000e+00
0248  5.63211e+18  8.01517e-23  2.20290e-08  4.34516e+07  2.86416e-01  0.00000e+00
0249  5.65053e+18  7.94785e-23  2.18076e-08  4.35203e+07  2.86082e-01  0.00000e+00
0250  5.66894e+18  7.88142e-23  2.15889e-08  4.35884e+07  2.85744e-01  0.00000e+00
0251  5.68736e+18  7.81586e-23  2.13728e-08  4.36558e+07  2.85402e-01  0.00000e+00
0252  5.70578e+18  7.75118e-23  2.11593e-08  4.37228e+07  2.85055e-01  0.00000e+00
