# Athena++ data at time=1.316000e+13  cycle=881853752  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09800e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43594e+05  7.93074e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11370e+05  1.74215e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31074e+05  2.60041e-02  0.00000e+00
0006  1.21241e+18  2.83179e-19  3.17893e-06  6.30627e+05  3.34733e-02  0.00000e+00
0007  1.23082e+18  1.70276e-19  2.89032e-06  9.60056e+05  4.01729e-02  0.00000e+00
0008  1.24924e+18  1.39930e-19  2.63488e-06  1.18967e+06  4.61857e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25753e+06  5.17674e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33326e+06  5.69943e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21649e-06  1.39560e+06  6.19065e-02  0.00000e+00
0012  1.32290e+18  9.98068e-20  2.10580e-06  1.44948e+06  6.65447e-02  0.00000e+00
0013  1.34131e+18  9.33614e-20  2.00320e-06  1.50695e+06  7.09317e-02  0.00000e+00
0014  1.35973e+18  8.75135e-20  1.90930e-06  1.56415e+06  7.50887e-02  0.00000e+00
0015  1.37814e+18  8.24346e-20  1.82298e-06  1.61716e+06  7.90338e-02  0.00000e+00
0016  1.39656e+18  7.78875e-20  1.74446e-06  1.66616e+06  8.27865e-02  0.00000e+00
0017  1.41497e+18  7.36956e-20  1.67178e-06  1.71497e+06  8.63614e-02  0.00000e+00
0018  1.43339e+18  6.98516e-20  1.60473e-06  1.76261e+06  8.97739e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54165e-06  1.80138e+06  9.30317e-02  0.00000e+00
0020  1.47022e+18  6.35916e-20  1.48572e-06  1.83968e+06  9.61544e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43087e-06  1.88849e+06  9.91465e-02  0.00000e+00
0022  1.50705e+18  5.78120e-20  1.37948e-06  1.92879e+06  1.02014e-01  0.00000e+00
0023  1.52546e+18  5.53940e-20  1.33367e-06  1.96277e+06  1.04771e-01  0.00000e+00
0024  1.54388e+18  5.30245e-20  1.28950e-06  2.00186e+06  1.07423e-01  0.00000e+00
0027  1.56229e+18  5.07857e-20  1.24795e-06  2.04132e+06  1.09978e-01  0.00000e+00
0028  1.58071e+18  4.86844e-20  1.20901e-06  2.08011e+06  1.12440e-01  0.00000e+00
0029  1.59912e+18  4.67009e-20  1.17240e-06  2.11878e+06  1.14816e-01  0.00000e+00
0030  1.61754e+18  4.48176e-20  1.13789e-06  2.15780e+06  1.17112e-01  0.00000e+00
0031  1.63595e+18  4.30203e-20  1.10530e-06  2.19756e+06  1.19332e-01  0.00000e+00
0032  1.65437e+18  4.12975e-20  1.07453e-06  2.23832e+06  1.21482e-01  0.00000e+00
0033  1.67278e+18  3.96614e-20  1.04551e-06  2.27920e+06  1.23565e-01  0.00000e+00
0034  1.69120e+18  3.82031e-20  1.01821e-06  2.31567e+06  1.25586e-01  0.00000e+00
0035  1.70961e+18  3.69267e-20  9.93096e-07  2.34446e+06  1.27551e-01  0.00000e+00
0036  1.72803e+18  3.57835e-20  9.69619e-07  2.36822e+06  1.29464e-01  0.00000e+00
0037  1.74644e+18  3.46918e-20  9.47551e-07  2.39105e+06  1.31331e-01  0.00000e+00
0038  1.76486e+18  3.36109e-20  9.26263e-07  2.41657e+06  1.33152e-01  0.00000e+00
0039  1.78328e+18  3.25460e-20  9.05790e-07  2.44437e+06  1.34930e-01  0.00000e+00
0040  1.80169e+18  3.15074e-20  8.86183e-07  2.47368e+06  1.36668e-01  0.00000e+00
0041  1.82011e+18  3.05005e-20  8.67457e-07  2.50392e+06  1.38366e-01  0.00000e+00
0042  1.83852e+18  2.95382e-20  8.49628e-07  2.53427e+06  1.40028e-01  0.00000e+00
0043  1.85694e+18  2.86812e-20  8.32715e-07  2.56141e+06  1.41655e-01  0.00000e+00
0044  1.87535e+18  2.78138e-20  8.16521e-07  2.57697e+06  1.43272e-01  0.00000e+00
0045  1.89377e+18  2.63715e-20  8.04458e-07  2.61063e+06  1.44877e-01  0.00000e+00
0046  1.91218e+18  2.56073e-20  7.90500e-07  2.68391e+06  1.46367e-01  0.00000e+00
0047  1.93060e+18  2.57852e-20  7.72321e-07  2.72425e+06  1.47712e-01  0.00000e+00
0048  1.94901e+18  2.58994e-20  7.56415e-07  2.69799e+06  1.49077e-01  0.00000e+00
0049  1.96743e+18  2.49008e-20  7.43624e-07  2.65128e+06  1.50740e-01  0.00000e+00
0050  1.98584e+18  2.15299e-20  7.35819e-07  2.67146e+06  1.52838e-01  0.00000e+00
0051  2.00426e+18  2.20706e-20  7.22813e-07  2.59433e+06  1.54651e-01  0.00000e+00
0052  2.02267e+18  2.86845e-20  7.30290e-07  2.20334e+06  1.55458e-01  0.00000e+00
0053  2.04109e+18  3.16212e-20  7.53394e-07  1.91392e+06  1.56276e-01  0.00000e+00
0054  2.05951e+18  3.13241e-20  7.43272e-07  1.94807e+06  1.57723e-01  0.00000e+00
0055  2.07792e+18  3.08600e-20  7.31274e-07  1.97376e+06  1.59717e-01  0.00000e+00
0056  2.09634e+18  3.01887e-20  7.16797e-07  2.00766e+06  1.61506e-01  0.00000e+00
0057  2.11475e+18  2.96343e-20  7.04118e-07  2.03462e+06  1.63191e-01  0.00000e+00
0058  2.13317e+18  2.86140e-20  6.85658e-07  1.91661e+06  1.66270e-01  0.00000e+00
0059  2.15158e+18  1.69135e-20  6.60235e-07  1.98510e+06  1.72994e-01  0.00000e+00
0060  2.17000e+18  6.86730e-21  6.72942e-07  2.58490e+06  1.85991e-01  0.00000e+00
0061  2.18841e+18  3.72652e-21  6.57577e-07  3.26987e+06  2.06262e-01  0.00000e+00
0062  2.20683e+18  3.05834e-21  6.53697e-07  3.60653e+06  2.29360e-01  0.00000e+00
0063  2.22524e+18  3.04082e-21  6.50735e-07  3.86601e+06  2.39086e-01  0.00000e+00
0064  2.24366e+18  3.14714e-21  6.52849e-07  3.97659e+06  2.38275e-01  0.00000e+00
0065  2.26207e+18  3.62953e-21  6.54415e-07  3.97152e+06  2.30531e-01  0.00000e+00
0066  2.28049e+18  6.29244e-21  6.70302e-07  4.31728e+06  2.04038e-01  0.00000e+00
0067  2.29891e+18  1.84924e-20  5.52353e-07  4.42163e+06  1.72508e-01  0.00000e+00
0068  2.31732e+18  2.67534e-20  6.14987e-07  3.74532e+06  1.64972e-01  0.00000e+00
0069  2.33574e+18  2.62993e-20  6.04316e-07  3.69517e+06  1.64758e-01  0.00000e+00
0070  2.35415e+18  2.56530e-20  5.91952e-07  3.68058e+06  1.65178e-01  0.00000e+00
0071  2.37257e+18  2.49273e-20  5.76542e-07  3.66684e+06  1.66435e-01  0.00000e+00
0072  2.39098e+18  2.40884e-20  5.62269e-07  3.64691e+06  1.68253e-01  0.00000e+00
0073  2.40940e+18  2.32922e-20  5.48861e-07  3.64583e+06  1.69993e-01  0.00000e+00
0074  2.42781e+18  2.26114e-20  5.35758e-07  3.65170e+06  1.71438e-01  0.00000e+00
0075  2.44623e+18  2.19643e-20  5.23821e-07  3.65389e+06  1.72769e-01  0.00000e+00
0076  2.46464e+18  2.12986e-20  5.11851e-07  3.65221e+06  1.74163e-01  0.00000e+00
0077  2.48306e+18  2.06170e-20  4.99969e-07  3.63247e+06  1.75630e-01  0.00000e+00
0078  2.50147e+18  1.98356e-20  4.87311e-07  3.57079e+06  1.77051e-01  0.00000e+00
0079  2.51989e+18  1.88776e-20  4.73372e-07  3.44582e+06  1.78319e-01  0.00000e+00
0080  2.53831e+18  1.78394e-20  4.59648e-07  3.26443e+06  1.79371e-01  0.00000e+00
0081  2.55672e+18  1.71215e-20  4.49205e-07  3.09706e+06  1.80186e-01  0.00000e+00
0082  2.57514e+18  1.66012e-20  4.40470e-07  3.00928e+06  1.80938e-01  0.00000e+00
0083  2.59355e+18  1.52302e-20  4.28557e-07  2.90104e+06  1.82136e-01  0.00000e+00
0084  2.61197e+18  9.52010e-21  4.56039e-07  3.19095e+06  1.84320e-01  0.00000e+00
0085  2.63038e+18  5.02048e-21  4.07885e-07  4.77422e+06  1.87270e-01  0.00000e+00
0086  2.64880e+18  3.50943e-21  3.87370e-07  5.78135e+06  1.90723e-01  0.00000e+00
0087  2.66721e+18  2.90645e-21  3.78211e-07  6.38334e+06  1.94426e-01  0.00000e+00
0088  2.68563e+18  2.57091e-21  3.71925e-07  6.83584e+06  1.98264e-01  0.00000e+00
0089  2.70404e+18  2.34153e-21  3.66572e-07  7.21875e+06  2.02196e-01  0.00000e+00
0090  2.72246e+18  2.16681e-21  3.61909e-07  7.55068e+06  2.06208e-01  0.00000e+00
0091  2.74088e+18  2.02641e-21  3.57510e-07  7.84393e+06  2.10293e-01  0.00000e+00
0092  2.75929e+18  1.90808e-21  3.53333e-07  8.10709e+06  2.14451e-01  0.00000e+00
0093  2.77771e+18  1.80447e-21  3.49348e-07  8.35311e+06  2.18683e-01  0.00000e+00
0094  2.79612e+18  1.71251e-21  3.45566e-07  8.58651e+06  2.22989e-01  0.00000e+00
0095  2.81454e+18  1.63019e-21  3.42032e-07  8.81001e+06  2.27370e-01  0.00000e+00
0096  2.83295e+18  1.55591e-21  3.38716e-07  9.02545e+06  2.31825e-01  0.00000e+00
0097  2.85137e+18  1.48836e-21  3.35601e-07  9.23345e+06  2.36352e-01  0.00000e+00
0098  2.86978e+18  1.42665e-21  3.32656e-07  9.43431e+06  2.40949e-01  0.00000e+00
0099  2.88820e+18  1.37017e-21  3.29891e-07  9.62737e+06  2.45617e-01  0.00000e+00
0100  2.90661e+18  1.31844e-21  3.27304e-07  9.81202e+06  2.50354e-01  0.00000e+00
0101  2.92503e+18  1.27066e-21  3.24889e-07  9.98875e+06  2.55164e-01  0.00000e+00
0102  2.94345e+18  1.22614e-21  3.22592e-07  1.01587e+07  2.60051e-01  0.00000e+00
0103  2.96186e+18  1.18451e-21  3.20393e-07  1.03209e+07  2.65017e-01  0.00000e+00
0104  2.98028e+18  1.14549e-21  3.18269e-07  1.04747e+07  2.70069e-01  0.00000e+00
0105  2.99869e+18  1.10883e-21  3.16204e-07  1.06197e+07  2.75208e-01  0.00000e+00
0106  3.01711e+18  1.07437e-21  3.14196e-07  1.07564e+07  2.80435e-01  0.00000e+00
0107  3.03552e+18  1.04197e-21  3.12253e-07  1.08853e+07  2.85749e-01  0.00000e+00
0108  3.05394e+18  1.01155e-21  3.10391e-07  1.10072e+07  2.91144e-01  0.00000e+00
0109  3.07235e+18  9.83037e-22  3.08626e-07  1.11228e+07  2.96613e-01  0.00000e+00
0110  3.09077e+18  9.56371e-22  3.06967e-07  1.12327e+07  3.02143e-01  0.00000e+00
0111  3.10918e+18  9.31464e-22  3.05419e-07  1.13371e+07  3.07722e-01  0.00000e+00
0112  3.12760e+18  9.08234e-22  3.03978e-07  1.14363e+07  3.13334e-01  0.00000e+00
0113  3.14602e+18  8.86605e-22  3.02637e-07  1.15304e+07  3.18963e-01  0.00000e+00
0114  3.16443e+18  8.66472e-22  3.01386e-07  1.16194e+07  3.24596e-01  0.00000e+00
0115  3.18285e+18  8.47738e-22  3.00213e-07  1.17036e+07  3.30222e-01  0.00000e+00
0116  3.20126e+18  8.30300e-22  2.99106e-07  1.17830e+07  3.35837e-01  0.00000e+00
0117  3.21968e+18  8.14025e-22  2.98050e-07  1.18576e+07  3.41440e-01  0.00000e+00
0118  3.23809e+18  7.98768e-22  2.97032e-07  1.19276e+07  3.47040e-01  0.00000e+00
0119  3.25651e+18  7.84385e-22  2.96042e-07  1.19928e+07  3.52652e-01  0.00000e+00
