# Athena++ data at time=3.300000e+12  cycle=221133539  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09852e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91594e-19  5.45964e-06  2.43488e+05  7.93659e-03  0.00000e+00
0004  1.17558e+18  6.41304e-19  4.33780e-06  3.11198e+05  1.74354e-02  0.00000e+00
0005  1.19399e+18  4.31085e-19  3.63782e-06  4.30831e+05  2.60262e-02  0.00000e+00
0006  1.21241e+18  2.83202e-19  3.17896e-06  6.30238e+05  3.35029e-02  0.00000e+00
0007  1.23082e+18  1.70287e-19  2.89039e-06  9.59479e+05  4.02087e-02  0.00000e+00
0008  1.24924e+18  1.39943e-19  2.63498e-06  1.18894e+06  4.62270e-02  0.00000e+00
0009  1.26765e+18  1.25884e-19  2.48285e-06  1.25677e+06  5.18140e-02  0.00000e+00
0010  1.28607e+18  1.14912e-19  2.34270e-06  1.33250e+06  5.70460e-02  0.00000e+00
0011  1.30448e+18  1.06798e-19  2.21657e-06  1.39481e+06  6.19632e-02  0.00000e+00
0012  1.32290e+18  9.98131e-20  2.10587e-06  1.44865e+06  6.66065e-02  0.00000e+00
0013  1.34131e+18  9.33674e-20  2.00327e-06  1.50609e+06  7.09983e-02  0.00000e+00
0014  1.35973e+18  8.75193e-20  1.90937e-06  1.56326e+06  7.51602e-02  0.00000e+00
0015  1.37814e+18  8.24397e-20  1.82304e-06  1.61625e+06  7.91101e-02  0.00000e+00
0016  1.39656e+18  7.78922e-20  1.74452e-06  1.66523e+06  8.28675e-02  0.00000e+00
0017  1.41497e+18  7.37002e-20  1.67184e-06  1.71401e+06  8.64471e-02  0.00000e+00
0018  1.43339e+18  6.98559e-20  1.60479e-06  1.76164e+06  8.98642e-02  0.00000e+00
0019  1.45180e+18  6.67304e-20  1.54170e-06  1.80042e+06  9.31267e-02  0.00000e+00
0020  1.47022e+18  6.35947e-20  1.48575e-06  1.83871e+06  9.62539e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43094e-06  1.88753e+06  9.92506e-02  0.00000e+00
0022  1.50705e+18  5.78143e-20  1.37951e-06  1.92780e+06  1.02122e-01  0.00000e+00
