# Athena++ data at time=1.433000e+13  cycle=960255643  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09800e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43594e+05  7.93075e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11370e+05  1.74215e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31074e+05  2.60041e-02  0.00000e+00
0006  1.21241e+18  2.83179e-19  3.17893e-06  6.30627e+05  3.34734e-02  0.00000e+00
0007  1.23082e+18  1.70276e-19  2.89032e-06  9.60056e+05  4.01730e-02  0.00000e+00
0008  1.24924e+18  1.39930e-19  2.63488e-06  1.18967e+06  4.61857e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25753e+06  5.17674e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33326e+06  5.69943e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21649e-06  1.39560e+06  6.19065e-02  0.00000e+00
0012  1.32290e+18  9.98068e-20  2.10580e-06  1.44948e+06  6.65447e-02  0.00000e+00
0013  1.34131e+18  9.33614e-20  2.00320e-06  1.50695e+06  7.09317e-02  0.00000e+00
0014  1.35973e+18  8.75135e-20  1.90930e-06  1.56415e+06  7.50887e-02  0.00000e+00
0015  1.37814e+18  8.24346e-20  1.82298e-06  1.61716e+06  7.90338e-02  0.00000e+00
0016  1.39656e+18  7.78874e-20  1.74446e-06  1.66616e+06  8.27865e-02  0.00000e+00
0017  1.41497e+18  7.36956e-20  1.67178e-06  1.71497e+06  8.63614e-02  0.00000e+00
0018  1.43339e+18  6.98516e-20  1.60473e-06  1.76261e+06  8.97739e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54165e-06  1.80138e+06  9.30317e-02  0.00000e+00
0020  1.47022e+18  6.35916e-20  1.48572e-06  1.83968e+06  9.61544e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43089e-06  1.88849e+06  9.91465e-02  0.00000e+00
0022  1.50705e+18  5.78120e-20  1.37948e-06  1.92879e+06  1.02014e-01  0.00000e+00
0023  1.52546e+18  5.53940e-20  1.33367e-06  1.96277e+06  1.04771e-01  0.00000e+00
0024  1.54388e+18  5.30245e-20  1.28950e-06  2.00186e+06  1.07423e-01  0.00000e+00
0027  1.56229e+18  5.07857e-20  1.24795e-06  2.04132e+06  1.09978e-01  0.00000e+00
0028  1.58071e+18  4.86844e-20  1.20901e-06  2.08011e+06  1.12440e-01  0.00000e+00
0029  1.59912e+18  4.67009e-20  1.17240e-06  2.11878e+06  1.14816e-01  0.00000e+00
0030  1.61754e+18  4.48176e-20  1.13789e-06  2.15780e+06  1.17112e-01  0.00000e+00
0031  1.63595e+18  4.30203e-20  1.10530e-06  2.19756e+06  1.19332e-01  0.00000e+00
0032  1.65437e+18  4.12976e-20  1.07453e-06  2.23831e+06  1.21482e-01  0.00000e+00
0033  1.67278e+18  3.96614e-20  1.04551e-06  2.27920e+06  1.23565e-01  0.00000e+00
0034  1.69120e+18  3.82032e-20  1.01821e-06  2.31567e+06  1.25586e-01  0.00000e+00
0035  1.70961e+18  3.69267e-20  9.93097e-07  2.34445e+06  1.27551e-01  0.00000e+00
0036  1.72803e+18  3.57836e-20  9.69619e-07  2.36822e+06  1.29464e-01  0.00000e+00
0037  1.74644e+18  3.46918e-20  9.47551e-07  2.39105e+06  1.31331e-01  0.00000e+00
0038  1.76486e+18  3.36109e-20  9.26263e-07  2.41657e+06  1.33152e-01  0.00000e+00
0039  1.78328e+18  3.25460e-20  9.05790e-07  2.44437e+06  1.34930e-01  0.00000e+00
0040  1.80169e+18  3.15068e-20  8.86181e-07  2.47368e+06  1.36668e-01  0.00000e+00
0041  1.82011e+18  3.04973e-20  8.67447e-07  2.50418e+06  1.38366e-01  0.00000e+00
0042  1.83852e+18  2.95206e-20  8.49599e-07  2.53549e+06  1.40027e-01  0.00000e+00
0043  1.85694e+18  2.86810e-20  8.32725e-07  2.56331e+06  1.41652e-01  0.00000e+00
0044  1.87535e+18  2.79667e-20  8.16503e-07  2.57659e+06  1.43256e-01  0.00000e+00
0045  1.89377e+18  2.67499e-20  8.02671e-07  2.59358e+06  1.44886e-01  0.00000e+00
0046  1.91218e+18  2.50599e-20  7.89684e-07  2.65578e+06  1.46453e-01  0.00000e+00
0047  1.93060e+18  2.51078e-20  7.75819e-07  2.74107e+06  1.47820e-01  0.00000e+00
0048  1.94901e+18  2.54971e-20  7.57038e-07  2.75101e+06  1.49080e-01  0.00000e+00
0049  1.96743e+18  2.51964e-20  7.43429e-07  2.68509e+06  1.50529e-01  0.00000e+00
0050  1.98584e+18  2.72996e-20  7.38226e-07  2.39869e+06  1.52391e-01  0.00000e+00
0051  2.00426e+18  3.13422e-20  7.64502e-07  1.97010e+06  1.54392e-01  0.00000e+00
0052  2.02267e+18  3.14054e-20  7.57474e-07  1.84076e+06  1.55785e-01  0.00000e+00
0053  2.04109e+18  3.11091e-20  7.46964e-07  1.85097e+06  1.56963e-01  0.00000e+00
0054  2.05951e+18  3.03349e-20  7.30783e-07  1.90091e+06  1.59137e-01  0.00000e+00
0055  2.07792e+18  2.21565e-20  6.72143e-07  1.87663e+06  1.64324e-01  0.00000e+00
0056  2.09634e+18  8.67507e-21  7.42866e-07  2.08209e+06  1.75332e-01  0.00000e+00
0057  2.11475e+18  4.30021e-21  6.90398e-07  2.96478e+06  1.92410e-01  0.00000e+00
0058  2.13317e+18  3.84800e-21  6.90158e-07  3.35093e+06  2.05060e-01  0.00000e+00
0059  2.15158e+18  3.91060e-21  6.93522e-07  3.61946e+06  2.05640e-01  0.00000e+00
0060  2.17000e+18  4.31875e-21  6.98899e-07  3.75337e+06  2.01423e-01  0.00000e+00
0061  2.18841e+18  6.94982e-21  7.24560e-07  4.29954e+06  1.84484e-01  0.00000e+00
0062  2.20683e+18  1.92494e-20  6.01012e-07  4.51938e+06  1.65047e-01  0.00000e+00
0063  2.22524e+18  2.81744e-20  6.54258e-07  3.86530e+06  1.61247e-01  0.00000e+00
0064  2.24366e+18  2.77681e-20  6.43405e-07  3.82684e+06  1.61332e-01  0.00000e+00
0065  2.26207e+18  2.70867e-20  6.30169e-07  3.83406e+06  1.62178e-01  0.00000e+00
0066  2.28049e+18  2.63375e-20  6.16437e-07  3.83657e+06  1.63977e-01  0.00000e+00
0067  2.29891e+18  2.55445e-20  6.02510e-07  3.82272e+06  1.66057e-01  0.00000e+00
0068  2.31732e+18  2.44870e-20  5.84121e-07  3.75930e+06  1.67796e-01  0.00000e+00
0069  2.33574e+18  2.27107e-20  5.58881e-07  3.58519e+06  1.69207e-01  0.00000e+00
0070  2.35415e+18  2.03102e-20  5.31201e-07  3.32210e+06  1.70443e-01  0.00000e+00
0071  2.37257e+18  1.85194e-20  5.12848e-07  3.14223e+06  1.71514e-01  0.00000e+00
0072  2.39098e+18  1.77486e-20  5.02902e-07  3.10518e+06  1.72412e-01  0.00000e+00
0073  2.40940e+18  1.73068e-20  4.94815e-07  3.11244e+06  1.73182e-01  0.00000e+00
0074  2.42781e+18  1.69793e-20  4.87178e-07  3.13139e+06  1.73866e-01  0.00000e+00
0075  2.44623e+18  1.67472e-20  4.79904e-07  3.15353e+06  1.74507e-01  0.00000e+00
0076  2.46464e+18  1.65840e-20  4.72913e-07  3.17370e+06  1.75152e-01  0.00000e+00
0077  2.48306e+18  1.64557e-20  4.66168e-07  3.19127e+06  1.75825e-01  0.00000e+00
0078  2.50147e+18  1.63318e-20  4.59618e-07  3.20764e+06  1.76526e-01  0.00000e+00
0079  2.51989e+18  1.61907e-20  4.53191e-07  3.22472e+06  1.77236e-01  0.00000e+00
0080  2.53831e+18  1.60231e-20  4.46835e-07  3.24373e+06  1.77943e-01  0.00000e+00
0081  2.55672e+18  1.58339e-20  4.40553e-07  3.26411e+06  1.78642e-01  0.00000e+00
0082  2.57514e+18  1.56447e-20  4.34420e-07  3.28315e+06  1.79336e-01  0.00000e+00
0083  2.59355e+18  1.54905e-20  4.28565e-07  3.29744e+06  1.80033e-01  0.00000e+00
0084  2.61197e+18  1.53464e-20  4.22890e-07  3.30364e+06  1.80740e-01  0.00000e+00
0085  2.63038e+18  1.52045e-20  4.17327e-07  3.30214e+06  1.81440e-01  0.00000e+00
0086  2.64880e+18  1.50881e-20  4.11977e-07  3.29741e+06  1.82080e-01  0.00000e+00
0087  2.66721e+18  1.48973e-20  4.06335e-07  3.29714e+06  1.82713e-01  0.00000e+00
0088  2.68563e+18  1.37832e-20  3.98658e-07  3.27284e+06  1.83671e-01  0.00000e+00
0089  2.70404e+18  8.98064e-21  4.17784e-07  3.61846e+06  1.85319e-01  0.00000e+00
0090  2.72246e+18  4.85974e-21  3.71189e-07  5.31561e+06  1.87462e-01  0.00000e+00
0091  2.74088e+18  3.38176e-21  3.47798e-07  6.49267e+06  1.89912e-01  0.00000e+00
0092  2.75929e+18  2.77583e-21  3.36565e-07  7.22928e+06  1.92493e-01  0.00000e+00
0093  2.77771e+18  2.43867e-21  3.28593e-07  7.78607e+06  1.95122e-01  0.00000e+00
0094  2.79612e+18  2.20932e-21  3.21774e-07  8.25329e+06  1.97767e-01  0.00000e+00
0095  2.81454e+18  2.03598e-21  3.15639e-07  8.65840e+06  2.00415e-01  0.00000e+00
0096  2.83295e+18  1.89754e-21  3.09980e-07  9.01666e+06  2.03060e-01  0.00000e+00
0097  2.85137e+18  1.78183e-21  3.04769e-07  9.34384e+06  2.05703e-01  0.00000e+00
0098  2.86978e+18  1.68250e-21  2.99872e-07  9.65325e+06  2.08343e-01  0.00000e+00
0099  2.88820e+18  1.59633e-21  2.95385e-07  9.94509e+06  2.10983e-01  0.00000e+00
0100  2.90661e+18  1.51999e-21  2.91269e-07  1.02240e+07  2.13622e-01  0.00000e+00
0101  2.92503e+18  1.45148e-21  2.87395e-07  1.04936e+07  2.16261e-01  0.00000e+00
0102  2.94345e+18  1.38969e-21  2.83750e-07  1.07529e+07  2.18903e-01  0.00000e+00
0103  2.96186e+18  1.33369e-21  2.80305e-07  1.10014e+07  2.21547e-01  0.00000e+00
0104  2.98028e+18  1.28266e-21  2.77032e-07  1.12389e+07  2.24196e-01  0.00000e+00
0105  2.99869e+18  1.23588e-21  2.73911e-07  1.14652e+07  2.26852e-01  0.00000e+00
0106  3.01711e+18  1.19264e-21  2.70900e-07  1.16813e+07  2.29516e-01  0.00000e+00
0107  3.03552e+18  1.15239e-21  2.67970e-07  1.18883e+07  2.32190e-01  0.00000e+00
0108  3.05394e+18  1.11483e-21  2.65120e-07  1.20864e+07  2.34876e-01  0.00000e+00
0109  3.07235e+18  1.07976e-21  2.62366e-07  1.22757e+07  2.37576e-01  0.00000e+00
0110  3.09077e+18  1.04705e-21  2.59729e-07  1.24567e+07  2.40291e-01  0.00000e+00
