# Athena++ data at time=1.479000e+13  cycle=991080319  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09800e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43594e+05  7.93075e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11370e+05  1.74215e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31074e+05  2.60041e-02  0.00000e+00
0006  1.21241e+18  2.83179e-19  3.17893e-06  6.30627e+05  3.34734e-02  0.00000e+00
0007  1.23082e+18  1.70276e-19  2.89032e-06  9.60056e+05  4.01730e-02  0.00000e+00
0008  1.24924e+18  1.39930e-19  2.63488e-06  1.18967e+06  4.61857e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25753e+06  5.17674e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33326e+06  5.69943e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21649e-06  1.39560e+06  6.19065e-02  0.00000e+00
0012  1.32290e+18  9.98068e-20  2.10580e-06  1.44948e+06  6.65447e-02  0.00000e+00
0013  1.34131e+18  9.33614e-20  2.00320e-06  1.50695e+06  7.09317e-02  0.00000e+00
0014  1.35973e+18  8.75135e-20  1.90930e-06  1.56415e+06  7.50887e-02  0.00000e+00
0015  1.37814e+18  8.24346e-20  1.82298e-06  1.61716e+06  7.90338e-02  0.00000e+00
0016  1.39656e+18  7.78874e-20  1.74446e-06  1.66616e+06  8.27865e-02  0.00000e+00
0017  1.41497e+18  7.36956e-20  1.67178e-06  1.71497e+06  8.63614e-02  0.00000e+00
0018  1.43339e+18  6.98516e-20  1.60473e-06  1.76261e+06  8.97739e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54164e-06  1.80138e+06  9.30317e-02  0.00000e+00
0020  1.47022e+18  6.35916e-20  1.48572e-06  1.83968e+06  9.61544e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43086e-06  1.88849e+06  9.91465e-02  0.00000e+00
0022  1.50705e+18  5.78120e-20  1.37948e-06  1.92879e+06  1.02014e-01  0.00000e+00
0023  1.52546e+18  5.53940e-20  1.33367e-06  1.96277e+06  1.04771e-01  0.00000e+00
0024  1.54388e+18  5.30245e-20  1.28950e-06  2.00186e+06  1.07423e-01  0.00000e+00
0027  1.56229e+18  5.07857e-20  1.24795e-06  2.04132e+06  1.09978e-01  0.00000e+00
0028  1.58071e+18  4.86844e-20  1.20901e-06  2.08011e+06  1.12440e-01  0.00000e+00
0029  1.59912e+18  4.67009e-20  1.17240e-06  2.11878e+06  1.14816e-01  0.00000e+00
0030  1.61754e+18  4.48176e-20  1.13789e-06  2.15780e+06  1.17112e-01  0.00000e+00
0031  1.63595e+18  4.30203e-20  1.10530e-06  2.19756e+06  1.19333e-01  0.00000e+00
0032  1.65437e+18  4.12976e-20  1.07453e-06  2.23832e+06  1.21482e-01  0.00000e+00
0033  1.67278e+18  3.96614e-20  1.04551e-06  2.27920e+06  1.23565e-01  0.00000e+00
0034  1.69120e+18  3.82031e-20  1.01821e-06  2.31567e+06  1.25586e-01  0.00000e+00
0035  1.70961e+18  3.69267e-20  9.93096e-07  2.34445e+06  1.27551e-01  0.00000e+00
0036  1.72803e+18  3.57836e-20  9.69619e-07  2.36822e+06  1.29464e-01  0.00000e+00
0037  1.74644e+18  3.46919e-20  9.47552e-07  2.39104e+06  1.31331e-01  0.00000e+00
0038  1.76486e+18  3.36111e-20  9.26264e-07  2.41655e+06  1.33152e-01  0.00000e+00
0039  1.78328e+18  3.25464e-20  9.05791e-07  2.44434e+06  1.34930e-01  0.00000e+00
0040  1.80169e+18  3.15066e-20  8.86181e-07  2.47363e+06  1.36668e-01  0.00000e+00
0041  1.82011e+18  3.04956e-20  8.67445e-07  2.50408e+06  1.38366e-01  0.00000e+00
0042  1.83852e+18  2.95022e-20  8.49565e-07  2.53601e+06  1.40029e-01  0.00000e+00
0043  1.85694e+18  2.85486e-20  8.32596e-07  2.56965e+06  1.41652e-01  0.00000e+00
0044  1.87535e+18  2.79310e-20  8.16527e-07  2.59535e+06  1.43231e-01  0.00000e+00
0045  1.89377e+18  2.74314e-20  8.00800e-07  2.59374e+06  1.44799e-01  0.00000e+00
0046  1.91218e+18  2.61565e-20  7.87734e-07  2.60353e+06  1.46457e-01  0.00000e+00
0047  1.93060e+18  2.37137e-20  7.74884e-07  2.68047e+06  1.48106e-01  0.00000e+00
0048  1.94901e+18  2.35104e-20  7.60912e-07  2.78890e+06  1.49485e-01  0.00000e+00
0049  1.96743e+18  2.45389e-20  7.46031e-07  2.74629e+06  1.50568e-01  0.00000e+00
0050  1.98584e+18  2.78668e-20  7.41521e-07  2.52971e+06  1.51749e-01  0.00000e+00
0051  2.00426e+18  3.01567e-20  7.51107e-07  2.26068e+06  1.53418e-01  0.00000e+00
0052  2.02267e+18  2.98271e-20  7.39585e-07  2.20779e+06  1.55313e-01  0.00000e+00
0053  2.04109e+18  2.90809e-20  7.23968e-07  2.17897e+06  1.56907e-01  0.00000e+00
0054  2.05951e+18  2.82911e-20  7.08248e-07  2.17584e+06  1.58124e-01  0.00000e+00
0055  2.07792e+18  2.75703e-20  6.93508e-07  2.18147e+06  1.59238e-01  0.00000e+00
0056  2.09634e+18  2.69892e-20  6.80376e-07  2.19588e+06  1.60473e-01  0.00000e+00
0057  2.11475e+18  2.64948e-20  6.68291e-07  2.21900e+06  1.61857e-01  0.00000e+00
0058  2.13317e+18  2.60184e-20  6.56575e-07  2.24955e+06  1.63251e-01  0.00000e+00
0059  2.15158e+18  2.55292e-20  6.44923e-07  2.28578e+06  1.64523e-01  0.00000e+00
0060  2.17000e+18  2.50259e-20  6.33323e-07  2.32590e+06  1.65680e-01  0.00000e+00
0061  2.18841e+18  2.45214e-20  6.21902e-07  2.36754e+06  1.66815e-01  0.00000e+00
0062  2.20683e+18  2.40311e-20  6.10809e-07  2.40677e+06  1.67994e-01  0.00000e+00
0063  2.22524e+18  2.35645e-20  6.00132e-07  2.43770e+06  1.69214e-01  0.00000e+00
0064  2.24366e+18  2.31365e-20  5.89984e-07  2.45588e+06  1.70420e-01  0.00000e+00
0065  2.26207e+18  2.26861e-20  5.79780e-07  2.46040e+06  1.71543e-01  0.00000e+00
0066  2.28049e+18  2.22790e-20  5.70130e-07  2.45263e+06  1.72550e-01  0.00000e+00
0067  2.29891e+18  2.19357e-20  5.61087e-07  2.44224e+06  1.73522e-01  0.00000e+00
0068  2.31732e+18  2.14836e-20  5.51198e-07  2.46717e+06  1.74814e-01  0.00000e+00
0069  2.33574e+18  1.92908e-20  5.30572e-07  2.38032e+06  1.77228e-01  0.00000e+00
0070  2.35415e+18  1.02245e-20  5.84420e-07  2.69186e+06  1.81459e-01  0.00000e+00
0071  2.37257e+18  5.22300e-21  5.17111e-07  4.24866e+06  1.87067e-01  0.00000e+00
0072  2.39098e+18  3.79877e-21  5.02525e-07  4.93629e+06  1.93597e-01  0.00000e+00
0073  2.40940e+18  3.20321e-21  4.96385e-07  5.34169e+06  2.00652e-01  0.00000e+00
0074  2.42781e+18  2.85220e-21  4.91741e-07  5.66544e+06  2.08072e-01  0.00000e+00
0075  2.44623e+18  2.60355e-21  4.88009e-07  5.94626e+06  2.15815e-01  0.00000e+00
0076  2.46464e+18  2.40419e-21  4.84697e-07  6.20220e+06  2.23873e-01  0.00000e+00
0077  2.48306e+18  2.23297e-21  4.81639e-07  6.44267e+06  2.32250e-01  0.00000e+00
0078  2.50147e+18  2.08132e-21  4.78544e-07  6.67087e+06  2.40942e-01  0.00000e+00
0079  2.51989e+18  1.94598e-21  4.75422e-07  6.88659e+06  2.49933e-01  0.00000e+00
0080  2.53831e+18  1.82536e-21  4.72451e-07  7.08883e+06  2.59194e-01  0.00000e+00
0081  2.55672e+18  1.71855e-21  4.69687e-07  7.27765e+06  2.68692e-01  0.00000e+00
0082  2.57514e+18  1.62374e-21  4.67105e-07  7.45416e+06  2.78399e-01  0.00000e+00
0083  2.59355e+18  1.53904e-21  4.64641e-07  7.62071e+06  2.88299e-01  0.00000e+00
0084  2.61197e+18  1.46334e-21  4.62377e-07  7.77481e+06  2.98390e-01  0.00000e+00
0085  2.63038e+18  1.39557e-21  4.60399e-07  7.91487e+06  3.08694e-01  0.00000e+00
0086  2.64880e+18  1.33424e-21  4.58535e-07  8.04801e+06  3.19244e-01  0.00000e+00
0087  2.66721e+18  1.27803e-21  4.56597e-07  8.18228e+06  3.30085e-01  0.00000e+00
0088  2.68563e+18  1.22653e-21  4.54843e-07  8.31062e+06  3.41269e-01  0.00000e+00
0089  2.70404e+18  1.17961e-21  4.53649e-07  8.42040e+06  3.52866e-01  0.00000e+00
0090  2.72246e+18  1.13617e-21  4.52735e-07  8.51971e+06  3.64950e-01  0.00000e+00
0091  2.74088e+18  1.09471e-21  4.51336e-07  8.63188e+06  3.77598e-01  0.00000e+00
0092  2.75929e+18  1.05481e-21  4.49556e-07  8.75378e+06  3.90894e-01  0.00000e+00
0093  2.77771e+18  1.01778e-21  4.48638e-07  8.83409e+06  4.04996e-01  0.00000e+00
0094  2.79612e+18  9.84087e-22  4.48757e-07  8.87967e+06  4.20117e-01  0.00000e+00
0095  2.81454e+18  9.52997e-22  4.48657e-07  8.91068e+06  4.36087e-01  0.00000e+00
0096  2.83295e+18  9.13484e-22  4.46456e-07  9.02071e+06  4.52776e-01  0.00000e+00
0097  2.85137e+18  8.55173e-22  4.43797e-07  9.15554e+06  4.75066e-01  0.00000e+00
0098  2.86978e+18  8.36371e-22  4.43524e-07  9.15811e+06  5.10825e-01  0.00000e+00
0099  2.88820e+18  9.12829e-22  4.47187e-07  8.98327e+06  5.19394e-01  0.00000e+00
0100  2.90661e+18  2.21374e-21  4.51619e-07  9.00519e+06  4.78820e-01  0.00000e+00
0101  2.92503e+18  1.25096e-20  3.64055e-07  7.87780e+06  3.11094e-01  0.00000e+00
0102  2.94345e+18  2.09497e-20  4.35930e-07  6.05370e+06  1.93939e-01  0.00000e+00
0103  2.96186e+18  2.06708e-20  4.29404e-07  5.96295e+06  1.58821e-01  0.00000e+00
0104  2.98028e+18  2.00439e-20  4.19474e-07  5.97118e+06  1.55711e-01  0.00000e+00
0105  2.99869e+18  1.91973e-20  4.06969e-07  5.99861e+06  1.55784e-01  0.00000e+00
0106  3.01711e+18  1.82026e-20  3.92769e-07  6.05199e+06  1.56316e-01  0.00000e+00
0107  3.03552e+18  1.71371e-20  3.77447e-07  6.13376e+06  1.57603e-01  0.00000e+00
0108  3.05394e+18  1.61106e-20  3.62339e-07  6.22380e+06  1.59596e-01  0.00000e+00
0109  3.07235e+18  1.51820e-20  3.48814e-07  6.31098e+06  1.61946e-01  0.00000e+00
0110  3.09077e+18  1.43893e-20  3.36031e-07  6.38410e+06  1.64267e-01  0.00000e+00
