# Athena++ data at time=4.240000e+12  cycle=284123093  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09802e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43591e+05  7.93092e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11365e+05  1.74219e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31067e+05  2.60047e-02  0.00000e+00
0006  1.21241e+18  2.83180e-19  3.17893e-06  6.30615e+05  3.34742e-02  0.00000e+00
0007  1.23082e+18  1.70277e-19  2.89032e-06  9.60039e+05  4.01740e-02  0.00000e+00
0008  1.24924e+18  1.39931e-19  2.63489e-06  1.18965e+06  4.61869e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25751e+06  5.17688e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33324e+06  5.69958e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21650e-06  1.39558e+06  6.19082e-02  0.00000e+00
0012  1.32290e+18  9.98070e-20  2.10580e-06  1.44945e+06  6.65465e-02  0.00000e+00
0013  1.34131e+18  9.33616e-20  2.00320e-06  1.50692e+06  7.09337e-02  0.00000e+00
0014  1.35973e+18  8.75137e-20  1.90930e-06  1.56412e+06  7.50909e-02  0.00000e+00
0015  1.37814e+18  8.24348e-20  1.82298e-06  1.61714e+06  7.90361e-02  0.00000e+00
0016  1.39656e+18  7.78876e-20  1.74446e-06  1.66613e+06  8.27889e-02  0.00000e+00
0017  1.41497e+18  7.36957e-20  1.67178e-06  1.71494e+06  8.63640e-02  0.00000e+00
0018  1.43339e+18  6.98517e-20  1.60474e-06  1.76259e+06  8.97766e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54165e-06  1.80135e+06  9.30346e-02  0.00000e+00
0020  1.47022e+18  6.35917e-20  1.48572e-06  1.83965e+06  9.61574e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43090e-06  1.88847e+06  9.91496e-02  0.00000e+00
0022  1.50705e+18  5.78121e-20  1.37948e-06  1.92876e+06  1.02017e-01  0.00000e+00
