# Athena++ data at time=1.769000e+13  cycle=1185409793  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.09800e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43594e+05  7.93074e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11370e+05  1.74215e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31074e+05  2.60041e-02  0.00000e+00
0006  1.21241e+18  2.83179e-19  3.17893e-06  6.30627e+05  3.34733e-02  0.00000e+00
0007  1.23082e+18  1.70276e-19  2.89032e-06  9.60056e+05  4.01730e-02  0.00000e+00
0008  1.24924e+18  1.39930e-19  2.63488e-06  1.18967e+06  4.61857e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25753e+06  5.17674e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33326e+06  5.69943e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21649e-06  1.39560e+06  6.19065e-02  0.00000e+00
0012  1.32290e+18  9.98068e-20  2.10580e-06  1.44948e+06  6.65447e-02  0.00000e+00
0013  1.34131e+18  9.33614e-20  2.00320e-06  1.50695e+06  7.09317e-02  0.00000e+00
0014  1.35973e+18  8.75135e-20  1.90930e-06  1.56415e+06  7.50887e-02  0.00000e+00
0015  1.37814e+18  8.24346e-20  1.82298e-06  1.61716e+06  7.90338e-02  0.00000e+00
0016  1.39656e+18  7.78875e-20  1.74446e-06  1.66616e+06  8.27865e-02  0.00000e+00
0017  1.41497e+18  7.36956e-20  1.67178e-06  1.71497e+06  8.63614e-02  0.00000e+00
0018  1.43339e+18  6.98516e-20  1.60473e-06  1.76261e+06  8.97739e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54165e-06  1.80138e+06  9.30317e-02  0.00000e+00
0020  1.47022e+18  6.35916e-20  1.48572e-06  1.83968e+06  9.61544e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43085e-06  1.88849e+06  9.91465e-02  0.00000e+00
0022  1.50705e+18  5.78120e-20  1.37948e-06  1.92879e+06  1.02014e-01  0.00000e+00
0023  1.52546e+18  5.53940e-20  1.33367e-06  1.96277e+06  1.04771e-01  0.00000e+00
0024  1.54388e+18  5.30245e-20  1.28950e-06  2.00186e+06  1.07423e-01  0.00000e+00
0027  1.56229e+18  5.07857e-20  1.24795e-06  2.04132e+06  1.09978e-01  0.00000e+00
0028  1.58071e+18  4.86845e-20  1.20901e-06  2.08011e+06  1.12440e-01  0.00000e+00
0029  1.59912e+18  4.67009e-20  1.17240e-06  2.11878e+06  1.14816e-01  0.00000e+00
0030  1.61754e+18  4.48176e-20  1.13789e-06  2.15780e+06  1.17112e-01  0.00000e+00
0031  1.63595e+18  4.30203e-20  1.10530e-06  2.19756e+06  1.19333e-01  0.00000e+00
0032  1.65437e+18  4.12976e-20  1.07453e-06  2.23832e+06  1.21482e-01  0.00000e+00
0033  1.67278e+18  3.96614e-20  1.04551e-06  2.27920e+06  1.23565e-01  0.00000e+00
0034  1.69120e+18  3.82032e-20  1.01821e-06  2.31567e+06  1.25586e-01  0.00000e+00
0035  1.70961e+18  3.69267e-20  9.93096e-07  2.34445e+06  1.27551e-01  0.00000e+00
0036  1.72803e+18  3.57836e-20  9.69619e-07  2.36822e+06  1.29464e-01  0.00000e+00
0037  1.74644e+18  3.46918e-20  9.47551e-07  2.39105e+06  1.31331e-01  0.00000e+00
0038  1.76486e+18  3.36110e-20  9.26263e-07  2.41657e+06  1.33152e-01  0.00000e+00
0039  1.78328e+18  3.25460e-20  9.05790e-07  2.44437e+06  1.34930e-01  0.00000e+00
0040  1.80169e+18  3.15069e-20  8.86181e-07  2.47368e+06  1.36668e-01  0.00000e+00
0041  1.82011e+18  3.04982e-20  8.67449e-07  2.50411e+06  1.38366e-01  0.00000e+00
0042  1.83852e+18  2.95255e-20  8.49605e-07  2.53522e+06  1.40027e-01  0.00000e+00
0043  1.85694e+18  2.86847e-20  8.32729e-07  2.56292e+06  1.41653e-01  0.00000e+00
0044  1.87535e+18  2.79357e-20  8.16511e-07  2.57557e+06  1.43262e-01  0.00000e+00
0045  1.89377e+18  2.66082e-20  8.03330e-07  2.59537e+06  1.44889e-01  0.00000e+00
0046  1.91218e+18  2.51797e-20  7.89693e-07  2.66446e+06  1.46432e-01  0.00000e+00
0047  1.93060e+18  2.53518e-20  7.74377e-07  2.74136e+06  1.47781e-01  0.00000e+00
0048  1.94901e+18  2.55963e-20  7.56901e-07  2.72869e+06  1.49074e-01  0.00000e+00
0049  1.96743e+18  2.47661e-20  7.44174e-07  2.70036e+06  1.50587e-01  0.00000e+00
0050  1.98584e+18  2.31512e-20  7.33113e-07  2.70639e+06  1.52445e-01  0.00000e+00
0051  2.00426e+18  2.53467e-20  7.18312e-07  2.53948e+06  1.54196e-01  0.00000e+00
0052  2.02267e+18  2.82821e-20  7.24846e-07  2.26247e+06  1.55367e-01  0.00000e+00
0053  2.04109e+18  2.84297e-20  7.17431e-07  2.23586e+06  1.56233e-01  0.00000e+00
0054  2.05951e+18  2.81272e-20  7.06520e-07  2.25047e+06  1.57215e-01  0.00000e+00
0055  2.07792e+18  2.75847e-20  6.93555e-07  2.28317e+06  1.58512e-01  0.00000e+00
0056  2.09634e+18  2.70521e-20  6.80931e-07  2.31828e+06  1.60025e-01  0.00000e+00
0057  2.11475e+18  2.65424e-20  6.68719e-07  2.35418e+06  1.61479e-01  0.00000e+00
0058  2.13317e+18  2.60170e-20  6.56544e-07  2.39163e+06  1.62733e-01  0.00000e+00
0059  2.15158e+18  2.54465e-20  6.44147e-07  2.42759e+06  1.63868e-01  0.00000e+00
0060  2.17000e+18  2.48135e-20  6.31396e-07  2.45680e+06  1.65019e-01  0.00000e+00
0061  2.18841e+18  2.41270e-20  6.18432e-07  2.47561e+06  1.66243e-01  0.00000e+00
0062  2.20683e+18  2.34319e-20  6.05699e-07  2.48446e+06  1.67484e-01  0.00000e+00
0063  2.22524e+18  2.27952e-20  5.93741e-07  2.48710e+06  1.68647e-01  0.00000e+00
0064  2.24366e+18  2.22761e-20  5.82934e-07  2.48786e+06  1.69695e-01  0.00000e+00
0065  2.26207e+18  2.18912e-20  5.73297e-07  2.48982e+06  1.70670e-01  0.00000e+00
0066  2.28049e+18  2.16085e-20  5.64569e-07  2.49516e+06  1.71637e-01  0.00000e+00
0067  2.29891e+18  2.13710e-20  5.56348e-07  2.50579e+06  1.72638e-01  0.00000e+00
0068  2.31732e+18  2.11317e-20  5.48284e-07  2.52336e+06  1.73662e-01  0.00000e+00
0069  2.33574e+18  2.08587e-20  5.40105e-07  2.54835e+06  1.74654e-01  0.00000e+00
0070  2.35415e+18  2.05326e-20  5.31625e-07  2.58267e+06  1.75560e-01  0.00000e+00
0071  2.37257e+18  2.03346e-20  5.24521e-07  2.62479e+06  1.76511e-01  0.00000e+00
0072  2.39098e+18  1.98157e-20  5.14946e-07  2.56953e+06  1.78023e-01  0.00000e+00
0073  2.40940e+18  1.39099e-20  5.09338e-07  2.72172e+06  1.80839e-01  0.00000e+00
0074  2.42781e+18  6.73350e-21  5.05256e-07  3.73419e+06  1.85092e-01  0.00000e+00
0075  2.44623e+18  4.18864e-21  4.75427e-07  4.96348e+06  1.90410e-01  0.00000e+00
0076  2.46464e+18  3.32689e-21  4.67180e-07  5.51938e+06  1.96339e-01  0.00000e+00
0077  2.48306e+18  2.89497e-21  4.61707e-07  5.89781e+06  2.02584e-01  0.00000e+00
0078  2.50147e+18  2.61779e-21  4.56994e-07  6.20170e+06  2.08992e-01  0.00000e+00
0079  2.51989e+18  2.41468e-21  4.52704e-07  6.45963e+06  2.15501e-01  0.00000e+00
0080  2.53831e+18  2.25040e-21  4.48955e-07  6.69107e+06  2.22089e-01  0.00000e+00
0081  2.55672e+18  2.11127e-21  4.45460e-07  6.91036e+06  2.28753e-01  0.00000e+00
0082  2.57514e+18  1.99029e-21  4.42362e-07  7.11853e+06  2.35509e-01  0.00000e+00
0083  2.59355e+18  1.88262e-21  4.39588e-07  7.32029e+06  2.42381e-01  0.00000e+00
0084  2.61197e+18  1.78590e-21  4.37024e-07  7.51626e+06  2.49397e-01  0.00000e+00
0085  2.63038e+18  1.69798e-21  4.34603e-07  7.70534e+06  2.56586e-01  0.00000e+00
0086  2.64880e+18  1.61735e-21  4.32234e-07  7.88671e+06  2.63976e-01  0.00000e+00
0087  2.66721e+18  1.54312e-21  4.29891e-07  8.05804e+06  2.71592e-01  0.00000e+00
0088  2.68563e+18  1.47421e-21  4.27606e-07  8.21944e+06  2.79452e-01  0.00000e+00
0089  2.70404e+18  1.41004e-21  4.25350e-07  8.37253e+06  2.87572e-01  0.00000e+00
0090  2.72246e+18  1.35041e-21  4.23179e-07  8.51670e+06  2.95957e-01  0.00000e+00
0091  2.74088e+18  1.29517e-21  4.21144e-07  8.65112e+06  3.04608e-01  0.00000e+00
0092  2.75929e+18  1.24413e-21  4.19263e-07  8.77557e+06  3.13515e-01  0.00000e+00
0093  2.77771e+18  1.19702e-21  4.17502e-07  8.89145e+06  3.22664e-01  0.00000e+00
0094  2.79612e+18  1.15360e-21  4.15846e-07  8.99964e+06  3.32033e-01  0.00000e+00
0095  2.81454e+18  1.11374e-21  4.14343e-07  9.09910e+06  3.41601e-01  0.00000e+00
0096  2.83295e+18  1.07716e-21  4.12992e-07  9.19089e+06  3.51350e-01  0.00000e+00
0097  2.85137e+18  1.04341e-21  4.11682e-07  9.27993e+06  3.61269e-01  0.00000e+00
0098  2.86978e+18  1.01215e-21  4.10368e-07  9.36842e+06  3.71353e-01  0.00000e+00
0099  2.88820e+18  9.83294e-22  4.09209e-07  9.45000e+06  3.81613e-01  0.00000e+00
0100  2.90661e+18  9.56643e-22  4.08271e-07  9.52126e+06  3.92076e-01  0.00000e+00
0101  2.92503e+18  9.31525e-22  4.07258e-07  9.59199e+06  4.02777e-01  0.00000e+00
0102  2.94345e+18  9.07354e-22  4.05923e-07  9.67192e+06  4.13744e-01  0.00000e+00
0103  2.96186e+18  8.84332e-22  4.04747e-07  9.74132e+06  4.25044e-01  0.00000e+00
0104  2.98028e+18  8.63206e-22  4.04134e-07  9.78073e+06  4.36842e-01  0.00000e+00
0105  2.99869e+18  8.44434e-22  4.03626e-07  9.80958e+06  4.49009e-01  0.00000e+00
0106  3.01711e+18  8.22043e-22  4.02200e-07  9.87463e+06  4.60989e-01  0.00000e+00
0107  3.03552e+18  7.89246e-22  4.00380e-07  9.96287e+06  4.75443e-01  0.00000e+00
0108  3.05394e+18  7.81954e-22  3.99709e-07  9.96646e+06  4.98634e-01  0.00000e+00
0109  3.07235e+18  8.35077e-22  4.01139e-07  9.88841e+06  5.05844e-01  0.00000e+00
0110  3.09077e+18  1.71454e-21  4.01922e-07  9.91647e+06  4.83327e-01  0.00000e+00
0111  3.10918e+18  9.20064e-21  3.31216e-07  8.95869e+06  3.63440e-01  0.00000e+00
0112  3.12760e+18  1.74169e-20  3.73634e-07  6.94188e+06  2.39056e-01  0.00000e+00
0113  3.14602e+18  1.72940e-20  3.68110e-07  6.78143e+06  1.71135e-01  0.00000e+00
0114  3.16443e+18  1.64356e-20  3.55602e-07  6.84770e+06  1.53886e-01  0.00000e+00
0115  3.18285e+18  1.54496e-20  3.41487e-07  6.94310e+06  1.52557e-01  0.00000e+00
0116  3.20126e+18  1.46526e-20  3.29667e-07  7.01007e+06  1.52602e-01  0.00000e+00
0117  3.21968e+18  1.39811e-20  3.19587e-07  7.06703e+06  1.52911e-01  0.00000e+00
0118  3.23809e+18  1.34069e-20  3.09744e-07  7.12311e+06  1.53728e-01  0.00000e+00
0119  3.25651e+18  1.28820e-20  3.01765e-07  7.16427e+06  1.55161e-01  0.00000e+00
