# Athena++ data at time=1.340000e+12  cycle=89793619  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.13875e+18  2.14917e-18  8.97288e-06 -4.28674e+05  1.46607e-09  0.00000e+00
0003  1.15716e+18  9.99041e-19  5.47997e-06  2.07111e+05  9.67378e-03  0.00000e+00
0004  1.17558e+18  6.46803e-19  4.35322e-06  2.56617e+05  2.21366e-02  0.00000e+00
0005  1.19399e+18  4.33179e-19  3.64288e-06  3.63130e+05  3.54353e-02  0.00000e+00
0006  1.21241e+18  2.86366e-19  3.18363e-06  5.38476e+05  4.91353e-02  0.00000e+00
0007  1.23082e+18  1.71704e-19  2.89933e-06  8.28670e+05  6.13936e-02  0.00000e+00
0008  1.24924e+18  1.42798e-19  2.65617e-06  1.01841e+06  7.29686e-02  0.00000e+00
0009  1.26765e+18  1.28802e-19  2.50557e-06  1.07183e+06  8.45659e-02  0.00000e+00
0010  1.28607e+18  1.16928e-19  2.36779e-06  1.13988e+06  9.63429e-02  0.00000e+00
0011  1.30448e+18  1.08812e-19  2.24142e-06  1.19331e+06  1.08465e-01  0.00000e+00
0012  1.32290e+18  1.02001e-19  2.13265e-06  1.23211e+06  1.21046e-01  0.00000e+00
0013  1.34131e+18  9.56855e-20  2.03136e-06  1.27447e+06  1.34084e-01  0.00000e+00
0014  1.35973e+18  8.99587e-20  1.93860e-06  1.31631e+06  1.47529e-01  0.00000e+00
0015  1.37814e+18  8.47791e-20  1.85366e-06  1.35733e+06  1.61280e-01  0.00000e+00
0016  1.39656e+18  8.02606e-20  1.77506e-06  1.39560e+06  1.75231e-01  0.00000e+00
0017  1.41497e+18  7.61630e-20  1.70308e-06  1.43143e+06  1.89251e-01  0.00000e+00
0018  1.43339e+18  7.23729e-20  1.63615e-06  1.46737e+06  2.03182e-01  0.00000e+00
0019  1.45180e+18  6.88876e-20  1.57414e-06  1.50206e+06  2.16863e-01  0.00000e+00
0020  1.47022e+18  6.57034e-20  1.51690e-06  1.53463e+06  2.30113e-01  0.00000e+00
0021  1.48863e+18  6.31666e-20  1.46261e-06  1.55882e+06  2.42822e-01  0.00000e+00
0022  1.50705e+18  6.05346e-20  1.41417e-06  1.58330e+06  2.54806e-01  0.00000e+00
0023  1.52546e+18  5.78427e-20  1.36641e-06  1.61724e+06  2.65850e-01  0.00000e+00
0024  1.54388e+18  5.56374e-20  1.32142e-06  1.64395e+06  2.75866e-01  0.00000e+00
0027  1.56229e+18  5.35752e-20  1.28091e-06  1.66597e+06  2.84795e-01  0.00000e+00
0028  1.58071e+18  5.15727e-20  1.24191e-06  1.69115e+06  2.92603e-01  0.00000e+00
0029  1.59912e+18  4.97105e-20  1.20534e-06  1.71446e+06  2.99323e-01  0.00000e+00
0030  1.61754e+18  4.79781e-20  1.17101e-06  1.73573e+06  3.05043e-01  0.00000e+00
0031  1.63595e+18  4.63528e-20  1.13857e-06  1.75574e+06  3.09891e-01  0.00000e+00
0032  1.65437e+18  4.48368e-20  1.10799e-06  1.77355e+06  3.14028e-01  0.00000e+00
0033  1.67278e+18  4.34474e-20  1.07939e-06  1.78741e+06  3.17628e-01  0.00000e+00
0034  1.69120e+18  4.21580e-20  1.05238e-06  1.79940e+06  3.20862e-01  0.00000e+00
0035  1.70961e+18  4.08923e-20  1.02613e-06  1.81609e+06  3.23877e-01  0.00000e+00
0036  1.72803e+18  3.96953e-20  1.00117e-06  1.83392e+06  3.26803e-01  0.00000e+00
0037  1.74644e+18  3.86327e-20  9.78043e-07  1.83053e+06  3.29752e-01  0.00000e+00
0038  1.76486e+18  3.80000e-20  9.59325e-07  1.81442e+06  3.32823e-01  0.00000e+00
0039  1.78328e+18  3.68311e-20  9.35423e-07  1.87000e+06  3.36193e-01  0.00000e+00
0040  1.80169e+18  2.80640e-20  8.87705e-07  2.08209e+06  3.39894e-01  0.00000e+00
0041  1.82011e+18  1.24113e-20  9.22711e-07  3.23081e+06  3.43815e-01  0.00000e+00
0042  1.83852e+18  6.50170e-21  7.59009e-07  6.08808e+06  3.46983e-01  0.00000e+00
0043  1.85694e+18  4.94795e-21  7.18086e-07  7.38999e+06  3.49723e-01  0.00000e+00
0044  1.87535e+18  4.16429e-21  6.85233e-07  8.40163e+06  3.52186e-01  0.00000e+00
0045  1.89377e+18  3.63630e-21  6.56992e-07  9.27698e+06  3.54483e-01  0.00000e+00
0046  1.91218e+18  3.23264e-21  6.30705e-07  1.00971e+07  3.56664e-01  0.00000e+00
0047  1.93060e+18  2.90948e-21  6.06130e-07  1.08824e+07  3.58742e-01  0.00000e+00
0048  1.94901e+18  2.64315e-21  5.83466e-07  1.16413e+07  3.60720e-01  0.00000e+00
0049  1.96743e+18  2.41969e-21  5.62005e-07  1.23847e+07  3.62582e-01  0.00000e+00
0050  1.98584e+18  2.23106e-21  5.41800e-07  1.31057e+07  3.64314e-01  0.00000e+00
0051  2.00426e+18  2.07027e-21  5.22640e-07  1.38030e+07  3.65903e-01  0.00000e+00
0052  2.02267e+18  1.93174e-21  5.04564e-07  1.44744e+07  3.67343e-01  0.00000e+00
0053  2.04109e+18  1.81154e-21  4.87413e-07  1.51202e+07  3.68638e-01  0.00000e+00
0054  2.05951e+18  1.70587e-21  4.71251e-07  1.57413e+07  3.69798e-01  0.00000e+00
0055  2.07792e+18  1.61128e-21  4.55685e-07  1.63482e+07  3.70838e-01  0.00000e+00
0056  2.09634e+18  1.52605e-21  4.40801e-07  1.69377e+07  3.71780e-01  0.00000e+00
0057  2.11475e+18  1.44866e-21  4.26580e-07  1.75096e+07  3.72643e-01  0.00000e+00
0058  2.13317e+18  1.37797e-21  4.13012e-07  1.80636e+07  3.73447e-01  0.00000e+00
0059  2.15158e+18  1.31299e-21  4.00073e-07  1.86008e+07  3.74206e-01  0.00000e+00
0060  2.17000e+18  1.25298e-21  3.87702e-07  1.91227e+07  3.74930e-01  0.00000e+00
0061  2.18841e+18  1.19748e-21  3.75896e-07  1.96291e+07  3.75624e-01  0.00000e+00
0062  2.20683e+18  1.14611e-21  3.64644e-07  2.01198e+07  3.76289e-01  0.00000e+00
0063  2.22524e+18  1.09860e-21  3.53960e-07  2.05935e+07  3.76922e-01  0.00000e+00
0064  2.24366e+18  1.05471e-21  3.43863e-07  2.10487e+07  3.77521e-01  0.00000e+00
0065  2.26207e+18  1.01412e-21  3.34315e-07  2.14861e+07  3.78083e-01  0.00000e+00
0066  2.28049e+18  9.76258e-22  3.25171e-07  2.19123e+07  3.78603e-01  0.00000e+00
0067  2.29891e+18  9.40813e-22  3.16371e-07  2.23298e+07  3.79077e-01  0.00000e+00
0068  2.31732e+18  9.07607e-22  3.07903e-07  2.27388e+07  3.79500e-01  0.00000e+00
