temperature	xi	s_xvi	wavelength	opacity
0.5	2.57831335068	s_xvi	3.9908	9.47972e-17	
0.5	2.61847400665	s_xvi	3.9908	1.38196e-16	
0.5	2.65863442421	s_xvi	3.9908	1.9981e-16	
0.5	2.69879508018	s_xvi	3.9908	2.86419e-16	
0.5	2.73895573616	s_xvi	3.9908	4.06896e-16	
0.5	2.77911639214	s_xvi	3.9908	5.72651e-16	
0.5	2.81927704811	s_xvi	3.9908	7.98101e-16	
0.5	2.85943770409	s_xvi	3.9908	1.10111e-15	
0.5	2.89959836006	s_xvi	3.9908	1.50334e-15	
0.5	2.93975901604	s_xvi	3.9908	2.03056e-15	
0.5	2.97991967201	s_xvi	3.9908	2.71264e-15	
0.5	3.02008032799	s_xvi	3.9908	3.58351e-15	
0.5	3.06024098396	s_xvi	3.9908	4.68069e-15	
0.5	3.10040163994	s_xvi	3.9908	6.04462e-15	
0.5	3.14056229591	s_xvi	3.9908	7.71784e-15	
0.5	3.18072295189	s_xvi	3.9908	9.74372e-15	
0.5	3.22088360786	s_xvi	3.9908	1.21653e-14	
0.5	3.26104426384	s_xvi	3.9908	1.50247e-14	
0.5	3.30120491982	s_xvi	3.9908	1.83586e-14	
0.5	3.34136557579	s_xvi	3.9908	2.22017e-14	
0.5	3.38152599335	s_xvi	3.9908	2.65821e-14	
0.5	3.42168664932	s_xvi	3.9908	3.15215e-14	
0.5	3.4618473053	s_xvi	3.9908	3.70336e-14	
0.5	3.50200796127	s_xvi	3.9908	4.31234e-14	
0.5	3.54216861725	s_xvi	3.9908	4.9786e-14	
0.5	3.58232927322	s_xvi	3.9908	5.70059e-14	
0.5	3.6224899292	s_xvi	3.9908	6.47552e-14	
0.5	3.66265058517	s_xvi	3.9908	7.29941e-14	
0.5	3.70281124115	s_xvi	3.9908	8.16671e-14	
0.5	3.74297189713	s_xvi	3.9908	9.07054e-14	
0.5	3.7831325531	s_xvi	3.9908	1.00023e-13	
0.5	3.82329320908	s_xvi	3.9908	1.0952e-13	
0.5	3.86345386505	s_xvi	3.9908	1.19078e-13	
0.5	3.90361452103	s_xvi	3.9908	1.28567e-13	
0.5	3.943775177	s_xvi	3.9908	1.37841e-13	
0.5	3.98393583298	s_xvi	3.9908	1.46749e-13	
0.5	4.02409648895	s_xvi	3.9908	1.55133e-13	
0.5	4.06425714493	s_xvi	3.9908	1.62832e-13	
0.5	4.1044178009	s_xvi	3.9908	1.69696e-13	
0.5	4.14457845688	s_xvi	3.9908	1.75591e-13	
0.5	4.18473911285	s_xvi	3.9908	1.80393e-13	
0.5	4.22489976883	s_xvi	3.9908	1.84002e-13	
0.5	4.2650604248	s_xvi	3.9908	1.86367e-13	
0.5	4.30522108078	s_xvi	3.9908	1.8745e-13	
0.5	4.34538173676	s_xvi	3.9908	1.87271e-13	
0.5	4.38554239273	s_xvi	3.9908	1.85849e-13	
0.5	4.42570304871	s_xvi	3.9908	1.83257e-13	
0.5	4.46586322784	s_xvi	3.9908	1.79595e-13	
0.5	4.50602388382	s_xvi	3.9908	1.74981e-13	
0.5	4.54618453979	s_xvi	3.9908	1.6954e-13	
0.5	4.58634519577	s_xvi	3.9908	1.63409e-13	
0.5	4.62650585175	s_xvi	3.9908	1.56728e-13	
0.5	4.66666650772	s_xvi	3.9908	1.4963e-13	
0.5	4.7068271637	s_xvi	3.9908	1.4225e-13	
0.5	4.74698781967	s_xvi	3.9908	1.34703e-13	
0.5	4.78714847565	s_xvi	3.9908	1.27095e-13	
0.5	4.82730913162	s_xvi	3.9908	1.19518e-13	
0.5	4.8674697876	s_xvi	3.9908	1.12091e-13	
0.5	4.90763044357	s_xvi	3.9908	1.04755e-13	
0.5	4.94779109955	s_xvi	3.9908	9.76833e-14	
0.5	4.98795175552	s_xvi	3.9908	9.08955e-14	
0.5	5.0281124115	s_xvi	3.9908	8.43807e-14	
0.5	5.06827306747	s_xvi	3.9908	7.81791e-14	
0.5	5.10843372345	s_xvi	3.9908	7.22854e-14	
0.5	5.14859437943	s_xvi	3.9908	6.67416e-14	
0.5	5.1887550354	s_xvi	3.9908	6.15292e-14	
0.5	5.22891569138	s_xvi	3.9908	5.66442e-14	
0.5	5.26907634735	s_xvi	3.9908	5.2079e-14	
0.5	5.30923700333	s_xvi	3.9908	4.78236e-14	
0.5	5.3493976593	s_xvi	3.9908	4.38659e-14	
0.5	5.38955831528	s_xvi	3.9908	4.01926e-14	
0.5	5.42971897125	s_xvi	3.9908	3.67894e-14	
0.5	5.46987962723	s_xvi	3.9908	3.36416e-14	
0.5	5.5100402832	s_xvi	3.9908	3.07344e-14	
0.5	5.55020093918	s_xvi	3.9908	2.80545e-14	
0.5	5.59036159515	s_xvi	3.9908	2.55841e-14	
0.5	5.63052225113	s_xvi	3.9908	2.33109e-14	
0.5	5.6706829071	s_xvi	3.9908	2.12199e-14	
0.5	5.71084356308	s_xvi	3.9908	1.93007e-14	
0.5	5.75100421906	s_xvi	3.9908	1.75397e-14	
0.5	5.79116487503	s_xvi	3.9908	1.59271e-14	
0.5	5.83132553101	s_xvi	3.9908	1.44479e-14	
0.5	5.87148571014	s_xvi	3.9908	1.3092e-14	
0.5	5.91164636612	s_xvi	3.9908	1.18536e-14	
0.5	5.95180702209	s_xvi	3.9908	1.07216e-14	
0.5	5.99196767807	s_xvi	3.9908	9.68607e-15	
0.5	6.03212833405	s_xvi	3.9908	8.74215e-15	
0.5	6.07228899002	s_xvi	3.9908	7.8813e-15	
0.5	6.112449646	s_xvi	3.9908	7.0967e-15	
0.5	6.15261030197	s_xvi	3.9908	6.38187e-15	
0.5	6.19277095795	s_xvi	3.9908	5.73185e-15	
0.5	6.23293161392	s_xvi	3.9908	5.14103e-15	
0.5	6.2730922699	s_xvi	3.9908	4.60605e-15	
0.5	6.31325292587	s_xvi	3.9908	4.11923e-15	
0.5	6.35341358185	s_xvi	3.9908	3.67809e-15	
0.5	6.39357423782	s_xvi	3.9908	3.2788e-15	
0.5	6.4337348938	s_xvi	3.9908	2.91784e-15	
0.5	6.47389554977	s_xvi	3.9908	2.59064e-15	
0.5	6.51405620575	s_xvi	3.9908	2.29703e-15	
0.5	6.55421686172	s_xvi	3.9908	2.0328e-15	
0.5	6.5943775177	s_xvi	3.9908	1.79586e-15	
0.5	6.63453817368	s_xvi	3.9908	1.58414e-15	
0.5	6.67469882965	s_xvi	3.9908	1.39368e-15	
0.5	6.71485948563	s_xvi	3.9908	1.22362e-15	
0.5	6.7550201416	s_xvi	3.9908	1.07191e-15	
0.5	6.79518079758	s_xvi	3.9908	9.36731e-16	
0.5	6.83534145355	s_xvi	3.9908	8.17383e-16	
0.5	6.87550210953	s_xvi	3.9908	7.11831e-16	
0.5	6.9156627655	s_xvi	3.9908	6.18599e-16	
0.5	6.95582342148	s_xvi	3.9908	5.36458e-16	
0.5	6.99598407745	s_xvi	3.9908	4.64061e-16	
0.5	7.03614473343	s_xvi	3.9908	4.00457e-16	
0.5	7.0763053894	s_xvi	3.9908	3.45174e-16	
0.5	7.11646604538	s_xvi	3.9908	2.9692e-16	
0.5	7.15662670135	s_xvi	3.9908	2.5493e-16	
0.5	7.19678735733	s_xvi	3.9908	2.18678e-16	
0.5	7.23694801331	s_xvi	3.9908	1.87118e-16	
0.5	7.27710866928	s_xvi	3.9908	1.59705e-16	
0.5	7.31726884842	s_xvi	3.9908	1.36342e-16	
0.5	7.35742950439	s_xvi	3.9908	1.16014e-16	
0.5	7.39759016037	s_xvi	3.9908	9.86765e-17	
0.5	7.43775081635	s_xvi	3.9908	8.38229e-17	
0.5	7.47791147232	s_xvi	3.9908	7.11208e-17	
0.5	7.5180721283	s_xvi	3.9908	6.03447e-17	
0.5	7.55823278427	s_xvi	3.9908	5.10962e-17	
0.5	7.59839344025	s_xvi	3.9908	4.32282e-17	
0.5	7.63855409622	s_xvi	3.9908	3.6544e-17	
0.5	7.6787147522	s_xvi	3.9908	3.08389e-17	
0.5	7.71887540817	s_xvi	3.9908	2.60651e-17	
0.5	7.75903606415	s_xvi	3.9908	2.19703e-17	
0.5	7.79919672012	s_xvi	3.9908	1.85549e-17	
0.5	7.8393573761	s_xvi	3.9908	1.56283e-17	
0.5	7.87951803207	s_xvi	3.9908	1.31764e-17	
0.5	7.91967868805	s_xvi	3.9908	1.11077e-17	
0.5	7.95983934402	s_xvi	3.9908	9.36401e-18	
0.5	8.0	s_xvi	3.9908	7.90545e-18	
0.524608492851	-2.0	s_xvi	3.9908	0.0	
0.524608492851	-1.95983934402	s_xvi	3.9908	0.0	
0.524608492851	-1.91967868805	s_xvi	3.9908	0.0	
0.524608492851	-1.87951803207	s_xvi	3.9908	0.0	
0.524608492851	-1.8393573761	s_xvi	3.9908	0.0	
0.524608492851	-1.79919683933	s_xvi	3.9908	0.0	
0.524608492851	-1.75903618336	s_xvi	3.9908	0.0	
0.524608492851	-1.71887552738	s_xvi	3.9908	0.0	
0.524608492851	-1.67871487141	s_xvi	3.9908	0.0	
0.524608492851	-1.63855421543	s_xvi	3.9908	0.0	
0.524608492851	-1.59839355946	s_xvi	3.9908	0.0	
0.524608492851	-1.55823290348	s_xvi	3.9908	0.0	
0.524608492851	-1.51807224751	s_xvi	3.9908	0.0	
0.524608492851	-1.47791159153	s_xvi	3.9908	0.0	
0.524608492851	-1.43775105476	s_xvi	3.9908	0.0	
