temperature	xi	ne_viii	wavelength	opacity
0.5	2.33734941483	ne_viii	780.324	1.17252e-10	
0.5	2.3775100708	ne_viii	780.324	1.06872e-10	
0.5	2.41767072678	ne_viii	780.324	9.69162e-11	
0.5	2.45783138275	ne_viii	780.324	8.74372e-11	
0.5	2.49799203873	ne_viii	780.324	7.84752e-11	
0.5	2.5381526947	ne_viii	780.324	7.00583e-11	
0.5	2.57831335068	ne_viii	780.324	6.22044e-11	
0.5	2.61847400665	ne_viii	780.324	5.49223e-11	
0.5	2.65863442421	ne_viii	780.324	4.82135e-11	
0.5	2.69879508018	ne_viii	780.324	4.20725e-11	
0.5	2.73895573616	ne_viii	780.324	3.64882e-11	
0.5	2.77911639214	ne_viii	780.324	3.14446e-11	
0.5	2.81927704811	ne_viii	780.324	2.69213e-11	
0.5	2.85943770409	ne_viii	780.324	2.2894e-11	
0.5	2.89959836006	ne_viii	780.324	1.93355e-11	
0.5	2.93975901604	ne_viii	780.324	1.62155e-11	
0.5	2.97991967201	ne_viii	780.324	1.35022e-11	
0.5	3.02008032799	ne_viii	780.324	1.1162e-11	
0.5	3.06024098396	ne_viii	780.324	9.16052e-12	
0.5	3.10040163994	ne_viii	780.324	7.46349e-12	
0.5	3.14056229591	ne_viii	780.324	6.03699e-12	
0.5	3.18072295189	ne_viii	780.324	4.84833e-12	
0.5	3.22088360786	ne_viii	780.324	3.86566e-12	
0.5	3.26104426384	ne_viii	780.324	3.06219e-12	
0.5	3.30120491982	ne_viii	780.324	2.40797e-12	
0.5	3.34136557579	ne_viii	780.324	1.88124e-12	
0.5	3.38152599335	ne_viii	780.324	1.46054e-12	
0.5	3.42168664932	ne_viii	780.324	1.12684e-12	
0.5	3.4618473053	ne_viii	780.324	8.64159e-13	
0.5	3.50200796127	ne_viii	780.324	6.5889e-13	
0.5	3.54216861725	ne_viii	780.324	4.99576e-13	
0.5	3.58232927322	ne_viii	780.324	3.76879e-13	
0.5	3.6224899292	ne_viii	780.324	2.82646e-13	
0.5	3.66265058517	ne_viii	780.324	2.10987e-13	
0.5	3.70281124115	ne_viii	780.324	1.56737e-13	
0.5	3.74297189713	ne_viii	780.324	1.15896e-13	
0.5	3.7831325531	ne_viii	780.324	8.5352e-14	
0.5	3.82329320908	ne_viii	780.324	6.25145e-14	
0.5	3.86345386505	ne_viii	780.324	4.56279e-14	
0.5	3.90361452103	ne_viii	780.324	3.31689e-14	
0.5	3.943775177	ne_viii	780.324	2.40592e-14	
0.5	3.98393583298	ne_viii	780.324	1.73581e-14	
0.5	4.02409648895	ne_viii	780.324	1.24777e-14	
0.5	4.06425714493	ne_viii	780.324	8.93778e-15	
0.5	4.1044178009	ne_viii	780.324	6.38017e-15	
0.5	4.14457845688	ne_viii	780.324	4.53927e-15	
0.5	4.18473911285	ne_viii	780.324	3.21906e-15	
0.5	4.22489976883	ne_viii	780.324	2.27562e-15	
0.5	4.2650604248	ne_viii	780.324	1.60056e-15	
0.5	4.30522108078	ne_viii	780.324	1.12471e-15	
0.5	4.34538173676	ne_viii	780.324	7.88039e-16	
0.5	4.38554239273	ne_viii	780.324	5.51034e-16	
0.5	4.42570304871	ne_viii	780.324	3.83933e-16	
0.5	4.46586322784	ne_viii	780.324	2.6677e-16	
0.5	4.50602388382	ne_viii	780.324	1.84855e-16	
0.5	4.54618453979	ne_viii	780.324	1.28018e-16	
0.5	4.58634519577	ne_viii	780.324	8.81301e-17	
0.5	4.62650585175	ne_viii	780.324	6.05552e-17	
0.5	4.66666650772	ne_viii	780.324	4.14364e-17	
0.5	4.7068271637	ne_viii	780.324	2.83254e-17	
0.5	4.74698781967	ne_viii	780.324	1.93246e-17	
0.5	4.78714847565	ne_viii	780.324	1.31701e-17	
0.5	4.82730913162	ne_viii	780.324	8.94165e-18	
0.5	4.8674697876	ne_viii	780.324	6.03797e-18	
0.5	4.90763044357	ne_viii	780.324	4.07535e-18	
0.5	4.94779109955	ne_viii	780.324	2.7413e-18	
0.5	4.98795175552	ne_viii	780.324	1.84299e-18	
0.5	5.0281124115	ne_viii	780.324	1.2365e-18	
0.5	5.06827306747	ne_viii	780.324	8.27507e-19	
0.5	5.10843372345	ne_viii	780.324	5.5157e-19	
0.5	5.14859437943	ne_viii	780.324	3.66008e-19	
0.5	5.1887550354	ne_viii	780.324	2.4302e-19	
0.5	5.22891569138	ne_viii	780.324	1.61044e-19	
0.5	5.26907634735	ne_viii	780.324	1.06643e-19	
0.5	5.30923700333	ne_viii	780.324	7.03389e-20	
0.5	5.3493976593	ne_viii	780.324	4.63391e-20	
0.5	5.38955831528	ne_viii	780.324	3.04295e-20	
0.5	5.42971897125	ne_viii	780.324	1.99371e-20	
0.5	5.46987962723	ne_viii	780.324	0.0	
0.5	5.5100402832	ne_viii	780.324	0.0	
0.5	5.55020093918	ne_viii	780.324	0.0	
0.5	5.59036159515	ne_viii	780.324	0.0	
0.5	5.63052225113	ne_viii	780.324	0.0	
0.5	5.6706829071	ne_viii	780.324	0.0	
0.5	5.71084356308	ne_viii	780.324	0.0	
0.5	5.75100421906	ne_viii	780.324	0.0	
0.5	5.79116487503	ne_viii	780.324	0.0	
0.5	5.83132553101	ne_viii	780.324	0.0	
0.5	5.87148571014	ne_viii	780.324	0.0	
0.5	5.91164636612	ne_viii	780.324	0.0	
0.5	5.95180702209	ne_viii	780.324	0.0	
0.5	5.99196767807	ne_viii	780.324	0.0	
