temperature	xi	fe_xxv	wavelength	opacity
0.5	2.45783138275	fe_xxv	1.8505	0.0	
0.5	2.49799203873	fe_xxv	1.8505	0.0	
0.5	2.5381526947	fe_xxv	1.8505	0.0	
0.5	2.57831335068	fe_xxv	1.8505	0.0	
0.5	2.61847400665	fe_xxv	1.8505	0.0	
0.5	2.65863442421	fe_xxv	1.8505	0.0	
0.5	2.69879508018	fe_xxv	1.8505	0.0	
0.5	2.73895573616	fe_xxv	1.8505	0.0	
0.5	2.77911639214	fe_xxv	1.8505	0.0	
0.5	2.81927704811	fe_xxv	1.8505	0.0	
0.5	2.85943770409	fe_xxv	1.8505	0.0	
0.5	2.89959836006	fe_xxv	1.8505	0.0	
0.5	2.93975901604	fe_xxv	1.8505	0.0	
0.5	2.97991967201	fe_xxv	1.8505	0.0	
0.5	3.02008032799	fe_xxv	1.8505	0.0	
0.5	3.06024098396	fe_xxv	1.8505	0.0	
0.5	3.10040163994	fe_xxv	1.8505	0.0	
0.5	3.14056229591	fe_xxv	1.8505	0.0	
0.5	3.18072295189	fe_xxv	1.8505	0.0	
0.5	3.22088360786	fe_xxv	1.8505	0.0	
0.5	3.26104426384	fe_xxv	1.8505	0.0	
0.5	3.30120491982	fe_xxv	1.8505	0.0	
0.5	3.34136557579	fe_xxv	1.8505	3.74544e-18	
0.5	3.38152599335	fe_xxv	1.8505	6.51817e-18	
0.5	3.42168664932	fe_xxv	1.8505	1.12978e-17	
0.5	3.4618473053	fe_xxv	1.8505	1.95016e-17	
0.5	3.50200796127	fe_xxv	1.8505	3.35215e-17	
0.5	3.54216861725	fe_xxv	1.8505	5.73736e-17	
0.5	3.58232927322	fe_xxv	1.8505	9.77662e-17	
0.5	3.6224899292	fe_xxv	1.8505	1.65844e-16	
0.5	3.66265058517	fe_xxv	1.8505	2.79998e-16	
0.5	3.70281124115	fe_xxv	1.8505	4.70453e-16	
0.5	3.74297189713	fe_xxv	1.8505	7.86468e-16	
0.5	3.7831325531	fe_xxv	1.8505	1.30782e-15	
0.5	3.82329320908	fe_xxv	1.8505	2.16264e-15	
0.5	3.86345386505	fe_xxv	1.8505	3.55529e-15	
0.5	3.90361452103	fe_xxv	1.8505	5.80802e-15	
0.5	3.943775177	fe_xxv	1.8505	9.42365e-15	
0.5	3.98393583298	fe_xxv	1.8505	1.51758e-14	
0.5	4.02409648895	fe_xxv	1.8505	2.42359e-14	
0.5	4.06425714493	fe_xxv	1.8505	3.83262e-14	
0.5	4.1044178009	fe_xxv	1.8505	5.9906e-14	
0.5	4.14457845688	fe_xxv	1.8505	9.2288e-14	
0.5	4.18473911285	fe_xxv	1.8505	1.39534e-13	
0.5	4.22489976883	fe_xxv	1.8505	2.05786e-13	
0.5	4.2650604248	fe_xxv	1.8505	2.93468e-13	
0.5	4.30522108078	fe_xxv	1.8505	4.00394e-13	
0.5	4.34538173676	fe_xxv	1.8505	5.16128e-13	
0.5	4.38554239273	fe_xxv	1.8505	6.22052e-13	
0.5	4.42570304871	fe_xxv	1.8505	6.97269e-13	
0.5	4.46586322784	fe_xxv	1.8505	7.28603e-13	
0.5	4.50602388382	fe_xxv	1.8505	7.16181e-13	
0.5	4.54618453979	fe_xxv	1.8505	6.7045e-13	
0.5	4.58634519577	fe_xxv	1.8505	6.05375e-13	
0.5	4.62650585175	fe_xxv	1.8505	5.32102e-13	
0.5	4.66666650772	fe_xxv	1.8505	4.58978e-13	
0.5	4.7068271637	fe_xxv	1.8505	3.90599e-13	
0.5	4.74698781967	fe_xxv	1.8505	3.29116e-13	
0.5	4.78714847565	fe_xxv	1.8505	2.75321e-13	
0.5	4.82730913162	fe_xxv	1.8505	2.28886e-13	
0.5	4.8674697876	fe_xxv	1.8505	1.89381e-13	
0.5	4.90763044357	fe_xxv	1.8505	1.56115e-13	
0.5	4.94779109955	fe_xxv	1.8505	1.28192e-13	
0.5	4.98795175552	fe_xxv	1.8505	1.04937e-13	
0.5	5.0281124115	fe_xxv	1.8505	8.56533e-14	
0.5	5.06827306747	fe_xxv	1.8505	6.97233e-14	
0.5	5.10843372345	fe_xxv	1.8505	5.66096e-14	
0.5	5.14859437943	fe_xxv	1.8505	4.58469e-14	
0.5	5.1887550354	fe_xxv	1.8505	3.70394e-14	
0.5	5.22891569138	fe_xxv	1.8505	2.98518e-14	
0.5	5.26907634735	fe_xxv	1.8505	2.40016e-14	
0.5	5.30923700333	fe_xxv	1.8505	1.92525e-14	
0.5	5.3493976593	fe_xxv	1.8505	1.54069e-14	
0.5	5.38955831528	fe_xxv	1.8505	1.2301e-14	
0.5	5.42971897125	fe_xxv	1.8505	9.79869e-15	
0.5	5.46987962723	fe_xxv	1.8505	7.78775e-15	
0.5	5.5100402832	fe_xxv	1.8505	6.17569e-15	
0.5	5.55020093918	fe_xxv	1.8505	4.88653e-15	
0.5	5.59036159515	fe_xxv	1.8505	3.85822e-15	
0.5	5.63052225113	fe_xxv	1.8505	3.03985e-15	
0.5	5.6706829071	fe_xxv	1.8505	2.38992e-15	
0.5	5.71084356308	fe_xxv	1.8505	1.87609e-15	
0.5	5.75100421906	fe_xxv	1.8505	1.46987e-15	
0.5	5.79116487503	fe_xxv	1.8505	1.14755e-15	
0.5	5.83132553101	fe_xxv	1.8505	8.95121e-16	
0.5	5.87148571014	fe_xxv	1.8505	6.97267e-16	
0.5	5.91164636612	fe_xxv	1.8505	5.42754e-16	
0.5	5.95180702209	fe_xxv	1.8505	4.22776e-16	
0.5	5.99196767807	fe_xxv	1.8505	3.2802e-16	
0.5	6.03212833405	fe_xxv	1.8505	2.53977e-16	
0.5	6.07228899002	fe_xxv	1.8505	1.96026e-16	
0.5	6.112449646	fe_xxv	1.8505	1.5148e-16	
0.5	6.15261030197	fe_xxv	1.8505	1.16949e-16	
0.5	6.19277095795	fe_xxv	1.8505	9.02098e-17	
0.5	6.23293161392	fe_xxv	1.8505	6.97451e-17	
0.5	6.2730922699	fe_xxv	1.8505	5.35963e-17	
0.5	6.31325292587	fe_xxv	1.8505	4.12582e-17	
0.5	6.35341358185	fe_xxv	1.8505	3.17144e-17	
0.5	6.39357423782	fe_xxv	1.8505	2.44136e-17	
0.5	6.4337348938	fe_xxv	1.8505	1.8827e-17	
0.5	6.47389554977	fe_xxv	1.8505	1.44723e-17	
0.5	6.51405620575	fe_xxv	1.8505	1.11228e-17	
0.5	6.55421686172	fe_xxv	1.8505	8.54972e-18	
0.5	6.5943775177	fe_xxv	1.8505	6.57038e-18	
0.5	6.63453817368	fe_xxv	1.8505	5.04968e-18	
0.5	6.67469882965	fe_xxv	1.8505	3.88154e-18	
0.5	6.71485948563	fe_xxv	1.8505	2.98432e-18	
0.5	6.7550201416	fe_xxv	1.8505	2.29519e-18	
0.5	6.79518079758	fe_xxv	1.8505	1.76497e-18	
0.5	6.83534145355	fe_xxv	1.8505	1.35332e-18	
0.5	6.87550210953	fe_xxv	1.8505	1.04226e-18	
0.5	6.9156627655	fe_xxv	1.8505	8.03172e-19	
0.5	6.95582342148	fe_xxv	1.8505	6.19322e-19	
0.5	6.99598407745	fe_xxv	1.8505	4.77884e-19	
0.5	7.03614473343	fe_xxv	1.8505	3.69015e-19	
0.5	7.0763053894	fe_xxv	1.8505	2.86512e-19	
0.5	7.11646604538	fe_xxv	1.8505	2.21523e-19	
0.5	7.15662670135	fe_xxv	1.8505	1.714e-19	
0.5	7.19678735733	fe_xxv	1.8505	1.32717e-19	
0.5	7.23694801331	fe_xxv	1.8505	1.02323e-19	
0.5	7.27710866928	fe_xxv	1.8505	7.93797e-20	
0.5	7.31726884842	fe_xxv	1.8505	6.16298e-20	
0.5	7.35742950439	fe_xxv	1.8505	4.80763e-20	
0.5	7.39759016037	fe_xxv	1.8505	3.74144e-20	
0.5	7.43775081635	fe_xxv	1.8505	2.90729e-20	
0.5	7.47791147232	fe_xxv	1.8505	2.25342e-20	
0.5	7.5180721283	fe_xxv	1.8505	1.75192e-20	
0.5	7.55823278427	fe_xxv	1.8505	1.36565e-20	
0.5	7.59839344025	fe_xxv	1.8505	1.0681e-20	
0.5	7.63855409622	fe_xxv	1.8505	8.33237e-21	
0.5	7.6787147522	fe_xxv	1.8505	6.44823e-21	
0.5	7.71887540817	fe_xxv	1.8505	5.02316e-21	
0.5	7.75903606415	fe_xxv	1.8505	3.9177e-21	
0.5	7.79919672012	fe_xxv	1.8505	3.0742e-21	
0.5	7.8393573761	fe_xxv	1.8505	2.39419e-21	
0.5	7.87951803207	fe_xxv	1.8505	1.86162e-21	
0.5	7.91967868805	fe_xxv	1.8505	1.43754e-21	
0.5	7.95983934402	fe_xxv	1.8505	1.11697e-21	
0.5	8.0	fe_xxv	1.8505	8.68844e-22	
0.524608492851	-2.0	fe_xxv	1.8505	0.0	
0.524608492851	-1.95983934402	fe_xxv	1.8505	0.0	
0.524608492851	-1.91967868805	fe_xxv	1.8505	0.0	
0.524608492851	-1.87951803207	fe_xxv	1.8505	0.0	
0.524608492851	-1.8393573761	fe_xxv	1.8505	0.0	
0.524608492851	-1.79919683933	fe_xxv	1.8505	0.0	
0.524608492851	-1.75903618336	fe_xxv	1.8505	0.0	
0.524608492851	-1.71887552738	fe_xxv	1.8505	0.0	
0.524608492851	-1.67871487141	fe_xxv	1.8505	0.0	
0.524608492851	-1.63855421543	fe_xxv	1.8505	0.0	
0.524608492851	-1.59839355946	fe_xxv	1.8505	0.0	
0.524608492851	-1.55823290348	fe_xxv	1.8505	0.0	
0.524608492851	-1.51807224751	fe_xxv	1.8505	0.0	
0.524608492851	-1.47791159153	fe_xxv	1.8505	0.0	
0.524608492851	-1.43775105476	fe_xxv	1.8505	0.0	
0.524608492851	-1.39759039879	fe_xxv	1.8505	0.0	
0.524608492851	-1.35742974281	fe_xxv	1.8505	0.0	
0.524608492851	-1.31726908684	fe_xxv	1.8505	0.0	
0.524608492851	-1.27710843086	fe_xxv	1.8505	0.0	
0.524608492851	-1.23694777489	fe_xxv	1.8505	0.0	
0.524608492851	-1.19678711891	fe_xxv	1.8505	0.0	
0.524608492851	-1.15662646294	fe_xxv	1.8505	0.0	
0.524608492851	-1.11646580696	fe_xxv	1.8505	0.0	
0.524608492851	-1.0763052702	fe_xxv	1.8505	0.0	
0.524608492851	-1.03614461422	fe_xxv	1.8505	0.0	
0.524608492851	-0.995983958244	fe_xxv	1.8505	0.0	
0.524608492851	-0.955823302269	fe_xxv	1.8505	0.0	
0.524608492851	-0.915662646294	fe_xxv	1.8505	0.0	
0.524608492851	-0.875501990318	fe_xxv	1.8505	0.0	
0.524608492851	-0.835341393948	fe_xxv	1.8505	0.0	
0.524608492851	-0.795180737972	fe_xxv	1.8505	0.0	
0.524608492851	-0.755020081997	fe_xxv	1.8505	0.0	
0.524608492851	-0.714859426022	fe_xxv	1.8505	0.0	
0.524608492851	-0.674698770046	fe_xxv	1.8505	0.0	
0.524608492851	-0.634538173676	fe_xxv	1.8505	0.0	
0.524608492851	-0.5943775177	fe_xxv	1.8505	0.0	
0.524608492851	-0.554216861725	fe_xxv	1.8505	0.0	
0.524608492851	-0.51405620575	fe_xxv	1.8505	0.0	
0.524608492851	-0.473895579576	fe_xxv	1.8505	0.0	
0.524608492851	-0.433734953403	fe_xxv	1.8505	0.0	
0.524608492851	-0.393574297428	fe_xxv	1.8505	0.0	
0.524608492851	-0.353413641453	fe_xxv	1.8505	0.0	
0.524608492851	-0.31325301528	fe_xxv	1.8505	0.0	
0.524608492851	-0.273092359304	fe_xxv	1.8505	0.0	
0.524608492851	-0.232931733131	fe_xxv	1.8505	0.0	
0.524608492851	-0.192771077156	fe_xxv	1.8505	0.0	
0.524608492851	-0.152610436082	fe_xxv	1.8505	0.0	
0.524608492851	-0.112449802458	fe_xxv	1.8505	0.0	
0.524608492851	-0.0722891539335	fe_xxv	1.8505	0.0	
0.524608492851	-0.0321285128593	fe_xxv	1.8505	0.0	
0.524608492851	0.00803212821484	fe_xxv	1.8505	0.0	
0.524608492851	0.048192769289	fe_xxv	1.8505	0.0	
0.524608492851	0.0883534103632	fe_xxv	1.8505	0.0	
0.524608492851	0.128514051437	fe_xxv	1.8505	0.0	
0.524608492851	0.168674692512	fe_xxv	1.8505	0.0	
0.524608492851	0.208835348487	fe_xxv	1.8505	0.0	
0.524608492851	0.248995989561	fe_xxv	1.8505	0.0	
0.524608492851	0.289156615734	fe_xxv	1.8505	0.0	
0.524608492851	0.329317271709	fe_xxv	1.8505	0.0	
0.524608492851	0.369477897882	fe_xxv	1.8505	0.0	
0.524608492851	0.409638553858	fe_xxv	1.8505	0.0	
0.524608492851	0.449799209833	fe_xxv	1.8505	0.0	
0.524608492851	0.489959836006	fe_xxv	1.8505	0.0	
0.524608492851	0.530120491982	fe_xxv	1.8505	0.0	
0.524608492851	0.570281147957	fe_xxv	1.8505	0.0	
0.524608492851	0.610441744328	fe_xxv	1.8505	0.0	
0.524608492851	0.650602400303	fe_xxv	1.8505	0.0	
0.524608492851	0.690763056278	fe_xxv	1.8505	0.0	
0.524608492851	0.730923712254	fe_xxv	1.8505	0.0	
0.524608492851	0.771084308624	fe_xxv	1.8505	0.0	
