temperature	xi	ar_xviii	wavelength	opacity
0.5	2.45783138275	ar_xviii	3.7311	0.0	
0.5	2.49799203873	ar_xviii	3.7311	0.0	
0.5	2.5381526947	ar_xviii	3.7311	1.16317e-18	
0.5	2.57831335068	ar_xviii	3.7311	1.85003e-18	
0.5	2.61847400665	ar_xviii	3.7311	2.92688e-18	
0.5	2.65863442421	ar_xviii	3.7311	4.60494e-18	
0.5	2.69879508018	ar_xviii	3.7311	7.20221e-18	
0.5	2.73895573616	ar_xviii	3.7311	1.11953e-17	
0.5	2.77911639214	ar_xviii	3.7311	1.7294e-17	
0.5	2.81927704811	ar_xviii	3.7311	2.65415e-17	
0.5	2.85943770409	ar_xviii	3.7311	4.04525e-17	
0.5	2.89959836006	ar_xviii	3.7311	6.12153e-17	
0.5	2.93975901604	ar_xviii	3.7311	9.19414e-17	
0.5	2.97991967201	ar_xviii	3.7311	1.37031e-16	
0.5	3.02008032799	ar_xviii	3.7311	2.02565e-16	
0.5	3.06024098396	ar_xviii	3.7311	2.96894e-16	
0.5	3.10040163994	ar_xviii	3.7311	4.31269e-16	
0.5	3.14056229591	ar_xviii	3.7311	6.20606e-16	
0.5	3.18072295189	ar_xviii	3.7311	8.84298e-16	
0.5	3.22088360786	ar_xviii	3.7311	1.24705e-15	
0.5	3.26104426384	ar_xviii	3.7311	1.73961e-15	
0.5	3.30120491982	ar_xviii	3.7311	2.39929e-15	
0.5	3.34136557579	ar_xviii	3.7311	3.27012e-15	
0.5	3.38152599335	ar_xviii	3.7311	4.4025e-15	
0.5	3.42168664932	ar_xviii	3.7311	5.85282e-15	
0.5	3.4618473053	ar_xviii	3.7311	7.67905e-15	
0.5	3.50200796127	ar_xviii	3.7311	9.94488e-15	
0.5	3.54216861725	ar_xviii	3.7311	1.27089e-14	
0.5	3.58232927322	ar_xviii	3.7311	1.60287e-14	
0.5	3.6224899292	ar_xviii	3.7311	1.99554e-14	
0.5	3.66265058517	ar_xviii	3.7311	2.45323e-14	
0.5	3.70281124115	ar_xviii	3.7311	2.97933e-14	
0.5	3.74297189713	ar_xviii	3.7311	3.57623e-14	
0.5	3.7831325531	ar_xviii	3.7311	4.24523e-14	
0.5	3.82329320908	ar_xviii	3.7311	4.98652e-14	
0.5	3.86345386505	ar_xviii	3.7311	5.79915e-14	
0.5	3.90361452103	ar_xviii	3.7311	6.68092e-14	
