temperature	xi	si_iii	wavelength	opacity
0.5	2.2168674469	si_iii	1206.5	0.0	
0.5	2.25702810287	si_iii	1206.5	0.0	
0.5	2.29718875885	si_iii	1206.5	0.0	
0.5	2.33734941483	si_iii	1206.5	0.0	
0.5	2.3775100708	si_iii	1206.5	0.0	
0.5	2.41767072678	si_iii	1206.5	0.0	
0.5	2.45783138275	si_iii	1206.5	0.0	
0.5	2.49799203873	si_iii	1206.5	0.0	
0.5	2.5381526947	si_iii	1206.5	0.0	
0.5	2.57831335068	si_iii	1206.5	0.0	
0.5	2.61847400665	si_iii	1206.5	0.0	
0.5	2.65863442421	si_iii	1206.5	0.0	
0.5	2.69879508018	si_iii	1206.5	0.0	
0.5	2.73895573616	si_iii	1206.5	0.0	
0.5	2.77911639214	si_iii	1206.5	0.0	
0.5	2.81927704811	si_iii	1206.5	0.0	
0.5	2.85943770409	si_iii	1206.5	0.0	
0.5	2.89959836006	si_iii	1206.5	0.0	
0.5	2.93975901604	si_iii	1206.5	0.0	
0.5	2.97991967201	si_iii	1206.5	0.0	
0.5	3.02008032799	si_iii	1206.5	0.0	
0.5	3.06024098396	si_iii	1206.5	0.0	
0.5	3.10040163994	si_iii	1206.5	0.0	
0.5	3.14056229591	si_iii	1206.5	0.0	
0.5	3.18072295189	si_iii	1206.5	0.0	
0.5	3.22088360786	si_iii	1206.5	0.0	
0.5	3.26104426384	si_iii	1206.5	0.0	
0.5	3.30120491982	si_iii	1206.5	0.0	
0.5	3.34136557579	si_iii	1206.5	0.0	
0.5	3.38152599335	si_iii	1206.5	0.0	
0.5	3.42168664932	si_iii	1206.5	0.0	
0.5	3.4618473053	si_iii	1206.5	0.0	
0.5	3.50200796127	si_iii	1206.5	0.0	
0.5	3.54216861725	si_iii	1206.5	0.0	
0.5	3.58232927322	si_iii	1206.5	0.0	
0.5	3.6224899292	si_iii	1206.5	0.0	
0.5	3.66265058517	si_iii	1206.5	0.0	
0.5	3.70281124115	si_iii	1206.5	0.0	
0.5	3.74297189713	si_iii	1206.5	0.0	
0.5	3.7831325531	si_iii	1206.5	0.0	
0.5	3.82329320908	si_iii	1206.5	0.0	
0.5	3.86345386505	si_iii	1206.5	0.0	
0.5	3.90361452103	si_iii	1206.5	0.0	
0.5	3.943775177	si_iii	1206.5	0.0	
0.5	3.98393583298	si_iii	1206.5	0.0	
0.5	4.02409648895	si_iii	1206.5	0.0	
0.5	4.06425714493	si_iii	1206.5	0.0	
0.5	4.1044178009	si_iii	1206.5	0.0	
0.5	4.14457845688	si_iii	1206.5	0.0	
0.5	4.18473911285	si_iii	1206.5	0.0	
0.5	4.22489976883	si_iii	1206.5	0.0	
0.5	4.2650604248	si_iii	1206.5	0.0	
0.5	4.30522108078	si_iii	1206.5	0.0	
0.5	4.34538173676	si_iii	1206.5	0.0	
0.5	4.38554239273	si_iii	1206.5	0.0	
0.5	4.42570304871	si_iii	1206.5	0.0	
0.5	4.46586322784	si_iii	1206.5	0.0	
0.5	4.50602388382	si_iii	1206.5	0.0	
0.5	4.54618453979	si_iii	1206.5	0.0	
0.5	4.58634519577	si_iii	1206.5	0.0	
0.5	4.62650585175	si_iii	1206.5	0.0	
0.5	4.66666650772	si_iii	1206.5	0.0	
0.5	4.7068271637	si_iii	1206.5	0.0	
0.5	4.74698781967	si_iii	1206.5	0.0	
0.5	4.78714847565	si_iii	1206.5	0.0	
0.5	4.82730913162	si_iii	1206.5	0.0	
0.5	4.8674697876	si_iii	1206.5	0.0	
0.5	4.90763044357	si_iii	1206.5	0.0	
0.5	4.94779109955	si_iii	1206.5	0.0	
0.5	4.98795175552	si_iii	1206.5	0.0	
0.5	5.0281124115	si_iii	1206.5	0.0	
0.5	5.06827306747	si_iii	1206.5	0.0	
0.5	5.10843372345	si_iii	1206.5	0.0	
0.5	5.14859437943	si_iii	1206.5	0.0	
0.5	5.1887550354	si_iii	1206.5	0.0	
0.5	5.22891569138	si_iii	1206.5	0.0	
0.5	5.26907634735	si_iii	1206.5	0.0	
0.5	5.30923700333	si_iii	1206.5	0.0	
0.5	5.3493976593	si_iii	1206.5	0.0	
0.5	5.38955831528	si_iii	1206.5	0.0	
0.5	5.42971897125	si_iii	1206.5	0.0	
0.5	5.46987962723	si_iii	1206.5	0.0	
0.5	5.5100402832	si_iii	1206.5	0.0	
0.5	5.55020093918	si_iii	1206.5	0.0	
0.5	5.59036159515	si_iii	1206.5	0.0	
0.5	5.63052225113	si_iii	1206.5	0.0	
0.5	5.6706829071	si_iii	1206.5	0.0	
0.5	5.71084356308	si_iii	1206.5	0.0	
0.5	5.75100421906	si_iii	1206.5	0.0	
0.5	5.79116487503	si_iii	1206.5	0.0	
0.5	5.83132553101	si_iii	1206.5	0.0	
0.5	5.87148571014	si_iii	1206.5	0.0	
0.5	5.91164636612	si_iii	1206.5	0.0	
0.5	5.95180702209	si_iii	1206.5	0.0	
0.5	5.99196767807	si_iii	1206.5	0.0	
0.5	6.03212833405	si_iii	1206.5	0.0	
0.5	6.07228899002	si_iii	1206.5	0.0	
0.5	6.112449646	si_iii	1206.5	0.0	
0.5	6.15261030197	si_iii	1206.5	0.0	
0.5	6.19277095795	si_iii	1206.5	0.0	
0.5	6.23293161392	si_iii	1206.5	0.0	
0.5	6.2730922699	si_iii	1206.5	0.0	
0.5	6.31325292587	si_iii	1206.5	0.0	
0.5	6.35341358185	si_iii	1206.5	0.0	
0.5	6.39357423782	si_iii	1206.5	0.0	
0.5	6.4337348938	si_iii	1206.5	0.0	
0.5	6.47389554977	si_iii	1206.5	0.0	
0.5	6.51405620575	si_iii	1206.5	0.0	
0.5	6.55421686172	si_iii	1206.5	0.0	
0.5	6.5943775177	si_iii	1206.5	0.0	
0.5	6.63453817368	si_iii	1206.5	0.0	
0.5	6.67469882965	si_iii	1206.5	0.0	
0.5	6.71485948563	si_iii	1206.5	0.0	
0.5	6.7550201416	si_iii	1206.5	0.0	
0.5	6.79518079758	si_iii	1206.5	0.0	
0.5	6.83534145355	si_iii	1206.5	0.0	
0.5	6.87550210953	si_iii	1206.5	0.0	
0.5	6.9156627655	si_iii	1206.5	0.0	
0.5	6.95582342148	si_iii	1206.5	0.0	
0.5	6.99598407745	si_iii	1206.5	0.0	
0.5	7.03614473343	si_iii	1206.5	0.0	
0.5	7.0763053894	si_iii	1206.5	0.0	
0.5	7.11646604538	si_iii	1206.5	0.0	
0.5	7.15662670135	si_iii	1206.5	0.0	
0.5	7.19678735733	si_iii	1206.5	0.0	
0.5	7.23694801331	si_iii	1206.5	0.0	
0.5	7.27710866928	si_iii	1206.5	0.0	
0.5	7.31726884842	si_iii	1206.5	0.0	
0.5	7.35742950439	si_iii	1206.5	0.0	
0.5	7.39759016037	si_iii	1206.5	0.0	
0.5	7.43775081635	si_iii	1206.5	0.0	
0.5	7.47791147232	si_iii	1206.5	0.0	
0.5	7.5180721283	si_iii	1206.5	0.0	
0.5	7.55823278427	si_iii	1206.5	0.0	
0.5	7.59839344025	si_iii	1206.5	0.0	
0.5	7.63855409622	si_iii	1206.5	0.0	
0.5	7.6787147522	si_iii	1206.5	0.0	
0.5	7.71887540817	si_iii	1206.5	0.0	
0.5	7.75903606415	si_iii	1206.5	0.0	
0.5	7.79919672012	si_iii	1206.5	0.0	
0.5	7.8393573761	si_iii	1206.5	0.0	
0.5	7.87951803207	si_iii	1206.5	0.0	
0.5	7.91967868805	si_iii	1206.5	0.0	
0.5	7.95983934402	si_iii	1206.5	0.0	
0.5	8.0	si_iii	1206.5	0.0	
0.524608492851	-2.0	si_iii	1206.5	1.94554e-10	
0.524608492851	-1.95983934402	si_iii	1206.5	2.32082e-10	
0.524608492851	-1.91967868805	si_iii	1206.5	2.76703e-10	
0.524608492851	-1.87951803207	si_iii	1206.5	3.29667e-10	
0.524608492851	-1.8393573761	si_iii	1206.5	3.92394e-10	
0.524608492851	-1.79919683933	si_iii	1206.5	4.66484e-10	
0.524608492851	-1.75903618336	si_iii	1206.5	5.53704e-10	
0.524608492851	-1.71887552738	si_iii	1206.5	6.55957e-10	
0.524608492851	-1.67871487141	si_iii	1206.5	7.75223e-10	
0.524608492851	-1.63855421543	si_iii	1206.5	9.13463e-10	
0.524608492851	-1.59839355946	si_iii	1206.5	1.07246e-09	
0.524608492851	-1.55823290348	si_iii	1206.5	1.25359e-09	
0.524608492851	-1.51807224751	si_iii	1206.5	1.45753e-09	
0.524608492851	-1.47791159153	si_iii	1206.5	1.68387e-09	
0.524608492851	-1.43775105476	si_iii	1206.5	1.93063e-09	
0.524608492851	-1.39759039879	si_iii	1206.5	2.19385e-09	
0.524608492851	-1.35742974281	si_iii	1206.5	2.46712e-09	
0.524608492851	-1.31726908684	si_iii	1206.5	2.74142e-09	
0.524608492851	-1.27710843086	si_iii	1206.5	3.00524e-09	
0.524608492851	-1.23694777489	si_iii	1206.5	3.24513e-09	
0.524608492851	-1.19678711891	si_iii	1206.5	3.44685e-09	
0.524608492851	-1.15662646294	si_iii	1206.5	3.59685e-09	
0.524608492851	-1.11646580696	si_iii	1206.5	3.68399e-09	
0.524608492851	-1.0763052702	si_iii	1206.5	3.70107e-09	
0.524608492851	-1.03614461422	si_iii	1206.5	3.64578e-09	
0.524608492851	-0.995983958244	si_iii	1206.5	3.52108e-09	
0.524608492851	-0.955823302269	si_iii	1206.5	3.33464e-09	
0.524608492851	-0.915662646294	si_iii	1206.5	3.09782e-09	
0.524608492851	-0.875501990318	si_iii	1206.5	2.82428e-09	
0.524608492851	-0.835341393948	si_iii	1206.5	2.52849e-09	
0.524608492851	-0.795180737972	si_iii	1206.5	2.22441e-09	
0.524608492851	-0.755020081997	si_iii	1206.5	1.92447e-09	
0.524608492851	-0.714859426022	si_iii	1206.5	1.6388e-09	
0.524608492851	-0.674698770046	si_iii	1206.5	1.37492e-09	
0.524608492851	-0.634538173676	si_iii	1206.5	1.13764e-09	
0.524608492851	-0.5943775177	si_iii	1206.5	9.29351e-10	
0.524608492851	-0.554216861725	si_iii	1206.5	7.50379e-10	
0.524608492851	-0.51405620575	si_iii	1206.5	5.9949e-10	
0.524608492851	-0.473895579576	si_iii	1206.5	4.74398e-10	
0.524608492851	-0.433734953403	si_iii	1206.5	3.72216e-10	
0.524608492851	-0.393574297428	si_iii	1206.5	2.89823e-10	
0.524608492851	-0.353413641453	si_iii	1206.5	2.24134e-10	
0.524608492851	-0.31325301528	si_iii	1206.5	1.72278e-10	
0.524608492851	-0.273092359304	si_iii	1206.5	1.31692e-10	
0.524608492851	-0.232931733131	si_iii	1206.5	1.00164e-10	
0.524608492851	-0.192771077156	si_iii	1206.5	7.58351e-11	
0.524608492851	-0.152610436082	si_iii	1206.5	5.71703e-11	
0.524608492851	-0.112449802458	si_iii	1206.5	4.2926e-11	
0.524608492851	-0.0722891539335	si_iii	1206.5	3.21072e-11	
0.524608492851	-0.0321285128593	si_iii	1206.5	2.3926e-11	
0.524608492851	0.00803212821484	si_iii	1206.5	1.77648e-11	
0.524608492851	0.048192769289	si_iii	1206.5	1.3143e-11	
0.524608492851	0.0883534103632	si_iii	1206.5	9.68899e-12	
0.524608492851	0.128514051437	si_iii	1206.5	7.11729e-12	
0.524608492851	0.168674692512	si_iii	1206.5	5.20945e-12	
0.524608492851	0.208835348487	si_iii	1206.5	3.79926e-12	
0.524608492851	0.248995989561	si_iii	1206.5	2.76069e-12	
0.524608492851	0.289156615734	si_iii	1206.5	1.99863e-12	
0.524608492851	0.329317271709	si_iii	1206.5	1.44153e-12	
0.524608492851	0.369477897882	si_iii	1206.5	1.03579e-12	
0.524608492851	0.409638553858	si_iii	1206.5	7.41413e-13	
0.524608492851	0.449799209833	si_iii	1206.5	5.28658e-13	
0.524608492851	0.489959836006	si_iii	1206.5	3.75492e-13	
0.524608492851	0.530120491982	si_iii	1206.5	2.6566e-13	
0.524608492851	0.570281147957	si_iii	1206.5	1.87214e-13	
0.524608492851	0.610441744328	si_iii	1206.5	1.31411e-13	
0.524608492851	0.650602400303	si_iii	1206.5	9.18745e-14	
0.524608492851	0.690763056278	si_iii	1206.5	6.39771e-14	
0.524608492851	0.730923712254	si_iii	1206.5	4.43726e-14	
0.524608492851	0.771084308624	si_iii	1206.5	3.06523e-14	
0.524608492851	0.8112449646	si_iii	1206.5	2.10894e-14	
0.524608492851	0.851405620575	si_iii	1206.5	1.44516e-14	
0.524608492851	0.89156627655	si_iii	1206.5	9.86325e-15	
0.524608492851	0.931726932526	si_iii	1206.5	6.70458e-15	
0.524608492851	0.971887528896	si_iii	1206.5	4.53912e-15	
0.524608492851	1.01204824448	si_iii	1206.5	3.06068e-15	
0.524608492851	1.05220878124	si_iii	1206.5	2.05548e-15	
0.524608492851	1.09236943722	si_iii	1206.5	1.37485e-15	
0.524608492851	1.13253009319	si_iii	1206.5	9.15892e-16	
0.524608492851	1.17269074917	si_iii	1206.5	6.07688e-16	
0.524608492851	1.21285140514	si_iii	1206.5	4.01572e-16	
0.524608492851	1.25301206112	si_iii	1206.5	2.64297e-16	
0.524608492851	1.29317271709	si_iii	1206.5	1.73246e-16	
0.524608492851	1.33333337307	si_iii	1206.5	1.13103e-16	
0.524608492851	1.37349402905	si_iii	1206.5	7.3539e-17	
0.524608492851	1.41365456581	si_iii	1206.5	4.76199e-17	
0.524608492851	1.45381522179	si_iii	1206.5	3.07096e-17	
0.524608492851	1.49397587776	si_iii	1206.5	1.97224e-17	
0.524608492851	1.53413653374	si_iii	1206.5	1.26132e-17	
0.524608492851	1.57429718971	si_iii	1206.5	8.03241e-18	
0.524608492851	1.61445784569	si_iii	1206.5	5.0932e-18	
0.524608492851	1.65461850166	si_iii	1206.5	3.21526e-18	
0.524608492851	1.69477915764	si_iii	1206.5	2.0206e-18	
0.524608492851	1.73493981361	si_iii	1206.5	0.0	
0.524608492851	1.77510035038	si_iii	1206.5	0.0	
0.524608492851	1.81526100636	si_iii	1206.5	0.0	
0.524608492851	1.85542166233	si_iii	1206.5	0.0	
0.524608492851	1.89558231831	si_iii	1206.5	0.0	
0.524608492851	1.93574297428	si_iii	1206.5	0.0	
0.524608492851	1.97590363026	si_iii	1206.5	0.0	
0.524608492851	2.01606416702	si_iii	1206.5	0.0	
0.524608492851	2.056224823	si_iii	1206.5	0.0	
0.524608492851	2.09638547897	si_iii	1206.5	0.0	
0.524608492851	2.13654613495	si_iii	1206.5	0.0	
0.524608492851	2.17670679092	si_iii	1206.5	0.0	
0.524608492851	2.2168674469	si_iii	1206.5	0.0	
0.524608492851	2.25702810287	si_iii	1206.5	0.0	
0.524608492851	2.29718875885	si_iii	1206.5	0.0	
0.524608492851	2.33734941483	si_iii	1206.5	0.0	
0.524608492851	2.3775100708	si_iii	1206.5	0.0	
0.524608492851	2.41767072678	si_iii	1206.5	0.0	
0.524608492851	2.45783138275	si_iii	1206.5	0.0	
0.524608492851	2.49799203873	si_iii	1206.5	0.0	
0.524608492851	2.5381526947	si_iii	1206.5	0.0	
0.524608492851	2.57831335068	si_iii	1206.5	0.0	
0.524608492851	2.61847400665	si_iii	1206.5	0.0	
0.524608492851	2.65863442421	si_iii	1206.5	0.0	
0.524608492851	2.69879508018	si_iii	1206.5	0.0	
0.524608492851	2.73895573616	si_iii	1206.5	0.0	
0.524608492851	2.77911639214	si_iii	1206.5	0.0	
0.524608492851	2.81927704811	si_iii	1206.5	0.0	
0.524608492851	2.85943770409	si_iii	1206.5	0.0	
0.524608492851	2.89959836006	si_iii	1206.5	0.0	
