temperature	xi	mg_ii	wavelength	opacity
0.5	2.13654613495	mg_ii	2798.75	0.0	
0.5	2.17670679092	mg_ii	2798.75	0.0	
0.5	2.2168674469	mg_ii	2798.75	0.0	
0.5	2.25702810287	mg_ii	2798.75	0.0	
0.5	2.29718875885	mg_ii	2798.75	0.0	
0.5	2.33734941483	mg_ii	2798.75	0.0	
0.5	2.3775100708	mg_ii	2798.75	0.0	
0.5	2.41767072678	mg_ii	2798.75	0.0	
0.5	2.45783138275	mg_ii	2798.75	0.0	
0.5	2.49799203873	mg_ii	2798.75	0.0	
0.5	2.5381526947	mg_ii	2798.75	0.0	
0.5	2.57831335068	mg_ii	2798.75	0.0	
0.5	2.61847400665	mg_ii	2798.75	0.0	
0.5	2.65863442421	mg_ii	2798.75	0.0	
0.5	2.69879508018	mg_ii	2798.75	0.0	
0.5	2.73895573616	mg_ii	2798.75	0.0	
0.5	2.77911639214	mg_ii	2798.75	0.0	
0.5	2.81927704811	mg_ii	2798.75	0.0	
0.5	2.85943770409	mg_ii	2798.75	0.0	
0.5	2.89959836006	mg_ii	2798.75	0.0	
0.5	2.93975901604	mg_ii	2798.75	0.0	
0.5	2.97991967201	mg_ii	2798.75	0.0	
0.5	3.02008032799	mg_ii	2798.75	0.0	
0.5	3.06024098396	mg_ii	2798.75	0.0	
0.5	3.10040163994	mg_ii	2798.75	0.0	
0.5	3.14056229591	mg_ii	2798.75	0.0	
0.5	3.18072295189	mg_ii	2798.75	0.0	
0.5	3.22088360786	mg_ii	2798.75	0.0	
0.5	3.26104426384	mg_ii	2798.75	0.0	
0.5	3.30120491982	mg_ii	2798.75	0.0	
0.5	3.34136557579	mg_ii	2798.75	0.0	
0.5	3.38152599335	mg_ii	2798.75	0.0	
0.5	3.42168664932	mg_ii	2798.75	0.0	
0.5	3.4618473053	mg_ii	2798.75	0.0	
0.5	3.50200796127	mg_ii	2798.75	0.0	
0.5	3.54216861725	mg_ii	2798.75	0.0	
0.5	3.58232927322	mg_ii	2798.75	0.0	
0.5	3.6224899292	mg_ii	2798.75	0.0	
0.5	3.66265058517	mg_ii	2798.75	0.0	
0.5	3.70281124115	mg_ii	2798.75	0.0	
0.5	3.74297189713	mg_ii	2798.75	0.0	
0.5	3.7831325531	mg_ii	2798.75	0.0	
0.5	3.82329320908	mg_ii	2798.75	0.0	
0.5	3.86345386505	mg_ii	2798.75	0.0	
0.5	3.90361452103	mg_ii	2798.75	0.0	
0.5	3.943775177	mg_ii	2798.75	0.0	
0.5	3.98393583298	mg_ii	2798.75	0.0	
0.5	4.02409648895	mg_ii	2798.75	0.0	
0.5	4.06425714493	mg_ii	2798.75	0.0	
0.5	4.1044178009	mg_ii	2798.75	0.0	
0.5	4.14457845688	mg_ii	2798.75	0.0	
0.5	4.18473911285	mg_ii	2798.75	0.0	
0.5	4.22489976883	mg_ii	2798.75	0.0	
0.5	4.2650604248	mg_ii	2798.75	0.0	
0.5	4.30522108078	mg_ii	2798.75	0.0	
0.5	4.34538173676	mg_ii	2798.75	0.0	
0.5	4.38554239273	mg_ii	2798.75	0.0	
0.5	4.42570304871	mg_ii	2798.75	0.0	
0.5	4.46586322784	mg_ii	2798.75	0.0	
0.5	4.50602388382	mg_ii	2798.75	0.0	
0.5	4.54618453979	mg_ii	2798.75	0.0	
0.5	4.58634519577	mg_ii	2798.75	0.0	
0.5	4.62650585175	mg_ii	2798.75	0.0	
0.5	4.66666650772	mg_ii	2798.75	0.0	
0.5	4.7068271637	mg_ii	2798.75	0.0	
0.5	4.74698781967	mg_ii	2798.75	0.0	
0.5	4.78714847565	mg_ii	2798.75	0.0	
0.5	4.82730913162	mg_ii	2798.75	0.0	
0.5	4.8674697876	mg_ii	2798.75	0.0	
0.5	4.90763044357	mg_ii	2798.75	0.0	
0.5	4.94779109955	mg_ii	2798.75	0.0	
0.5	4.98795175552	mg_ii	2798.75	0.0	
0.5	5.0281124115	mg_ii	2798.75	0.0	
0.5	5.06827306747	mg_ii	2798.75	0.0	
0.5	5.10843372345	mg_ii	2798.75	0.0	
0.5	5.14859437943	mg_ii	2798.75	0.0	
0.5	5.1887550354	mg_ii	2798.75	0.0	
0.5	5.22891569138	mg_ii	2798.75	0.0	
0.5	5.26907634735	mg_ii	2798.75	0.0	
0.5	5.30923700333	mg_ii	2798.75	0.0	
0.5	5.3493976593	mg_ii	2798.75	0.0	
0.5	5.38955831528	mg_ii	2798.75	0.0	
0.5	5.42971897125	mg_ii	2798.75	0.0	
0.5	5.46987962723	mg_ii	2798.75	0.0	
0.5	5.5100402832	mg_ii	2798.75	0.0	
0.5	5.55020093918	mg_ii	2798.75	0.0	
0.5	5.59036159515	mg_ii	2798.75	0.0	
0.5	5.63052225113	mg_ii	2798.75	0.0	
0.5	5.6706829071	mg_ii	2798.75	0.0	
0.5	5.71084356308	mg_ii	2798.75	0.0	
0.5	5.75100421906	mg_ii	2798.75	0.0	
0.5	5.79116487503	mg_ii	2798.75	0.0	
0.5	5.83132553101	mg_ii	2798.75	0.0	
0.5	5.87148571014	mg_ii	2798.75	0.0	
0.5	5.91164636612	mg_ii	2798.75	0.0	
0.5	5.95180702209	mg_ii	2798.75	0.0	
0.5	5.99196767807	mg_ii	2798.75	0.0	
0.5	6.03212833405	mg_ii	2798.75	0.0	
0.5	6.07228899002	mg_ii	2798.75	0.0	
0.5	6.112449646	mg_ii	2798.75	0.0	
0.5	6.15261030197	mg_ii	2798.75	0.0	
0.5	6.19277095795	mg_ii	2798.75	0.0	
0.5	6.23293161392	mg_ii	2798.75	0.0	
0.5	6.2730922699	mg_ii	2798.75	0.0	
0.5	6.31325292587	mg_ii	2798.75	0.0	
0.5	6.35341358185	mg_ii	2798.75	0.0	
0.5	6.39357423782	mg_ii	2798.75	0.0	
0.5	6.4337348938	mg_ii	2798.75	0.0	
0.5	6.47389554977	mg_ii	2798.75	0.0	
0.5	6.51405620575	mg_ii	2798.75	0.0	
0.5	6.55421686172	mg_ii	2798.75	0.0	
0.5	6.5943775177	mg_ii	2798.75	0.0	
0.5	6.63453817368	mg_ii	2798.75	0.0	
0.5	6.67469882965	mg_ii	2798.75	0.0	
0.5	6.71485948563	mg_ii	2798.75	0.0	
0.5	6.7550201416	mg_ii	2798.75	0.0	
0.5	6.79518079758	mg_ii	2798.75	0.0	
0.5	6.83534145355	mg_ii	2798.75	0.0	
0.5	6.87550210953	mg_ii	2798.75	0.0	
0.5	6.9156627655	mg_ii	2798.75	0.0	
0.5	6.95582342148	mg_ii	2798.75	0.0	
0.5	6.99598407745	mg_ii	2798.75	0.0	
0.5	7.03614473343	mg_ii	2798.75	0.0	
0.5	7.0763053894	mg_ii	2798.75	0.0	
0.5	7.11646604538	mg_ii	2798.75	0.0	
0.5	7.15662670135	mg_ii	2798.75	0.0	
0.5	7.19678735733	mg_ii	2798.75	0.0	
0.5	7.23694801331	mg_ii	2798.75	0.0	
0.5	7.27710866928	mg_ii	2798.75	0.0	
0.5	7.31726884842	mg_ii	2798.75	0.0	
0.5	7.35742950439	mg_ii	2798.75	0.0	
0.5	7.39759016037	mg_ii	2798.75	0.0	
0.5	7.43775081635	mg_ii	2798.75	0.0	
0.5	7.47791147232	mg_ii	2798.75	0.0	
0.5	7.5180721283	mg_ii	2798.75	0.0	
0.5	7.55823278427	mg_ii	2798.75	0.0	
0.5	7.59839344025	mg_ii	2798.75	0.0	
0.5	7.63855409622	mg_ii	2798.75	0.0	
0.5	7.6787147522	mg_ii	2798.75	0.0	
0.5	7.71887540817	mg_ii	2798.75	0.0	
0.5	7.75903606415	mg_ii	2798.75	0.0	
0.5	7.79919672012	mg_ii	2798.75	0.0	
0.5	7.8393573761	mg_ii	2798.75	0.0	
0.5	7.87951803207	mg_ii	2798.75	0.0	
0.5	7.91967868805	mg_ii	2798.75	0.0	
0.5	7.95983934402	mg_ii	2798.75	0.0	
0.5	8.0	mg_ii	2798.75	0.0	
0.524608492851	-2.0	mg_ii	2798.75	2.05126e-20	
0.524608492851	-1.95983934402	mg_ii	2798.75	1.93195e-20	
0.524608492851	-1.91967868805	mg_ii	2798.75	1.81423e-20	
0.524608492851	-1.87951803207	mg_ii	2798.75	1.69891e-20	
0.524608492851	-1.8393573761	mg_ii	2798.75	1.58663e-20	
0.524608492851	-1.79919683933	mg_ii	2798.75	1.47792e-20	
0.524608492851	-1.75903618336	mg_ii	2798.75	1.37317e-20	
0.524608492851	-1.71887552738	mg_ii	2798.75	1.27266e-20	
0.524608492851	-1.67871487141	mg_ii	2798.75	1.17659e-20	
0.524608492851	-1.63855421543	mg_ii	2798.75	1.08506e-20	
0.524608492851	-1.59839355946	mg_ii	2798.75	9.98091e-21	
