temperature	xi	s_iv	wavelength	opacity
0.5	2.17670679092	s_iv	1062.66	0.0	
0.5	2.2168674469	s_iv	1062.66	0.0	
0.5	2.25702810287	s_iv	1062.66	0.0	
0.5	2.29718875885	s_iv	1062.66	0.0	
0.5	2.33734941483	s_iv	1062.66	0.0	
0.5	2.3775100708	s_iv	1062.66	0.0	
0.5	2.41767072678	s_iv	1062.66	0.0	
0.5	2.45783138275	s_iv	1062.66	0.0	
0.5	2.49799203873	s_iv	1062.66	0.0	
0.5	2.5381526947	s_iv	1062.66	0.0	
0.5	2.57831335068	s_iv	1062.66	0.0	
0.5	2.61847400665	s_iv	1062.66	0.0	
0.5	2.65863442421	s_iv	1062.66	0.0	
0.5	2.69879508018	s_iv	1062.66	0.0	
0.5	2.73895573616	s_iv	1062.66	0.0	
0.5	2.77911639214	s_iv	1062.66	0.0	
0.5	2.81927704811	s_iv	1062.66	0.0	
0.5	2.85943770409	s_iv	1062.66	0.0	
0.5	2.89959836006	s_iv	1062.66	0.0	
0.5	2.93975901604	s_iv	1062.66	0.0	
0.5	2.97991967201	s_iv	1062.66	0.0	
0.5	3.02008032799	s_iv	1062.66	0.0	
0.5	3.06024098396	s_iv	1062.66	0.0	
0.5	3.10040163994	s_iv	1062.66	0.0	
0.5	3.14056229591	s_iv	1062.66	0.0	
0.5	3.18072295189	s_iv	1062.66	0.0	
0.5	3.22088360786	s_iv	1062.66	0.0	
0.5	3.26104426384	s_iv	1062.66	0.0	
0.5	3.30120491982	s_iv	1062.66	0.0	
0.5	3.34136557579	s_iv	1062.66	0.0	
0.5	3.38152599335	s_iv	1062.66	0.0	
0.5	3.42168664932	s_iv	1062.66	0.0	
0.5	3.4618473053	s_iv	1062.66	0.0	
0.5	3.50200796127	s_iv	1062.66	0.0	
0.5	3.54216861725	s_iv	1062.66	0.0	
0.5	3.58232927322	s_iv	1062.66	0.0	
0.5	3.6224899292	s_iv	1062.66	0.0	
0.5	3.66265058517	s_iv	1062.66	0.0	
0.5	3.70281124115	s_iv	1062.66	0.0	
0.5	3.74297189713	s_iv	1062.66	0.0	
0.5	3.7831325531	s_iv	1062.66	0.0	
0.5	3.82329320908	s_iv	1062.66	0.0	
0.5	3.86345386505	s_iv	1062.66	0.0	
0.5	3.90361452103	s_iv	1062.66	0.0	
0.5	3.943775177	s_iv	1062.66	0.0	
0.5	3.98393583298	s_iv	1062.66	0.0	
0.5	4.02409648895	s_iv	1062.66	0.0	
0.5	4.06425714493	s_iv	1062.66	0.0	
0.5	4.1044178009	s_iv	1062.66	0.0	
0.5	4.14457845688	s_iv	1062.66	0.0	
0.5	4.18473911285	s_iv	1062.66	0.0	
0.5	4.22489976883	s_iv	1062.66	0.0	
0.5	4.2650604248	s_iv	1062.66	0.0	
0.5	4.30522108078	s_iv	1062.66	0.0	
0.5	4.34538173676	s_iv	1062.66	0.0	
0.5	4.38554239273	s_iv	1062.66	0.0	
0.5	4.42570304871	s_iv	1062.66	0.0	
0.5	4.46586322784	s_iv	1062.66	0.0	
0.5	4.50602388382	s_iv	1062.66	0.0	
0.5	4.54618453979	s_iv	1062.66	0.0	
0.5	4.58634519577	s_iv	1062.66	0.0	
0.5	4.62650585175	s_iv	1062.66	0.0	
0.5	4.66666650772	s_iv	1062.66	0.0	
0.5	4.7068271637	s_iv	1062.66	0.0	
0.5	4.74698781967	s_iv	1062.66	0.0	
0.5	4.78714847565	s_iv	1062.66	0.0	
0.5	4.82730913162	s_iv	1062.66	0.0	
0.5	4.8674697876	s_iv	1062.66	0.0	
0.5	4.90763044357	s_iv	1062.66	0.0	
0.5	4.94779109955	s_iv	1062.66	0.0	
0.5	4.98795175552	s_iv	1062.66	0.0	
0.5	5.0281124115	s_iv	1062.66	0.0	
0.5	5.06827306747	s_iv	1062.66	0.0	
0.5	5.10843372345	s_iv	1062.66	0.0	
0.5	5.14859437943	s_iv	1062.66	0.0	
0.5	5.1887550354	s_iv	1062.66	0.0	
0.5	5.22891569138	s_iv	1062.66	0.0	
0.5	5.26907634735	s_iv	1062.66	0.0	
0.5	5.30923700333	s_iv	1062.66	0.0	
0.5	5.3493976593	s_iv	1062.66	0.0	
0.5	5.38955831528	s_iv	1062.66	0.0	
0.5	5.42971897125	s_iv	1062.66	0.0	
0.5	5.46987962723	s_iv	1062.66	0.0	
0.5	5.5100402832	s_iv	1062.66	0.0	
0.5	5.55020093918	s_iv	1062.66	0.0	
0.5	5.59036159515	s_iv	1062.66	0.0	
0.5	5.63052225113	s_iv	1062.66	0.0	
0.5	5.6706829071	s_iv	1062.66	0.0	
0.5	5.71084356308	s_iv	1062.66	0.0	
0.5	5.75100421906	s_iv	1062.66	0.0	
0.5	5.79116487503	s_iv	1062.66	0.0	
0.5	5.83132553101	s_iv	1062.66	0.0	
0.5	5.87148571014	s_iv	1062.66	0.0	
0.5	5.91164636612	s_iv	1062.66	0.0	
0.5	5.95180702209	s_iv	1062.66	0.0	
0.5	5.99196767807	s_iv	1062.66	0.0	
0.5	6.03212833405	s_iv	1062.66	0.0	
0.5	6.07228899002	s_iv	1062.66	0.0	
0.5	6.112449646	s_iv	1062.66	0.0	
0.5	6.15261030197	s_iv	1062.66	0.0	
0.5	6.19277095795	s_iv	1062.66	0.0	
0.5	6.23293161392	s_iv	1062.66	0.0	
0.5	6.2730922699	s_iv	1062.66	0.0	
0.5	6.31325292587	s_iv	1062.66	0.0	
0.5	6.35341358185	s_iv	1062.66	0.0	
0.5	6.39357423782	s_iv	1062.66	0.0	
0.5	6.4337348938	s_iv	1062.66	0.0	
0.5	6.47389554977	s_iv	1062.66	0.0	
0.5	6.51405620575	s_iv	1062.66	0.0	
0.5	6.55421686172	s_iv	1062.66	0.0	
0.5	6.5943775177	s_iv	1062.66	0.0	
0.5	6.63453817368	s_iv	1062.66	0.0	
0.5	6.67469882965	s_iv	1062.66	0.0	
0.5	6.71485948563	s_iv	1062.66	0.0	
0.5	6.7550201416	s_iv	1062.66	0.0	
0.5	6.79518079758	s_iv	1062.66	0.0	
0.5	6.83534145355	s_iv	1062.66	0.0	
0.5	6.87550210953	s_iv	1062.66	0.0	
0.5	6.9156627655	s_iv	1062.66	0.0	
0.5	6.95582342148	s_iv	1062.66	0.0	
0.5	6.99598407745	s_iv	1062.66	0.0	
0.5	7.03614473343	s_iv	1062.66	0.0	
0.5	7.0763053894	s_iv	1062.66	0.0	
0.5	7.11646604538	s_iv	1062.66	0.0	
0.5	7.15662670135	s_iv	1062.66	0.0	
0.5	7.19678735733	s_iv	1062.66	0.0	
0.5	7.23694801331	s_iv	1062.66	0.0	
0.5	7.27710866928	s_iv	1062.66	0.0	
0.5	7.31726884842	s_iv	1062.66	0.0	
0.5	7.35742950439	s_iv	1062.66	0.0	
0.5	7.39759016037	s_iv	1062.66	0.0	
0.5	7.43775081635	s_iv	1062.66	0.0	
0.5	7.47791147232	s_iv	1062.66	0.0	
0.5	7.5180721283	s_iv	1062.66	0.0	
0.5	7.55823278427	s_iv	1062.66	0.0	
0.5	7.59839344025	s_iv	1062.66	0.0	
0.5	7.63855409622	s_iv	1062.66	0.0	
0.5	7.6787147522	s_iv	1062.66	0.0	
0.5	7.71887540817	s_iv	1062.66	0.0	
0.5	7.75903606415	s_iv	1062.66	0.0	
0.5	7.79919672012	s_iv	1062.66	0.0	
0.5	7.8393573761	s_iv	1062.66	0.0	
0.5	7.87951803207	s_iv	1062.66	0.0	
0.5	7.91967868805	s_iv	1062.66	0.0	
0.5	7.95983934402	s_iv	1062.66	0.0	
0.5	8.0	s_iv	1062.66	0.0	
0.524608492851	-2.0	s_iv	1062.66	5.94079e-11	
0.524608492851	-1.95983934402	s_iv	1062.66	6.29923e-11	
0.524608492851	-1.91967868805	s_iv	1062.66	6.65529e-11	
0.524608492851	-1.87951803207	s_iv	1062.66	7.00692e-11	
0.524608492851	-1.8393573761	s_iv	1062.66	7.3519e-11	
0.524608492851	-1.79919683933	s_iv	1062.66	7.6881e-11	
0.524608492851	-1.75903618336	s_iv	1062.66	8.01344e-11	
0.524608492851	-1.71887552738	s_iv	1062.66	8.32591e-11	
0.524608492851	-1.67871487141	s_iv	1062.66	8.6235e-11	
0.524608492851	-1.63855421543	s_iv	1062.66	8.90425e-11	
0.524608492851	-1.59839355946	s_iv	1062.66	9.16621e-11	
0.524608492851	-1.55823290348	s_iv	1062.66	9.40744e-11	
0.524608492851	-1.51807224751	s_iv	1062.66	9.62592e-11	
0.524608492851	-1.47791159153	s_iv	1062.66	9.81966e-11	
0.524608492851	-1.43775105476	s_iv	1062.66	9.98656e-11	
0.524608492851	-1.39759039879	s_iv	1062.66	1.01244e-10	
0.524608492851	-1.35742974281	s_iv	1062.66	1.0231e-10	
0.524608492851	-1.31726908684	s_iv	1062.66	1.03041e-10	
0.524608492851	-1.27710843086	s_iv	1062.66	1.03411e-10	
0.524608492851	-1.23694777489	s_iv	1062.66	1.03399e-10	
0.524608492851	-1.19678711891	s_iv	1062.66	1.02982e-10	
0.524608492851	-1.15662646294	s_iv	1062.66	1.02137e-10	
0.524608492851	-1.11646580696	s_iv	1062.66	1.00848e-10	
0.524608492851	-1.0763052702	s_iv	1062.66	9.91009e-11	
0.524608492851	-1.03614461422	s_iv	1062.66	9.68862e-11	
0.524608492851	-0.995983958244	s_iv	1062.66	9.42027e-11	
0.524608492851	-0.955823302269	s_iv	1062.66	9.10591e-11	
0.524608492851	-0.915662646294	s_iv	1062.66	8.7471e-11	
0.524608492851	-0.875501990318	s_iv	1062.66	8.34671e-11	
0.524608492851	-0.835341393948	s_iv	1062.66	7.90849e-11	
0.524608492851	-0.795180737972	s_iv	1062.66	7.43748e-11	
0.524608492851	-0.755020081997	s_iv	1062.66	6.93957e-11	
0.524608492851	-0.714859426022	s_iv	1062.66	6.42159e-11	
0.524608492851	-0.674698770046	s_iv	1062.66	5.89103e-11	
