# Athena++ data at time=1.320000e+12  cycle=99166280  variables=uov 
# i       x1v         user_out_var0          user_out_var1          user_out_var2          user_out_var3          user_out_var4          user_out_var5      
0002  1.07548e+18  4.91743e+00  3.03478e+04  7.01287e-16  0.00000e+00  0.00000e+00  3.39500e-05
0003  1.09287e+18  1.06869e+01  4.07527e+04  5.58936e-17  0.00000e+00  0.00000e+00  3.28781e-05
0004  1.11027e+18  1.63782e+01  5.08092e+04  2.95316e-17  0.00000e+00  0.00000e+00  3.18561e-05
0005  1.12766e+18  2.43538e+01  6.52318e+04  5.04333e-17  0.00000e+00  0.00000e+00  3.08811e-05
0006  1.14505e+18  3.71190e+01  9.05346e+04  8.12026e-17  0.00000e+00  0.00000e+00  2.99501e-05
0007  1.16244e+18  5.43878e+01  1.25238e+05  5.60016e-17  0.00000e+00  0.00000e+00  2.90606e-05
0008  1.17983e+18  6.05288e+01  1.33925e+05  3.10741e-18  0.00000e+00  0.00000e+00  2.82102e-05
0009  1.19723e+18  6.44319e+01  1.39083e+05 -5.61750e-18  0.00000e+00  0.00000e+00  2.73965e-05
0010  1.21462e+18  6.72201e+01  1.42718e+05 -1.41166e-17  0.00000e+00  0.00000e+00  2.66176e-05
0011  1.23201e+18  6.89162e+01  1.44739e+05 -1.09951e-17  0.00000e+00  0.00000e+00  2.58714e-05
0012  1.24940e+18  7.08346e+01  1.47178e+05  1.85482e-18  0.00000e+00  0.00000e+00  2.51561e-05
0013  1.26679e+18  7.24915e+01  1.48507e+05  2.66576e-18  0.00000e+00  0.00000e+00  2.44701e-05
0014  1.28419e+18  7.44031e+01  1.50050e+05  4.51907e-18  0.00000e+00  0.00000e+00  2.38118e-05
0015  1.30158e+18  7.65661e+01  1.51812e+05  5.92714e-18  0.00000e+00  0.00000e+00  2.31797e-05
0016  1.31897e+18  7.88888e+01  1.53722e+05  6.46996e-18  0.00000e+00  0.00000e+00  2.25724e-05
0017  1.33636e+18  8.12581e+01  1.55691e+05  6.35568e-18  0.00000e+00  0.00000e+00  2.19887e-05
0018  1.35375e+18  8.35747e+01  1.57638e+05  6.11353e-18  0.00000e+00  0.00000e+00  2.14273e-05
0019  1.37115e+18  8.57441e+01  1.59405e+05  5.61046e-18  0.00000e+00  0.00000e+00  2.08872e-05
0020  1.38854e+18  8.76668e+01  1.60853e+05  5.41202e-18  0.00000e+00  0.00000e+00  2.03672e-05
0021  1.40593e+18  8.94862e+01  1.62244e+05  5.63654e-18  0.00000e+00  0.00000e+00  1.98665e-05
0022  1.42332e+18  9.12373e+01  1.63604e+05  5.81309e-18  0.00000e+00  0.00000e+00  1.93839e-05
0023  1.44071e+18  9.29345e+01  1.64942e+05  5.87245e-18  0.00000e+00  0.00000e+00  1.89187e-05
0024  1.45811e+18  9.46035e+01  1.66278e+05  5.77180e-18  0.00000e+00  0.00000e+00  1.84701e-05
0025  1.47550e+18  9.62107e+01  1.67584e+05  5.13872e-18  0.00000e+00  0.00000e+00  1.80373e-05
0026  1.49289e+18  9.73027e+01  1.67935e+05 -6.78282e-17  0.00000e+00  0.00000e+00  1.76194e-05
0027  1.51028e+18  9.85218e+01  1.68826e+05  3.95851e-18  0.00000e+00  0.00000e+00  1.72160e-05
0028  1.52767e+18  9.97345e+01  1.69865e+05  3.33970e-18  0.00000e+00  0.00000e+00  1.68262e-05
0029  1.54507e+18  1.00680e+02  1.70689e+05  6.20672e-18  0.00000e+00  0.00000e+00  1.64495e-05
0030  1.56246e+18  2.61614e+02  4.64137e+05  5.20789e-16  0.00000e+00  0.00000e+00  1.60854e-05
0031  1.57985e+18  5.60924e+02  8.30464e+05  2.75403e-16  0.00000e+00  0.00000e+00  1.57331e-05
0032  1.59724e+18  7.62842e+02  1.08106e+06  1.64220e-16  0.00000e+00  0.00000e+00  1.53924e-05
0033  1.61463e+18  9.05232e+02  1.25239e+06  1.31963e-16  0.00000e+00  0.00000e+00  1.50626e-05
0034  1.63203e+18  1.02627e+03  1.39122e+06  1.19310e-16  0.00000e+00  0.00000e+00  1.47432e-05
0035  1.64942e+18  1.13972e+03  1.51473e+06  1.10904e-16  0.00000e+00  0.00000e+00  1.44340e-05
0036  1.66681e+18  1.24821e+03  1.62642e+06  1.02563e-16  0.00000e+00  0.00000e+00  1.41343e-05
0037  1.68420e+18  1.35386e+03  1.73086e+06  9.66680e-17  0.00000e+00  0.00000e+00  1.38439e-05
