# Athena++ data at time=1.780000e+12  cycle=133724226  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.07548e+18  2.40946e-18  1.00596e-05 -4.87797e+05  1.38461e-09  0.00000e+00
0003  1.09287e+18  1.09534e-18  6.07678e-06  1.36806e+05  1.42957e-02  0.00000e+00
0004  1.11027e+18  6.92392e-19  4.79134e-06  1.27007e+05  3.32422e-02  0.00000e+00
0005  1.12766e+18  4.60713e-19  4.02176e-06  1.50731e+05  5.24059e-02  0.00000e+00
0006  1.14505e+18  3.08334e-19  3.54819e-06  1.84013e+05  7.00486e-02  0.00000e+00
0007  1.16244e+18  1.96396e-19  3.26236e-06  2.62910e+05  8.60011e-02  0.00000e+00
0008  1.17983e+18  1.68722e-19  3.04016e-06  3.10312e+05  9.95102e-02  0.00000e+00
0009  1.19723e+18  1.52176e-19  2.86758e-06  3.35726e+05  1.11356e-01  0.00000e+00
0010  1.21462e+18  1.37923e-19  2.71109e-06  3.74707e+05  1.22154e-01  0.00000e+00
0011  1.23201e+18  1.26631e-19  2.57045e-06  4.16262e+05  1.32207e-01  0.00000e+00
0012  1.24940e+18  1.18740e-19  2.44496e-06  4.50166e+05  1.41688e-01  0.00000e+00
0013  1.26679e+18  1.11722e-19  2.33173e-06  4.78504e+05  1.50845e-01  0.00000e+00
0014  1.28419e+18  1.05213e-19  2.22618e-06  5.05354e+05  1.59941e-01  0.00000e+00
0015  1.30158e+18  9.92723e-20  2.12894e-06  5.29604e+05  1.69235e-01  0.00000e+00
0016  1.31897e+18  9.38749e-20  2.03958e-06  5.52472e+05  1.78895e-01  0.00000e+00
0017  1.33636e+18  8.90697e-20  1.95708e-06  5.74017e+05  1.88923e-01  0.00000e+00
0018  1.35375e+18  8.47848e-20  1.88095e-06  5.94617e+05  1.99106e-01  0.00000e+00
0019  1.37115e+18  8.08366e-20  1.81025e-06  6.15800e+05  2.09028e-01  0.00000e+00
0020  1.38854e+18  7.71739e-20  1.74424e-06  6.37791e+05  2.18217e-01  0.00000e+00
0021  1.40593e+18  7.37719e-20  1.68251e-06  6.59846e+05  2.26354e-01  0.00000e+00
0022  1.42332e+18  7.06365e-20  1.62505e-06  6.81625e+05  2.33393e-01  0.00000e+00
0023  1.44071e+18  6.79736e-20  1.57043e-06  6.98467e+05  2.39529e-01  0.00000e+00
0024  1.45811e+18  6.55053e-20  1.52054e-06  7.12881e+05  2.45043e-01  0.00000e+00
0025  1.47550e+18  6.29246e-20  1.47276e-06  7.32043e+05  2.50210e-01  0.00000e+00
0026  1.49289e+18  6.04613e-20  1.42747e-06  7.52577e+05  2.55269e-01  0.00000e+00
0027  1.51028e+18  5.84137e-20  1.38440e-06  7.68307e+05  2.60393e-01  0.00000e+00
0028  1.52767e+18  5.65350e-20  1.34599e-06  7.80374e+05  2.65713e-01  0.00000e+00
0029  1.54507e+18  5.48842e-20  1.31097e-06  7.56401e+05  2.71111e-01  0.00000e+00
0030  1.56246e+18  1.91854e-20  1.34861e-06  1.94650e+06  2.77469e-01  0.00000e+00
0031  1.57985e+18  8.89361e-21  1.08095e-06  5.14454e+06  2.82358e-01  0.00000e+00
0032  1.59724e+18  6.55990e-21  1.02122e-06  6.50620e+06  2.86635e-01  0.00000e+00
0033  1.61463e+18  5.45019e-21  9.76080e-07  7.55105e+06  2.90569e-01  0.00000e+00
0034  1.63203e+18  4.71777e-21  9.35535e-07  8.49990e+06  2.94245e-01  0.00000e+00
0035  1.64942e+18  4.16962e-21  8.96968e-07  9.40837e+06  2.97691e-01  0.00000e+00
0036  1.66681e+18  3.73415e-21  8.60889e-07  1.02848e+07  3.00927e-01  0.00000e+00
0037  1.68420e+18  3.37645e-21  8.26227e-07  1.11436e+07  3.03963e-01  0.00000e+00
0038  1.70160e+18  3.07824e-21  7.93393e-07  1.19777e+07  3.06811e-01  0.00000e+00
