# Athena++ data at time=5.050000e+12  cycle=379386143  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.07548e+18  2.40946e-18  1.00596e-05 -4.91982e+05  1.38461e-09  0.00000e+00
0003  1.09287e+18  1.08457e-18  6.04815e-06  1.40429e+05  1.95465e-02  0.00000e+00
0004  1.11027e+18  6.83077e-19  4.75889e-06  1.43235e+05  4.27988e-02  0.00000e+00
0005  1.12766e+18  4.42491e-19  3.97122e-06  1.96161e+05  6.35802e-02  0.00000e+00
0006  1.14505e+18  2.80442e-19  3.50455e-06  2.91352e+05  8.17483e-02  0.00000e+00
0007  1.16244e+18  1.86242e-19  3.21141e-06  4.13196e+05  9.81042e-02  0.00000e+00
0008  1.17983e+18  1.60927e-19  2.98408e-06  4.71988e+05  1.13135e-01  0.00000e+00
0009  1.19723e+18  1.44387e-19  2.80897e-06  5.00298e+05  1.27190e-01  0.00000e+00
0010  1.21462e+18  1.30792e-19  2.65092e-06  5.35700e+05  1.40397e-01  0.00000e+00
0011  1.23201e+18  1.21682e-19  2.50912e-06  5.60737e+05  1.52839e-01  0.00000e+00
0012  1.24940e+18  1.13726e-19  2.38329e-06  5.81303e+05  1.64591e-01  0.00000e+00
0013  1.26679e+18  1.06462e-19  2.26758e-06  6.03850e+05  1.75696e-01  0.00000e+00
0014  1.28419e+18  9.99172e-20  2.16220e-06  6.25643e+05  1.86202e-01  0.00000e+00
0015  1.30158e+18  9.40953e-20  2.06572e-06  6.46375e+05  1.96152e-01  0.00000e+00
0016  1.31897e+18  8.89733e-20  1.97704e-06  6.65371e+05  2.05592e-01  0.00000e+00
0017  1.33636e+18  8.42966e-20  1.89549e-06  6.83475e+05  2.14566e-01  0.00000e+00
0018  1.35375e+18  7.99958e-20  1.82004e-06  7.01271e+05  2.23114e-01  0.00000e+00
0019  1.37115e+18  7.60551e-20  1.75036e-06  7.18342e+05  2.31281e-01  0.00000e+00
0020  1.38854e+18  7.29106e-20  1.68483e-06  7.31265e+05  2.39096e-01  0.00000e+00
0021  1.40593e+18  6.95694e-20  1.62514e-06  7.45198e+05  2.46600e-01  0.00000e+00
0022  1.42332e+18  6.63306e-20  1.56844e-06  7.62554e+05  2.53820e-01  0.00000e+00
0023  1.44071e+18  6.37196e-20  1.51534e-06  7.75127e+05  2.60776e-01  0.00000e+00
0024  1.45811e+18  6.11748e-20  1.46649e-06  7.86548e+05  2.67496e-01  0.00000e+00
0025  1.47550e+18  5.87466e-20  1.42008e-06  7.99550e+05  2.73991e-01  0.00000e+00
0026  1.49289e+18  5.64942e-20  1.37674e-06  8.11342e+05  2.80281e-01  0.00000e+00
0027  1.51028e+18  5.44061e-20  1.33621e-06  8.21770e+05  2.86362e-01  0.00000e+00
0028  1.52767e+18  5.25280e-20  1.29888e-06  8.28989e+05  2.92308e-01  0.00000e+00
