# Athena++ data at time=7.030000e+12  cycle=528135559  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.07548e+18  2.40946e-18  1.00596e-05 -4.92647e+05  1.38461e-09  0.00000e+00
0003  1.09287e+18  1.08526e-18  6.04997e-06  1.38759e+05  1.95158e-02  0.00000e+00
0004  1.11027e+18  6.83577e-19  4.76047e-06  1.40661e+05  4.26839e-02  0.00000e+00
0005  1.12766e+18  4.42665e-19  3.97182e-06  1.92564e+05  6.34564e-02  0.00000e+00
0006  1.14505e+18  2.80676e-19  3.50512e-06  2.85930e+05  8.16668e-02  0.00000e+00
0007  1.16244e+18  1.86359e-19  3.21215e-06  4.05885e+05  9.80861e-02  0.00000e+00
0008  1.17983e+18  1.61062e-19  2.98508e-06  4.63652e+05  1.13141e-01  0.00000e+00
0009  1.19723e+18  1.44510e-19  2.80991e-06  4.91674e+05  1.27170e-01  0.00000e+00
0010  1.21462e+18  1.30868e-19  2.65187e-06  5.26847e+05  1.40318e-01  0.00000e+00
0011  1.23201e+18  1.21759e-19  2.51007e-06  5.51719e+05  1.52680e-01  0.00000e+00
0012  1.24940e+18  1.13805e-19  2.38425e-06  5.72192e+05  1.64348e-01  0.00000e+00
0013  1.26679e+18  1.06540e-19  2.26852e-06  5.94710e+05  1.75385e-01  0.00000e+00
0014  1.28419e+18  9.99942e-20  2.16312e-06  6.16540e+05  1.85849e-01  0.00000e+00
0015  1.30158e+18  9.41639e-20  2.06662e-06  6.37403e+05  1.95789e-01  0.00000e+00
0016  1.31897e+18  8.90401e-20  1.97791e-06  6.56570e+05  2.05251e-01  0.00000e+00
0017  1.33636e+18  8.43616e-20  1.89632e-06  6.74886e+05  2.14275e-01  0.00000e+00
0018  1.35375e+18  8.00580e-20  1.82082e-06  6.92974e+05  2.22894e-01  0.00000e+00
0019  1.37115e+18  7.61134e-20  1.75108e-06  7.10410e+05  2.31142e-01  0.00000e+00
0020  1.38854e+18  7.29548e-20  1.68551e-06  7.23852e+05  2.39038e-01  0.00000e+00
0021  1.40593e+18  6.96197e-20  1.62571e-06  7.38241e+05  2.46616e-01  0.00000e+00
0022  1.42332e+18  6.63803e-20  1.56897e-06  7.56063e+05  2.53893e-01  0.00000e+00
0023  1.44071e+18  6.37564e-20  1.51580e-06  7.69344e+05  2.60884e-01  0.00000e+00
0024  1.45811e+18  6.12063e-20  1.46688e-06  7.81412e+05  2.67616e-01  0.00000e+00
0025  1.47550e+18  5.87752e-20  1.42042e-06  7.95011e+05  2.74101e-01  0.00000e+00
0026  1.49289e+18  5.65193e-20  1.37703e-06  8.07493e+05  2.80358e-01  0.00000e+00
0027  1.51028e+18  5.44268e-20  1.33644e-06  8.18569e+05  2.86390e-01  0.00000e+00
0028  1.52767e+18  5.25543e-20  1.29916e-06  8.26487e+05  2.92274e-01  0.00000e+00
0029  1.54507e+18  5.10262e-20  1.26625e-06  7.96433e+05  2.97787e-01  0.00000e+00
