# Athena++ data at time=1.700000e+11  cycle=14158142  variables=uov 
# i       x1v         user_out_var0          user_out_var1          user_out_var2          user_out_var3          user_out_var4          user_out_var5      
1 1.01162e+18 4.98827 30503.7 8.55993e-16 0 0 3.83719e-05 
2 1.01366e+18 5.45121 31434.2 -1.55189e-16 0 0 3.82178e-05 
3 1.01569e+18 5.69363 31811 -3.90479e-16 0 0 3.80646e-05 
4 1.01773e+18 7.68783 35222.5 -1.32164e-14 0 0 3.79124e-05 
5 1.01977e+18 37.321 91377.4 -1.27839e-14 0 0 3.7761e-05 
6 1.02181e+18 53.495 123946 -6.16905e-17 0 0 3.76106e-05 
7 1.02384e+18 53.5196 123975 3.55146e-17 0 0 3.7461e-05 
8 1.02588e+18 53.3944 123791 5.1122e-17 0 0 3.73124e-05 
9 1.02792e+18 53.2523 123583 4.42827e-17 0 0 3.71646e-05 
10 1.02996e+18 53.1297 123403 4.45896e-17 0 0 3.70177e-05 
11 1.03199e+18 53.0024 123217 4.47985e-17 0 0 3.68717e-05 
12 1.03403e+18 52.8771 123033 4.4735e-17 0 0 3.67265e-05 
13 1.03607e+18 52.7512 122849 4.42601e-17 0 0 3.65822e-05 
14 1.03811e+18 52.6238 122662 4.37873e-17 0 0 3.64387e-05 
15 1.04014e+18 52.5021 122483 4.58819e-17 0 0 3.62961e-05 
16 1.04218e+18 52.376 122297 5.13968e-17 0 0 3.61543e-05 
17 1.04422e+18 52.2622 121989 5.1381e-17 0 0 3.60134e-05 
18 1.04626e+18 52.15 121764 5.3608e-17 0 0 3.58733e-05 
19 1.04829e+18 52.0328 121529 5.3623e-17 0 0 3.5734e-05 
20 1.05033e+18 51.9163 121296 5.33662e-17 0 0 3.55954e-05 
21 1.05237e+18 51.8002 121064 5.32428e-17 0 0 3.54577e-05 
22 1.05441e+18 51.6846 120832 5.31126e-17 0 0 3.53208e-05 
23 1.05644e+18 51.5694 120602 5.2982e-17 0 0 3.51847e-05 
24 1.05848e+18 51.4545 120373 5.28514e-17 0 0 3.50494e-05 
25 1.06052e+18 51.3401 120144 5.27208e-17 0 0 3.49149e-05 
26 1.06256e+18 51.2261 119916 5.25903e-17 0 0 3.47811e-05 
27 1.06459e+18 51.1125 119689 5.24597e-17 0 0 3.46481e-05 
28 1.06663e+18 50.9992 119463 5.23292e-17 0 0 3.45158e-05 
29 1.06867e+18 50.8864 119238 5.21986e-17 0 0 3.43844e-05 
30 1.07071e+18 50.774 119014 5.20681e-17 0 0 3.42536e-05 
31 1.07274e+18 50.662 118790 5.19376e-17 0 0 3.41236e-05 
32 1.07478e+18 50.5504 118568 5.18072e-17 0 0 3.39944e-05 
33 1.07682e+18 50.4392 118346 5.16768e-17 0 0 3.38658e-05 
34 1.07886e+18 50.3285 118126 5.15465e-17 0 0 3.3738e-05 
35 1.08089e+18 50.2181 117906 5.14163e-17 0 0 3.3611e-05 
36 1.08293e+18 50.1081 117687 5.12862e-17 0 0 3.34846e-05 
37 1.08497e+18 49.9986 117469 5.11556e-17 0 0 3.3359e-05 
38 1.08701e+18 49.8894 117251 5.10258e-17 0 0 3.3234e-05 
39 1.08904e+18 49.7807 117035 5.0898e-17 0 0 3.31098e-05 
40 1.09108e+18 49.6724 116820 5.07646e-17 0 0 3.29862e-05 
41 1.09312e+18 49.5644 116605 5.06298e-17 0 0 3.28634e-05 
42 1.09516e+18 49.4569 116391 5.05255e-17 0 0 3.27412e-05 
43 1.09719e+18 49.3499 116178 5.03946e-17 0 0 3.26197e-05 
44 1.09923e+18 49.243 115966 5.01154e-17 0 0 3.24989e-05 
45 1.10127e+18 49.1364 115754 5.02098e-17 0 0 3.23788e-05 
46 1.10331e+18 49.0317 115546 5.09142e-17 0 0 3.22593e-05 
47 1.10534e+18 48.9242 115333 4.65768e-17 0 0 3.21405e-05 
48 1.10738e+18 48.8225 115131 5.38188e-17 0 0 3.20223e-05 
49 1.10942e+18 48.7223 114857 5.26045e-17 0 0 3.19048e-05 
50 1.11146e+18 48.62 114633 5.25858e-17 0 0 3.17879e-05 
51 1.11349e+18 48.5178 114409 5.22611e-17 0 0 3.16717e-05 
52 1.11553e+18 48.4161 114187 5.20618e-17 0 0 3.15561e-05 
53 1.11757e+18 48.3147 113966 5.1883e-17 0 0 3.14412e-05 
54 1.11961e+18 48.2137 113746 5.1703e-17 0 0 3.13268e-05 
55 1.12164e+18 48.1131 113527 5.15238e-17 0 0 3.12131e-05 
56 1.12368e+18 48.0128 113309 5.13453e-17 0 0 3.11e-05 
57 1.12572e+18 47.9129 113092 5.11676e-17 0 0 3.09876e-05 
58 1.12776e+18 47.8134 112876 5.09906e-17 0 0 3.08757e-05 
59 1.12979e+18 47.7142 112662 5.08143e-17 0 0 3.07644e-05 
60 1.13183e+18 47.6153 112448 5.06387e-17 0 0 3.06538e-05 
61 1.13387e+18 47.5169 112236 5.04639e-17 0 0 3.05437e-05 
62 1.13591e+18 47.4187 112025 5.02898e-17 0 0 3.04342e-05 
63 1.13794e+18 47.321 111815 5.01165e-17 0 0 3.03253e-05 
64 1.13998e+18 47.2236 111605 4.9944e-17 0 0 3.0217e-05 
65 1.14202e+18 47.1265 111397 4.97722e-17 0 0 3.01093e-05 
66 1.14406e+18 47.0298 111190 4.96011e-17 0 0 3.00021e-05 
