# Athena++ data at time=5.290000e+12  cycle=440589826  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
1 1.01162e+18 2.68461e-18 1.12659e-05 -35281.4 1.33464e-09 0 
2 1.01366e+18 2.43485e-18 1.05432e-05 45914.6 0.00377919 0 
3 1.01569e+18 2.296e-18 1.00941e-05 41906.5 0.00905468 0 
4 1.01773e+18 2.16479e-18 9.6743e-06 43850.8 0.0145551 0 
5 1.01977e+18 2.04208e-18 9.28452e-06 46081.2 0.0199161 0 
6 1.02181e+18 1.92705e-18 8.91841e-06 48606.6 0.0250796 0 
7 1.02384e+18 1.81659e-18 8.57474e-06 51327.4 0.0300637 0 
8 1.02588e+18 1.70978e-18 8.25234e-06 54322.9 0.0348823 0 
9 1.02792e+18 1.61159e-18 7.94966e-06 57411.4 0.0395343 0 
10 1.02996e+18 1.51787e-18 7.66586e-06 60695 0.0440162 0 
11 1.03199e+18 1.43249e-18 7.39902e-06 64076.2 0.0483311 0 
12 1.03403e+18 1.35162e-18 7.14841e-06 67610.8 0.0524883 0 
13 1.03607e+18 1.27401e-18 6.91285e-06 71435 0.0564997 0 
14 1.03811e+18 1.19781e-18 6.69204e-06 75655.7 0.060377 0 
15 1.04014e+18 1.12543e-18 6.48519e-06 80196.3 0.0641297 0 
16 1.04218e+18 1.06111e-18 6.29138e-06 84757.3 0.0677667 0 
17 1.04422e+18 1.01352e-18 6.10726e-06 88473.7 0.071294 0 
18 1.04626e+18 9.60373e-19 5.93452e-06 92722.6 0.0747177 0 
19 1.04829e+18 9.10946e-19 5.76981e-06 97553.9 0.0780416 0 
20 1.05033e+18 8.65018e-19 5.61468e-06 102283 0.0812707 0 
21 1.05237e+18 8.19678e-19 5.46805e-06 107458 0.0844093 0 
22 1.05441e+18 7.74341e-19 5.32995e-06 113255 0.0874625 0 
23 1.05644e+18 7.37029e-19 5.19869e-06 118705 0.0904343 0 
24 1.05848e+18 7.01867e-19 5.07505e-06 124013 0.0933295 0 
25 1.06052e+18 6.67003e-19 4.95755e-06 129957 0.0961518 0 
26 1.06256e+18 6.33405e-19 4.84626e-06 136325 0.0989054 0 
27 1.06459e+18 6.02634e-19 4.74064e-06 142787 0.101594 0 
28 1.06663e+18 5.72077e-19 4.64093e-06 149731 0.104221 0 
29 1.06867e+18 5.40472e-19 4.54677e-06 157783 0.106791 0 
30 1.07071e+18 5.09937e-19 4.45801e-06 166564 0.109308 0 
31 1.07274e+18 4.84761e-19 4.37382e-06 174728 0.111773 0 
32 1.07478e+18 4.63717e-19 4.29409e-06 181965 0.114191 0 
33 1.07682e+18 4.42305e-19 4.21861e-06 189847 0.116564 0 
34 1.07886e+18 4.19571e-19 4.14664e-06 199347 0.118893 0 
35 1.08089e+18 3.96092e-19 4.07854e-06 210404 0.121181 0 
36 1.08293e+18 3.72356e-19 4.01425e-06 223040 0.123431 0 
37 1.08497e+18 3.45299e-19 3.95509e-06 239163 0.125643 0 
38 1.08701e+18 3.15989e-19 3.90052e-06 259729 0.127821 0 
39 1.08904e+18 2.97415e-19 3.84634e-06 276879 0.129966 0 
40 1.09108e+18 2.78913e-19 3.80043e-06 292749 0.132081 0 
41 1.09312e+18 2.58682e-19 3.75581e-06 314180 0.134168 0 
42 1.09516e+18 2.40849e-19 3.71345e-06 336515 0.136229 0 
43 1.09719e+18 2.25928e-19 3.67511e-06 356794 0.138265 0 
44 1.09923e+18 2.15757e-19 3.63844e-06 372179 0.140278 0 
45 1.10127e+18 2.11395e-19 3.60273e-06 379586 0.14227 0 
46 1.10331e+18 2.07546e-19 3.57007e-06 384354 0.144241 0 
47 1.10534e+18 2.03656e-19 3.53711e-06 390303 0.146191 0 
48 1.10738e+18 1.99906e-19 3.50497e-06 396155 0.148123 0 
49 1.10942e+18 1.96278e-19 3.47356e-06 401975 0.150034 0 
50 1.11146e+18 1.92763e-19 3.44282e-06 407784 0.151927 0 
51 1.11349e+18 1.89359e-19 3.41275e-06 413558 0.153801 0 
52 1.11553e+18 1.86198e-19 3.38324e-06 419080 0.155657 0 
53 1.11757e+18 1.83249e-19 3.35437e-06 424265 0.157495 0 
54 1.11961e+18 1.80387e-19 3.3261e-06 429384 0.159315 0 
55 1.12164e+18 1.77598e-19 3.29833e-06 434535 0.161119 0 
56 1.12368e+18 1.74885e-19 3.27108e-06 439665 0.162905 0 
57 1.12572e+18 1.72245e-19 3.24434e-06 444779 0.164675 0 
58 1.12776e+18 1.69674e-19 3.2181e-06 449875 0.166428 0 
59 1.12979e+18 1.67172e-19 3.19233e-06 454954 0.168166 0 
60 1.13183e+18 1.64734e-19 3.16702e-06 460015 0.169887 0 
61 1.13387e+18 1.6236e-19 3.14217e-06 465057 0.171594 0 
62 1.13591e+18 1.60047e-19 3.11776e-06 470075 0.173285 0 
63 1.13794e+18 1.57794e-19 3.0938e-06 475055 0.174961 0 
64 1.13998e+18 1.55662e-19 3.07022e-06 479850 0.176623 0 
65 1.14202e+18 1.53721e-19 3.04702e-06 484235 0.178271 0 
66 1.14406e+18 1.51834e-19 3.0243e-06 488446 0.179906 0 
67 1.14609e+18 1.49979e-19 3.00187e-06 492740 0.181527 0 
68 1.14813e+18 1.48161e-19 2.97977e-06 497044 0.183134 0 
69 1.15017e+18 1.46025e-19 2.95837e-06 502037 0.18473 0 
70 1.15221e+18 1.44588e-19 2.93649e-06 505985 0.186312 0 
71 1.15424e+18 1.43245e-19 2.91578e-06 508581 0.187883 0 
72 1.15628e+18 1.41894e-19 2.89499e-06 511654 0.189441 0 
73 1.15832e+18 1.40566e-19 2.87452e-06 514668 0.190987 0 
74 1.16036e+18 1.39256e-19 2.85431e-06 517684 0.192522 0 
75 1.16239e+18 1.37964e-19 2.83436e-06 520698 0.194044 0 
76 1.16443e+18 1.36689e-19 2.81466e-06 523712 0.195554 0 
77 1.16647e+18 1.35433e-19 2.7952e-06 526723 0.197052 0 
78 1.16851e+18 1.34193e-19 2.77599e-06 529733 0.198539 0 
79 1.17054e+18 1.3297e-19 2.75702e-06 532741 0.200015 0 
80 1.17258e+18 1.31764e-19 2.73829e-06 535748 0.201479 0 
81 1.17462e+18 1.30574e-19 2.71978e-06 538753 0.202932 0 
82 1.17666e+18 1.294e-19 2.70151e-06 541756 0.204374 0 
83 1.17869e+18 1.28242e-19 2.68346e-06 544757 0.205806 0 
84 1.18073e+18 1.27099e-19 2.66563e-06 547757 0.207226 0 
85 1.18277e+18 1.25972e-19 2.64802e-06 550754 0.208637 0 
86 1.18481e+18 1.24859e-19 2.63062e-06 553750 0.210037 0 
87 1.18684e+18 1.23762e-19 2.61343e-06 556743 0.211427 0 
88 1.18888e+18 1.22679e-19 2.59645e-06 559733 0.212806 0 
89 1.19092e+18 1.2161e-19 2.57968e-06 562722 0.214176 0 
90 1.19296e+18 1.20555e-19 2.56311e-06 565707 0.215537 0 
91 1.19499e+18 1.19514e-19 2.54673e-06 568690 0.216887 0 
92 1.19703e+18 1.18486e-19 2.53055e-06 571670 0.218228 0 
93 1.19907e+18 1.17472e-19 2.51456e-06 574647 0.21956 0 
94 1.20111e+18 1.16471e-19 2.49876e-06 577621 0.220883 0 
95 1.20314e+18 1.15483e-19 2.48314e-06 580592 0.222196 0 
96 1.20518e+18 1.14508e-19 2.46771e-06 583559 0.223501 0 
97 1.20722e+18 1.13545e-19 2.45246e-06 586523 0.224796 0 
98 1.20926e+18 1.12595e-19 2.43739e-06 589483 0.226083 0 
99 1.21129e+18 1.11656e-19 2.42249e-06 592439 0.227361 0 
100 1.21333e+18 1.1073e-19 2.40777e-06 595390 0.228631 0 
101 1.21537e+18 1.09816e-19 2.39321e-06 598333 0.229892 0 
102 1.21741e+18 1.08913e-19 2.37883e-06 601260 0.231145 0 
103 1.21944e+18 1.08054e-19 2.3646e-06 604053 0.23239 0 
104 1.22148e+18 1.07224e-19 2.35055e-06 606692 0.233627 0 
105 1.22352e+18 1.06404e-19 2.33666e-06 609320 0.234855 0 
106 1.22556e+18 1.05594e-19 2.32291e-06 611964 0.236076 0 
107 1.22759e+18 1.04792e-19 2.30931e-06 614603 0.237289 0 
108 1.22963e+18 1.03999e-19 2.29586e-06 617239 0.238494 0 
109 1.23167e+18 1.03216e-19 2.28255e-06 619874 0.239691 0 
110 1.23371e+18 1.02441e-19 2.26938e-06 622506 0.240881 0 
111 1.23574e+18 1.01675e-19 2.25636e-06 625135 0.242063 0 
112 1.23778e+18 1.00917e-19 2.24347e-06 627761 0.243237 0 
113 1.23982e+18 1.00168e-19 2.23072e-06 630384 0.244403 0 
114 1.24186e+18 9.9427e-20 2.21811e-06 633004 0.245562 0 
115 1.24389e+18 9.86943e-20 2.20563e-06 635621 0.246713 0 
116 1.24593e+18 9.79698e-20 2.19327e-06 638234 0.247857 0 
117 1.24797e+18 9.72533e-20 2.18105e-06 640844 0.248993 0 
118 1.25001e+18 9.65447e-20 2.16896e-06 643450 0.250122 0 
