# Athena++ data at time=6.210000e+12  cycle=517210469  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
84 1.18073e+18 1.27128e-19 2.66599e-06 548181 0.20676 0 
85 1.18277e+18 1.26004e-19 2.64841e-06 551136 0.208171 0 
86 1.18481e+18 1.24894e-19 2.63104e-06 554086 0.209571 0 
87 1.18684e+18 1.23798e-19 2.61388e-06 557031 0.210962 0 
88 1.18888e+18 1.22718e-19 2.59693e-06 559971 0.212342 0 
89 1.19092e+18 1.21651e-19 2.58019e-06 562907 0.213713 0 
90 1.19296e+18 1.20599e-19 2.56364e-06 565838 0.215074 0 
91 1.19499e+18 1.19561e-19 2.5473e-06 568765 0.216425 0 
92 1.19703e+18 1.18536e-19 2.53115e-06 571688 0.217767 0 
93 1.19907e+18 1.17524e-19 2.51519e-06 574607 0.219099 0 
94 1.20111e+18 1.16525e-19 2.49941e-06 577522 0.220421 0 
95 1.20314e+18 1.1554e-19 2.48383e-06 580433 0.221734 0 
96 1.20518e+18 1.14567e-19 2.46842e-06 583341 0.223038 0 
97 1.20722e+18 1.13606e-19 2.4532e-06 586245 0.224333 0 
98 1.20926e+18 1.12658e-19 2.43815e-06 589145 0.225618 0 
99 1.21129e+18 1.11722e-19 2.42328e-06 592042 0.226895 0 
100 1.21333e+18 1.10797e-19 2.40857e-06 594935 0.228164 0 
101 1.21537e+18 1.09885e-19 2.39404e-06 597821 0.229423 0 
102 1.21741e+18 1.08984e-19 2.37968e-06 600693 0.230674 0 
103 1.21944e+18 1.0812e-19 2.36547e-06 603458 0.231917 0 
104 1.22148e+18 1.07291e-19 2.35143e-06 606065 0.233152 0 
105 1.22352e+18 1.06473e-19 2.33756e-06 608635 0.234378 0 
106 1.22556e+18 1.05664e-19 2.32383e-06 611230 0.235596 0 
107 1.22759e+18 1.04864e-19 2.31025e-06 613819 0.236807 0 
108 1.22963e+18 1.04073e-19 2.29682e-06 616406 0.238009 0 
109 1.23167e+18 1.0329e-19 2.28352e-06 618992 0.239204 0 
110 1.23371e+18 1.02517e-19 2.27037e-06 621575 0.240391 0 
111 1.23574e+18 1.01752e-19 2.25736e-06 624156 0.24157 0 
112 1.23778e+18 1.00996e-19 2.24449e-06 626735 0.242742 0 
113 1.23982e+18 1.00248e-19 2.23175e-06 629311 0.243907 0 
114 1.24186e+18 9.95081e-20 2.21915e-06 631886 0.245064 0 
115 1.24389e+18 9.87766e-20 2.20668e-06 634458 0.246214 0 
116 1.24593e+18 9.80532e-20 2.19434e-06 637028 0.247357 0 
117 1.24797e+18 9.73376e-20 2.18213e-06 639595 0.248493 0 
118 1.25001e+18 9.663e-20 2.17005e-06 642160 0.249622 0 
119 1.25204e+18 9.593e-20 2.15809e-06 644722 0.250744 0 
120 1.25408e+18 9.52377e-20 2.14625e-06 647281 0.251859 0 
121 1.25612e+18 9.45529e-20 2.13454e-06 649837 0.252967 0 
122 1.25816e+18 9.38755e-20 2.12295e-06 652391 0.254069 0 
123 1.26019e+18 9.32054e-20 2.11147e-06 654941 0.255165 0 
124 1.26223e+18 9.25425e-20 2.10012e-06 657489 0.256254 0 
125 1.26427e+18 9.18867e-20 2.08888e-06 660033 0.257336 0 
126 1.26631e+18 9.1238e-20 2.07775e-06 662574 0.258412 0 
127 1.26834e+18 9.05962e-20 2.06674e-06 665112 0.259482 0 
128 1.27038e+18 8.99612e-20 2.05584e-06 667646 0.260546 0 
129 1.27242e+18 8.9333e-20 2.04504e-06 670177 0.261603 0 
130 1.27446e+18 8.87114e-20 2.03436e-06 672705 0.262654 0 
131 1.27649e+18 8.80964e-20 2.02378e-06 675227 0.263698 0 
132 1.27853e+18 8.74881e-20 2.01332e-06 677741 0.264737 0 
133 1.28057e+18 8.68868e-20 2.00296e-06 680235 0.265769 0 
134 1.28261e+18 8.62938e-20 1.99273e-06 682656 0.266796 0 
135 1.28464e+18 8.5811e-20 1.98253e-06 684484 0.267816 0 
136 1.28668e+18 8.53785e-20 1.97254e-06 685715 0.26883 0 
137 1.28872e+18 8.4949e-20 1.96262e-06 686976 0.269839 0 
138 1.29076e+18 8.45217e-20 1.95274e-06 688301 0.270842 0 
139 1.29279e+18 8.40565e-20 1.94298e-06 689898 0.271839 0 
140 1.29483e+18 8.34965e-20 1.9333e-06 692223 0.27283 0 
141 1.29687e+18 8.29277e-20 1.92357e-06 694885 0.273815 0 
142 1.29891e+18 8.23694e-20 1.91402e-06 697383 0.274795 0 
143 1.30094e+18 8.18152e-20 1.90455e-06 699899 0.275769 0 
144 1.30298e+18 8.1265e-20 1.89517e-06 702428 0.276737 0 
145 1.30502e+18 8.07187e-20 1.88589e-06 704967 0.2777 0 
146 1.30706e+18 8.01763e-20 1.87669e-06 707517 0.278658 0 
147 1.30909e+18 7.96377e-20 1.86758e-06 710078 0.27961 0 
148 1.31113e+18 7.91028e-20 1.85856e-06 712650 0.280556 0 
149 1.31317e+18 7.85716e-20 1.84963e-06 715232 0.281497 0 
150 1.31521e+18 7.80443e-20 1.84079e-06 717817 0.282433 0 
151 1.31724e+18 7.75217e-20 1.83205e-06 720370 0.283364 0 
152 1.31928e+18 7.70077e-20 1.82346e-06 722785 0.28429 0 
153 1.32132e+18 7.67004e-20 1.81469e-06 723901 0.28521 0 
154 1.32336e+18 7.63414e-20 1.80647e-06 724730 0.286126 0 
155 1.32539e+18 7.58801e-20 1.79799e-06 726883 0.287036 0 
156 1.32743e+18 7.54183e-20 1.78955e-06 729176 0.287942 0 
157 1.32947e+18 7.49662e-20 1.78126e-06 731303 0.288842 0 
158 1.33151e+18 7.45178e-20 1.77304e-06 733441 0.289738 0 
159 1.33354e+18 7.40732e-20 1.76489e-06 735581 0.290629 0 
160 1.33558e+18 7.36324e-20 1.75682e-06 737717 0.291515 0 
161 1.33762e+18 7.31954e-20 1.74881e-06 739852 0.292396 0 
162 1.33966e+18 7.27621e-20 1.74088e-06 741984 0.293272 0 
163 1.34169e+18 7.23325e-20 1.73302e-06 744114 0.294144 0 
164 1.34373e+18 7.19066e-20 1.72522e-06 746242 0.295011 0 
165 1.34577e+18 7.14842e-20 1.7175e-06 748368 0.295873 0 
166 1.34781e+18 7.10653e-20 1.70984e-06 750492 0.296731 0 
167 1.34984e+18 7.065e-20 1.70225e-06 752614 0.297585 0 
168 1.35188e+18 7.02381e-20 1.69473e-06 754734 0.298434 0 
169 1.35392e+18 6.98296e-20 1.68727e-06 756852 0.299278 0 
170 1.35596e+18 6.94245e-20 1.67988e-06 758968 0.300118 0 
171 1.35799e+18 6.90228e-20 1.67255e-06 761083 0.300954 0 
